ball_x,ball_y,ball_z
0.737812,-0.109574,0.116888
0.733998,-0.109351,0.123347
0.730184,-0.109128,0.129745
0.72637,-0.108905,0.136082
0.722556,-0.108683,0.142357
0.718742,-0.10846,0.148571
0.714928,-0.108237,0.154724
0.711114,-0.108014,0.160815
0.7073,-0.107791,0.166846
0.703486,-0.107568,0.172814
0.699672,-0.107345,0.178722
0.695858,-0.107122,0.184568
0.692044,-0.1069,0.190353
0.68823,-0.106677,0.196076
0.684416,-0.106454,0.201738
0.680602,-0.106231,0.207339
0.676788,-0.106008,0.212879
0.672974,-0.105785,0.218357
0.66916,-0.105562,0.223774
0.665346,-0.10534,0.22913
0.661532,-0.105117,0.234424
0.657718,-0.104894,0.239657
0.653904,-0.104671,0.244829
0.65009,-0.104448,0.249939
0.646276,-0.104225,0.254988
0.642462,-0.104002,0.259976
0.638648,-0.10378,0.264903
0.634834,-0.103557,0.269768
0.63102,-0.103334,0.274572
0.627206,-0.103111,0.279314
0.623392,-0.102888,0.283995
0.619578,-0.102665,0.288615
0.615764,-0.102442,0.293174
0.61195,-0.10222,0.297671
0.608136,-0.101997,0.302107
0.604322,-0.101774,0.306482
0.600508,-0.101551,0.310795
0.596694,-0.101328,0.315047
0.59288,-0.101105,0.319238
0.589067,-0.100882,0.323367
0.585253,-0.100659,0.327435
0.581439,-0.100437,0.331442
0.577625,-0.100214,0.335387
0.573811,-0.0999909,0.339271
0.569997,-0.099768,0.343094
0.566183,-0.0995452,0.346856
0.562369,-0.0993223,0.350556
0.558555,-0.0990995,0.354195
0.554741,-0.0988766,0.357772
0.550927,-0.0986537,0.361289
0.547113,-0.0984309,0.364744
0.543299,-0.098208,0.368137
0.539485,-0.0979851,0.37147
0.535671,-0.0977623,0.374741
0.531857,-0.0975394,0.37795
0.528043,-0.0973166,0.381099
0.524229,-0.0970937,0.384186
0.520415,-0.0968708,0.387212
0.516601,-0.096648,0.390176
0.512787,-0.0964251,0.393079
0.508973,-0.0962023,0.395921
0.505159,-0.0959794,0.398701
