ball_vx,ball_vy,ball_vz
-0.457678,0.0267414,0.782469
-0.457678,0.0267414,0.775111
-0.457678,0.0267414,0.767754
-0.457678,0.0267414,0.760397
-0.457678,0.0267414,0.753039
-0.457678,0.0267414,0.745682
-0.457678,0.0267414,0.738324
-0.457678,0.0267414,0.730967
-0.457678,0.0267414,0.723609
-0.457678,0.0267414,0.716252
-0.457678,0.0267414,0.708894
-0.457678,0.0267414,0.701537
-0.457678,0.0267414,0.694179
-0.457678,0.0267414,0.686822
-0.457678,0.0267414,0.679464
-0.457678,0.0267414,0.672107
-0.457678,0.0267414,0.664749
-0.457678,0.0267414,0.657392
-0.457678,0.0267414,0.650034
-0.457678,0.0267414,0.642677
-0.457678,0.0267414,0.635319
-0.457678,0.0267414,0.627962
-0.457678,0.0267414,0.620604
-0.457678,0.0267414,0.613247
-0.457678,0.0267414,0.605889
-0.457678,0.0267414,0.598532
-0.457678,0.0267414,0.591174
-0.457678,0.0267414,0.583817
-0.457678,0.0267414,0.576459
-0.457678,0.0267414,0.569102
-0.457678,0.0267414,0.561744
-0.457678,0.0267414,0.554387
-0.457678,0.0267414,0.547029
-0.457678,0.0267414,0.539672
-0.457678,0.0267414,0.532314
-0.457678,0.0267414,0.524957
-0.457678,0.0267414,0.517599
-0.457678,0.0267414,0.510242
-0.457678,0.0267414,0.502884
-0.457678,0.0267414,0.495527
-0.457678,0.0267414,0.488169
-0.457678,0.0267414,0.480812
-0.457678,0.0267414,0.473454
-0.457678,0.0267414,0.466097
-0.457678,0.0267414,0.458739
-0.457678,0.0267414,0.451382
-0.457678,0.0267414,0.444024
-0.457678,0.0267414,0.436667
-0.457678,0.0267414,0.429309
-0.457678,0.0267414,0.421952
-0.457678,0.0267414,0.414594
-0.457678,0.0267414,0.407237
-0.457678,0.0267414,0.399879
-0.457678,0.0267414,0.392522
-0.457678,0.0267414,0.385164
-0.457678,0.0267414,0.377807
-0.457678,0.0267414,0.370449
-0.457678,0.0267414,0.363092
-0.457678,0.0267414,0.355734
-0.457678,0.0267414,0.348377
-0.457678,0.0267414,0.341019
-0.457678,0.0267414,0.333661
-0.457678,0.0267414,0.326304
-0.457678,0.0267414,0.318946
-0.457678,0.0267414,0.311589
-0.457678,0.0267414,0.304231
-0.457678,0.0267414,0.296874
-0.457678,0.0267414,0.289516
-0.457678,0.0267414,0.282159
-0.457678,0.0267414,0.274801
-0.457678,0.0267414,0.267444
-0.457678,0.0267414,0.260086
-0.457678,0.0267414,0.252729
-0.457678,0.0267414,0.245371
-0.457678,0.0267414,0.238014
-0.457678,0.0267414,0.230656
-0.457678,0.0267414,0.223299
-0.457678,0.0267414,0.215941
-0.457678,0.0267414,0.208584
-0.457678,0.0267414,0.201226
-0.457678,0.0267414,0.193869
-0.457678,0.0267414,0.186511
-0.457678,0.0267414,0.179154
-0.457678,0.0267414,0.171797
-0.457678,0.0267414,0.164439
-0.457678,0.0267414,0.157081
-0.457678,0.0267414,0.149724
-0.457678,0.0267414,0.142367
-0.457678,0.0267414,0.135009
-0.457678,0.0267414,0.127652
-0.457678,0.0267414,0.120294
-0.457678,0.0267414,0.112937
-0.457678,0.0267414,0.105579
-0.457678,0.0267414,0.0982215
-0.457678,0.0267414,0.090864
-0.457678,0.0267414,0.0835065
-0.457678,0.0267414,0.076149
-0.457678,0.0267414,0.0687915
-0.457678,0.0267414,0.061434
-0.457678,0.0267414,0.0540765
-0.457678,0.0267414,0.046719
-0.457678,0.0267414,0.0393615
-0.457678,0.0267414,0.032004
-0.457678,0.0267414,0.0246465
-0.457678,0.0267414,0.017289
-0.457678,0.0267414,0.00993154
-0.457678,0.0267414,0.00257404
-0.457678,0.0267414,-0.00478346
-0.457678,0.0267414,-0.012141
-0.457678,0.0267414,-0.0194985
-0.457678,0.0267414,-0.026856
-0.457678,0.0267414,-0.0342135
-0.457678,0.0267414,-0.041571
-0.457678,0.0267414,-0.0489285
-0.457678,0.0267414,-0.056286
-0.457678,0.0267414,-0.0636435
-0.457678,0.0267414,-0.071001
-0.457678,0.0267414,-0.0783585
-0.457678,0.0267414,-0.085716
-0.457678,0.0267414,-0.0930735
-0.457678,0.0267414,-0.100431
-0.457678,0.0267414,-0.107788
-0.457678,0.0267414,-0.115146
-0.457678,0.0267414,-0.122503
-0.457678,0.0267414,-0.129861
-0.457678,0.0267414,-0.137218
-0.457678,0.0267414,-0.144576
-0.457678,0.0267414,-0.151933
-0.457678,0.0267414,-0.159291
-0.457678,0.0267414,-0.166648
-0.457678,0.0267414,-0.174006
-0.457678,0.0267414,-0.181363
-0.457678,0.0267414,-0.188721
-0.457678,0.0267414,-0.196078
-0.457678,0.0267414,-0.203436
-0.457678,0.0267414,-0.210793
-0.457678,0.0267414,-0.218151
-0.457678,0.0267414,-0.225508
-0.457678,0.0267414,-0.232866
-0.457678,0.0267414,-0.240223
-0.457678,0.0267414,-0.247581
-0.457678,0.0267414,-0.254938
-0.457678,0.0267414,-0.262296
-0.457678,0.0267414,-0.269653
-0.457678,0.0267414,-0.277011
-0.457678,0.0267414,-0.284368
-0.457678,0.0267414,-0.291726
-0.457678,0.0267414,-0.299083
-0.457678,0.0267414,-0.306441
-0.457678,0.0267414,-0.313798
-0.457678,0.0267414,-0.321156
-0.457678,0.0267414,-0.328513
-0.457678,0.0267414,-0.335871
-0.457678,0.0267414,-0.343228
-0.457678,0.0267414,-0.350586
-0.457678,0.0267414,-0.357943
-0.457678,0.0267414,-0.365301
-0.457678,0.0267414,-0.372658
-0.457678,0.0267414,-0.380016
-0.457678,0.0267414,-0.387374
-0.457678,0.0267414,-0.394731
-0.457678,0.0267414,-0.402089
-0.457678,0.0267414,-0.409446
-0.457678,0.0267414,-0.416804
-0.457678,0.0267414,-0.424161
-0.457678,0.0267414,-0.431519
-0.457678,0.0267414,-0.438876
-0.457678,0.0267414,-0.446234
-0.457678,0.0267414,-0.453591
-0.457678,0.0267414,-0.460949
-0.457678,0.0267414,-0.468306
-0.457678,0.0267414,-0.475664
-0.457678,0.0267414,-0.483021
-0.457678,0.0267414,-0.490379
-0.457678,0.0267414,-0.497736
-0.457678,0.0267414,-0.505094
-0.457678,0.0267414,-0.512451
-0.457678,0.0267414,-0.519809
-0.457678,0.0267414,-0.527166
-0.457678,0.0267414,-0.534524
-0.457678,0.0267414,-0.541881
-0.457678,0.0267414,-0.549239
-0.457678,0.0267414,-0.556596
-0.457678,0.0267414,-0.563954
-0.457678,0.0267414,-0.571311
-0.457678,0.0267414,-0.578669
-0.0860323,-0.00560832,0.00855086
-0.0882555,-0.00444122,0.0113784
-0.0874352,-0.00441797,0.0143524
-0.0856039,-0.00431196,0.0162259
-0.0837154,-0.00409063,0.017805
-0.0818949,-0.00403789,0.0188894
-0.0800792,-0.00410166,0.0195724
-0.0781912,-0.00422895,0.0199753
-0.0762128,-0.00440739,0.0201084
-0.0742221,-0.00463176,0.0200214
-0.0721852,-0.00488498,0.01975
-0.0701159,-0.00515258,0.0193448
-0.0678306,-0.00500652,0.0187394
-0.0658936,-0.00575519,0.0181452
-0.0637221,-0.00587475,0.017376
-0.0615591,-0.00637023,0.0165221
-0.0593937,-0.00677346,0.0156637
-0.0570455,-0.00682271,0.0148099
-0.0546975,-0.00692704,0.0140479
-0.0523092,-0.00694998,0.0132745
-0.0499287,-0.00690542,0.0124058
-0.0475992,-0.00684368,0.011368
-0.0453002,-0.00681698,0.0100367
-0.0430529,-0.00680093,0.00863923
-0.040652,-0.00674386,0.00716005
-0.038076,-0.00664051,0.00555929
-0.0354603,-0.00650845,0.00393171
-0.0329334,-0.00638506,0.00244874
-0.0304317,-0.0061815,0.00109588
-0.0280857,-0.0060283,-8.58402e-05
-0.0258273,-0.00583733,-0.00116026
-0.0236989,-0.00566206,-0.00213116
-0.0216651,-0.00564718,-0.00301116
-0.0197073,-0.00529701,-0.00379451
-0.017822,-0.005248,-0.00449274
-0.0159879,-0.00491247,-0.00512692
-0.0141905,-0.00483376,-0.00572641
-0.0123783,-0.00448796,-0.00630261
-0.0106681,-0.00444695,-0.00682913
-0.00891817,-0.00406738,-0.00742222
-0.00729266,-0.0039935,-0.00799645
