lin_vel_X,lin_vel_Y,lin_vel_Z
-1.1192e-05,-1.23951e-05,-3.47517e-06
-1.1192e-05,-1.23951e-05,-3.47517e-06
-1.50303e-05,-1.45428e-05,5.94204e-06
-8.12496e-06,-9.80776e-06,-3.68682e-06
-9.32223e-06,-5.36432e-06,7.14535e-06
1.54095e-05,1.30924e-05,4.84112e-06
0.00219184,0.00367766,0.00692384
0.0160911,0.0234448,0.0446445
0.0160911,0.0234448,0.0446445
0.0357889,0.0462604,0.0949808
0.0665314,0.107227,0.323108
0.0192117,0.0871,0.305023
-0.0105995,0.174321,0.723846
-0.0105995,0.174321,0.723846
0.00378361,0.118665,0.398069
0,0,0
0.0135599,0.134971,0.399791
0.015887,0.14852,0.40923
0.0144944,0.158514,0.417296
0.0210331,0.171122,0.42048
0.0210331,0.171122,0.42048
0,0,0
0.0320618,0.190312,0.418469
0.00739791,0.176581,0.429696
-0.00377536,0.175149,0.439369
-0.00786166,0.176743,0.439656
-0.0259853,0.166757,0.4435
-0.0513755,0.147576,0.446201
-0.0716278,0.143456,0.461936
-0.0765237,0.152966,0.472429
-0.0903277,0.145245,0.473959
-0.113439,0.122275,0.468845
-0.138485,0.105405,0.475455
-0.151022,0.106297,0.488161
-0.157862,0.105205,0.488355
-0.172538,0.0871074,0.475753
-0.20176,0.0547646,0.467247
-0.219026,0.0426717,0.467586
-0.223903,0.0439305,0.464805
-0.234602,0.0316911,0.455388
-0.248237,0.0156003,0.448177
-0.251929,0.0173075,0.445374
-0.256323,0.0267714,0.455559
-0.269979,0.0218213,0.461488
-0.287786,0.00797993,0.459552
-0.296443,0.0123089,0.46536
-0.305415,0.012936,0.468069
-0.330125,0.00290493,0.47902
-0.360365,-0.0103823,0.489804
-0.368442,-0.00738415,0.493128
-0.369319,-0.00691638,0.488347
-0.384091,-0.013248,0.48891
-0.402612,-0.0104886,0.50405
-0.395964,0.00134416,0.501013
-0.385587,0.00885244,0.491337
-0.400549,-0.00374623,0.485336
-0.419204,-0.00968286,0.490508
-0.409366,0.00242706,0.486826
-0.394841,0.0130281,0.475629
-0.405147,-0.000902559,0.464633
-0.426523,-0.0120422,0.467165
-0.429948,-0.00739002,0.467615
-0.43483,-0.0124183,0.460105
-0.445432,-0.0251438,0.451634
-0.449623,-0.019947,0.454305
-0.434182,0.00994062,0.462243
-0.423826,0.0286759,0.465033
-0.430125,0.0252112,0.461753
-0.441175,0.0207154,0.46051
-0.437005,0.0384923,0.468237
-0.427111,0.0556673,0.470789
-0.426919,0.0574413,0.467017
-0.419328,0.0657933,0.463954
-0.406356,0.087489,0.468636
-0.400802,0.0981589,0.46922
-0.405031,0.0882751,0.459123
-0.387868,0.0974407,0.449684
-0.357437,0.129668,0.449849
-0.33706,0.155232,0.453495
-0.331421,0.15033,0.44236
-0.317858,0.15429,0.431283
-0.299394,0.169862,0.424634
-0.29245,0.182224,0.425733
-0.286055,0.177684,0.414854
-0.262417,0.190473,0.404473
-0.221219,0.224185,0.3977
-0.196389,0.25909,0.404597
-0.186478,0.274876,0.407354
-0.180255,0.276769,0.401529
-0.156146,0.287828,0.390477
-0.141528,0.30528,0.390437
-0.14076,0.316951,0.394654
-0.142444,0.312745,0.388683
-0.138635,0.305598,0.376666
-0.12514,0.314817,0.367778
-0.109229,0.339964,0.368044
-0.0761544,0.343189,0.340154
-0.0209512,0.330171,0.284821
0.0291528,0.30947,0.227643
0.0779478,0.293015,0.173416
0.127759,0.284461,0.123917
0.143314,0.26977,0.0936508
0.112689,0.250568,0.0929027
0.0638201,0.244753,0.115065
0.0134988,0.265135,0.155236
-0.0316913,0.303461,0.205557
-0.0781232,0.342987,0.253181
-0.140667,0.369225,0.300311
-0.186031,0.374833,0.328311
-0.163538,0.372664,0.309498
-0.11523,0.355378,0.267683
-0.0907924,0.308445,0.222461
-0.0876537,0.253298,0.184473
-0.10193,0.209384,0.164665
-0.120458,0.190531,0.162816
-0.139601,0.182064,0.168185
-0.15424,0.179605,0.171842
-0.145836,0.175261,0.160371
-0.121531,0.155785,0.133609
-0.107441,0.142778,0.117591
-0.108534,0.126666,0.108796
-0.12542,0.101498,0.102417
-0.121171,0.0587407,0.072206
-0.115624,0.0217771,0.0425881
-0.135859,0.00354151,0.0380774
-0.169349,-0.00875964,0.0459377
-0.186573,-0.0245053,0.0429019
-0.179533,-0.0461333,0.0245128
-0.172285,-0.0716644,0.00652087
-0.169097,-0.0805584,0.00249163
-0.151679,-0.0693523,0.000763486
-0.12833,-0.053431,-0.002782
-0.121805,-0.0424956,0.000590041
-0.125785,-0.0421153,0.00305365
-0.107177,-0.0486625,-0.0111578
-0.094917,-0.0506664,-0.0172755
-0.0711684,-0.0485421,-0.0243948
-0.0275897,-0.0455907,-0.041661
0.0189645,-0.0336334,-0.0584204
0.0571268,-0.0118998,-0.0664593
0.07743,0.00172349,-0.0711103
0.070761,0.00410106,-0.066075
0.0302447,-0.00343965,-0.0427285
0.0308191,0.00308449,-0.0307959
0.0691257,0.0252231,-0.0285779
0.119638,0.0366857,-0.0407399
0.162502,0.0431396,-0.055922
0.202127,0.0468198,-0.0778255
0.234552,0.0492119,-0.10151
0.246293,0.0462214,-0.117794
0.237305,0.0343921,-0.125753
0.23729,0.0400573,-0.12762
0.247106,0.064109,-0.124218
0.241432,0.0773139,-0.116873
0.246267,0.0896782,-0.120485
0.256452,0.102265,-0.130257
0.256225,0.113631,-0.134763
0.245622,0.113882,-0.135828
0.233567,0.0848202,-0.14611
0.23172,0.0570278,-0.162003
0.20677,0.0506926,-0.154321
0.150711,0.042179,-0.126049
0.100562,0.0279645,-0.102958
0.0490333,0.0313028,-0.0646727
0.0238449,0.0484245,-0.0251475
0.030755,0.0622392,0.00106322
0.0569531,0.0665233,0.00845559
0.0934171,0.0547267,-0.00602709
0.138489,0.0553452,-0.0298327
0.179128,0.0555126,-0.0631482
0.184284,0.0352955,-0.0941779
0.138526,-0.0193449,-0.115419
0.073374,-0.0935918,-0.125061
0.0170951,-0.150101,-0.117712
-0.0262169,-0.175163,-0.0908331
-0.0723571,-0.164277,-0.0362611
-0.0991217,-0.108318,0.0276301
-0.10101,-0.0316331,0.0835062
-0.0992941,0.0283158,0.119405
-0.101629,0.0365764,0.120726
-0.138162,-0.0299315,0.102512
-0.190176,-0.131221,0.0789553
-0.196044,-0.174927,0.0590683
-0.139017,-0.161977,0.029875
-0.0852574,-0.115143,0.0214425
-0.0826363,-0.0485917,0.054541
-0.0964618,-0.000841644,0.0853591
-0.10251,0.0264448,0.0960292
-0.163354,0.0240786,0.12726
-0.244999,-0.0136949,0.154802
-0.297056,-0.0706948,0.155611
-0.309611,-0.0979642,0.150265
-0.305022,-0.0815566,0.158772
-0.295135,-0.0539041,0.168824
-0.277555,0.0132713,0.191739
-0.257654,0.111534,0.224439
-0.260024,0.183956,0.254216
-0.302585,0.208608,0.281774
-0.372647,0.209304,0.309552
-0.432413,0.202964,0.327702
-0.457967,0.194157,0.324949
-0.477439,0.18688,0.323252
-0.49693,0.160706,0.312978
-0.51626,0.124869,0.300714
-0.521022,0.0947589,0.287618
-0.514162,0.0570649,0.26741
-0.502949,0.0135988,0.246541
-0.479266,-0.010818,0.230039
-0.444933,-0.00195417,0.223572
-0.429065,0.0218228,0.231593
-0.452393,0.0087331,0.235978
-0.482304,-0.033228,0.225188
-0.521286,-0.0756624,0.21724
-0.566363,-0.125592,0.210104
-0.607604,-0.168122,0.205645
-0.626975,-0.199087,0.196297
-0.622399,-0.225313,0.179362
-0.593485,-0.232942,0.157165
-0.566134,-0.239632,0.134303
-0.57706,-0.260056,0.122885
-0.590136,-0.267224,0.119253
-0.585637,-0.266684,0.111236
-0.587213,-0.2857,0.0978046
-0.60087,-0.293379,0.0960173
-0.606464,-0.298735,0.0914115
-0.613508,-0.310501,0.0865636
-0.61756,-0.328087,0.0772447
-0.616277,-0.342572,0.0668565
-0.597773,-0.350135,0.0528493
-0.587567,-0.356361,0.0418345
-0.571772,-0.356232,0.0328584
-0.552755,-0.34993,0.0259975
-0.537843,-0.334805,0.0298388
-0.530145,-0.325991,0.0340158
-0.521323,-0.301461,0.0472584
-0.514215,-0.277099,0.0613062
-0.500848,-0.268566,0.0635463
-0.480433,-0.246016,0.0694556
-0.447041,-0.220428,0.0669145
-0.457567,-0.20249,0.068512
-0.504133,-0.190039,0.0749331
-0.521885,-0.174423,0.072049
-0.512784,-0.141081,0.0730034
-0.524844,-0.103284,0.0841511
-0.558819,-0.0788648,0.0984411
-0.576724,-0.0561274,0.10837
-0.54977,-0.024951,0.110403
-0.48946,0.00233564,0.10395
-0.45367,-0.00336178,0.0892995
-0.433753,-0.0393528,0.0673266
-0.363116,-0.0792534,0.0325192
-0.250888,-0.101734,-0.00210526
-0.150769,-0.126429,-0.0314715
-0.111278,-0.179653,-0.0587194
-0.115349,-0.240908,-0.0801211
-0.142984,-0.289456,-0.0885937
-0.165831,-0.303452,-0.083707
-0.159077,-0.273844,-0.0684645
-0.179404,-0.220489,-0.039775
-0.23129,-0.150179,0.00136886
-0.259747,-0.0838682,0.0310328
-0.257589,-0.0293501,0.0451813
-0.274034,-0.0141422,0.0453579
-0.308291,-0.0458366,0.0286054
-0.32409,-0.0852433,0.00641339
-0.257115,-0.0945546,-0.0210281
-0.180417,-0.080606,-0.0357778
-0.119546,-0.0730893,-0.0464846
-0.0476622,-0.0643016,-0.0546058
0.024086,-0.046066,-0.0555909
0.0595403,-0.0438276,-0.0526251
0.0638824,-0.0708623,-0.0554109
0.0628637,-0.100506,-0.0621316
0.0930292,-0.102558,-0.0660757
0.131464,-0.0840826,-0.0669821
0.109718,-0.0634108,-0.0561899
0.0442457,-0.0363771,-0.032991
-0.021264,0.00303799,-0.00509148
-0.0485121,0.0420266,0.0141104
-0.111105,0.0649903,0.0402361
-0.176309,0.07995,0.0649135
-0.19655,0.0989814,0.0815529
-0.161711,0.12408,0.0865382
-0.0870017,0.143538,0.07765
-0.0342398,0.134888,0.0619127
0.0146472,0.112966,0.0394446
0.0696027,0.107449,0.0254194
0.107901,0.107458,0.0214822
0.111389,0.0850731,0.0192393
0.103919,0.0433094,0.0102238
0.0648157,0.00990986,0.0103466
0.0142828,0.00615816,0.0210636
-0.0286504,0.0200946,0.0333121
-0.0722385,0.0227082,0.0387194
-0.102917,0.012062,0.0344193
-0.0826508,0.00620342,0.0195088
-0.0351816,0.0128749,0.00376795
-0.00249454,-0.00737898,-0.018979
0.0256623,-0.0489747,-0.0494388
0.0707738,-0.0790588,-0.0788727
0.0964116,-0.0918563,-0.0958453
0.0988073,-0.0762305,-0.0948682
0.102911,-0.0405637,-0.0827617
0.134012,-0.00317745,-0.0717186
0.176706,0.0163146,-0.0691486
0.20177,0.0128532,-0.0716332
0.206847,-0.0246194,-0.0859286
0.211972,-0.0710685,-0.104936
0.227885,-0.116034,-0.127502
0.224189,-0.151547,-0.14117
0.166846,-0.163559,-0.131032
0.0883467,-0.15523,-0.108072
0.0211471,-0.12623,-0.0786957
-0.0203298,-0.0762112,-0.0458815
-0.0718761,-0.0367104,-0.00862293
-0.0835719,-0.00479257,0.0150809
-0.0611989,0.0116481,0.0215623
-0.0335432,0.0122897,0.0185828
0.00999667,0.0215708,0.0111547
0.0461553,0.051272,0.011561
0.0707226,0.0713456,0.0111915
0.0760941,0.0777311,0.00906869
0.0613255,0.0725,0.00647908
0.0205909,0.053192,0.00573279
-0.00860477,0.0428235,0.0068017
-0.0225754,0.0498322,0.011137
-0.0392215,0.0480301,0.012902
-0.0463647,0.0473001,0.0131708
-0.036491,0.0537487,0.0122624
-0.018125,0.0541679,0.006902
0.0118367,0.0516497,-0.00441732
0.0338689,0.0417113,-0.0172692
0.0535858,0.0340235,-0.0293226
0.0795616,0.0324185,-0.0420253
0.108047,0.0339057,-0.0560442
0.125577,0.0328548,-0.0682066
0.134188,0.0261331,-0.0806407
0.134613,0.0115308,-0.0943746
0.137055,0.00197039,-0.106332
0.142924,-0.00389569,-0.117079
0.137791,-0.0189735,-0.127176
0.120749,-0.0394831,-0.135885
0.102647,-0.053029,-0.139868
0.103233,-0.0519695,-0.143044
0.110074,-0.0459241,-0.145617
0.125043,-0.0403204,-0.150493
0.132333,-0.0406663,-0.154788
0.144116,-0.0421148,-0.161082
0.145607,-0.0458039,-0.164427
0.143948,-0.0498809,-0.167822
0.151357,-0.0458469,-0.169791
0.159089,-0.0341498,-0.168932
0.150544,-0.0312772,-0.166859
0.121903,-0.0380331,-0.161272
0.108339,-0.0388078,-0.159262
0.104477,-0.032924,-0.156128
