joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6
1.19776e-05,0,-4.79323e-05,0,-3.83284e-05,0,0
1.19776e-05,0,-4.79323e-05,0,-3.83284e-05,0,0
1.1977e-05,-2.39541e-05,-2.39759e-05,-1.1977e-05,0,2.39541e-05,5.99289e-05
-1.19776e-05,-1.19776e-05,0,1.19776e-05,1.91642e-05,0,-1.19776e-05
-2.39759e-05,0,0,-1.1977e-05,1.91633e-05,0,-4.79518e-05
3.59547e-05,1.19776e-05,0,-1.19994e-05,-1.91642e-05,3.59547e-05,2.39771e-05
0.000215718,0.000635154,0.0101744,-0.0130505,0.00636587,0.0158907,-0.0141051
-0.000287637,0.00420657,0.0738127,-0.0817344,0.0466534,0.120696,-0.0647164
-0.000287637,0.00420657,0.0738127,-0.0817344,0.0466534,0.120696,-0.0647164
-0.0154233,-0.000251649,0.189562,-0.171275,0.0988436,0.29991,-0.0931273
-0.0683761,-0.0520895,0.346578,-0.286945,0.197433,0.502895,-0.212888
-0.105171,-0.214692,0.644125,-0.542034,0.451287,0.740416,-0.463515
-0.106013,-0.312902,0.747924,-0.638442,0.57393,0.835637,-0.527828
-0.0739649,-0.375937,0.824172,-0.6781,0.653077,0.880772,-0.537121
-0.0295898,-0.403039,0.859877,-0.694707,0.683214,0.869873,-0.522849
-0.0295898,-0.403039,0.859877,-0.694707,0.683214,0.869873,-0.522849
0.0218228,-0.423944,0.877908,-0.695956,0.698367,0.85569,-0.501205
0.0674489,-0.435637,0.873312,-0.715296,0.710596,0.841409,-0.478206
0.118306,-0.454683,0.860951,-0.733574,0.715586,0.820949,-0.453605
0.171259,-0.461524,0.853334,-0.739757,0.719206,0.82245,-0.428543
0.171259,-0.461524,0.853334,-0.739757,0.719206,0.82245,-0.428543
0.251507,-0.474666,0.87712,-0.724849,0.728843,0.830849,-0.347956
0.289988,-0.505771,0.871161,-0.727761,0.739477,0.862233,-0.198023
0.297779,-0.549215,0.86883,-0.751274,0.748467,0.867476,-0.0708525
0.308946,-0.575817,0.883481,-0.772018,0.749313,0.878328,0.0424951
0.318776,-0.595655,0.905275,-0.772606,0.747796,0.8768,0.104529
0.30794,-0.616071,0.907377,-0.781677,0.748355,0.870346,0.13911
0.27737,-0.622919,0.886543,-0.789924,0.74327,0.869309,0.172769
0.253592,-0.630008,0.889137,-0.826509,0.742698,0.861886,0.179723
0.234957,-0.624561,0.915198,-0.850038,0.744939,0.849571,0.168263
0.200635,-0.623177,0.92558,-0.851999,0.751768,0.853797,0.122584
0.145744,-0.622344,0.91992,-0.839276,0.759474,0.864611,0.0655074
0.0902631,-0.62295,0.923579,-0.851627,0.773473,0.877705,-0.0107496
0.0471471,-0.614614,0.951212,-0.876416,0.788735,0.893099,-0.0835201
0.00475764,-0.600156,0.973888,-0.873342,0.802733,0.900965,-0.145557
-0.0490167,-0.598243,0.984073,-0.843842,0.807373,0.903849,-0.191656
-0.11682,-0.605837,0.978382,-0.823717,0.813777,0.921086,-0.234334
-0.17024,-0.605422,0.997196,-0.82239,0.821889,0.932552,-0.261251
-0.210198,-0.596681,1.02681,-0.814777,0.824937,0.922692,-0.275331
-0.253473,-0.584361,1.02526,-0.793901,0.825224,0.924897,-0.242447
-0.296545,-0.569469,1.01201,-0.777604,0.829674,0.943565,-0.18884
-0.311822,-0.564648,1.02362,-0.771299,0.832779,0.932555,-0.140751
-0.322312,-0.548448,1.02879,-0.795317,0.834679,0.933774,-0.0647404
-0.339242,-0.54177,1.01843,-0.809684,0.841465,0.94672,0.0159507
-0.353879,-0.552139,1.00618,-0.808044,0.842272,0.948143,0.0701933
-0.354485,-0.557529,1.01436,-0.823777,0.840257,0.933849,0.105842
-0.359248,-0.560804,1.01852,-0.832768,0.836539,0.927338,0.128043
