action_0,action_1,action_2,action_3,action_4,action_5,action_6
-0.107863,-0.299168,0.582323,-0.67969,0.268848,0.594886,-0.222126
0.366201,-0.691198,0.637535,-0.700202,0.559281,0.626449,-0.381521
0.252331,-0.731795,0.622425,-0.667219,0.622751,0.631842,-0.460557
0.230143,-0.732442,0.630484,-0.65255,0.629047,0.630004,-0.452899
0.210108,-0.730403,0.635807,-0.64929,0.629169,0.628851,-0.446936
0.189254,-0.731567,0.636959,-0.650947,0.628462,0.628663,-0.439273
0.167883,-0.732049,0.638956,-0.652387,0.628029,0.627615,-0.42645
0.151873,-0.731648,0.640887,-0.654293,0.628646,0.624825,-0.396594
0.158371,-0.731964,0.643857,-0.656592,0.629525,0.621844,-0.36127
0.19269,-0.729235,0.647559,-0.658064,0.631746,0.623326,-0.350975
0.236374,-0.728556,0.651699,-0.657428,0.632257,0.623637,-0.355863
0.2757,-0.729316,0.654588,-0.655136,0.632574,0.62308,-0.367731
0.344186,-0.728476,0.654525,-0.655187,0.633263,0.625183,-0.369921
0.392296,-0.726149,0.655816,-0.652982,0.632632,0.627112,-0.373208
0.425824,-0.7227,0.659747,-0.651971,0.632274,0.628763,-0.37554
0.448443,-0.71977,0.662374,-0.6528,0.633036,0.630059,-0.376982
0.444913,-0.716944,0.663414,-0.654337,0.634457,0.630586,-0.37801
0.437307,-0.715307,0.665019,-0.654751,0.634873,0.631694,-0.373834
0.423975,-0.713408,0.667431,-0.654259,0.634617,0.633193,-0.365538
0.409573,-0.713897,0.667771,-0.655359,0.634884,0.633909,-0.359602
0.400064,-0.714752,0.66729,-0.656396,0.634917,0.634374,-0.351726
0.380966,-0.714939,0.66793,-0.657038,0.634872,0.63485,-0.343182
0.366695,-0.714686,0.667331,-0.657457,0.634798,0.635586,-0.333831
0.350465,-0.714307,0.666782,-0.65686,0.634011,0.636117,-0.32166
0.320929,-0.713778,0.666578,-0.655934,0.633108,0.636688,-0.309112
0.295383,-0.713586,0.665576,-0.655444,0.632217,0.637409,-0.295423
0.265808,-0.714204,0.664693,-0.655479,0.631327,0.637732,-0.282195
0.217645,-0.714125,0.664927,-0.655017,0.63022,0.638611,-0.266764
0.158868,-0.71312,0.663809,-0.655081,0.629175,0.639672,-0.249276
0.0736578,-0.711776,0.662951,-0.654959,0.627804,0.641022,-0.226478
-0.024639,-0.711146,0.662126,-0.656193,0.627119,0.642772,-0.198148
-0.138631,-0.712207,0.658817,-0.659434,0.626842,0.643256,-0.166458
-0.211214,-0.715401,0.653168,-0.664132,0.62565,0.641576,-0.122727
-0.254966,-0.714743,0.651644,-0.667384,0.623782,0.640153,-0.0816297
-0.288166,-0.713071,0.650576,-0.669555,0.62156,0.639392,-0.0484216
-0.310574,-0.710141,0.650942,-0.670619,0.61975,0.639305,-0.0190678
-0.334557,-0.707561,0.651805,-0.670961,0.617718,0.639067,0.018018
-0.362544,-0.704246,0.652259,-0.671135,0.615511,0.639326,0.0617645
-0.389077,-0.703034,0.652951,-0.671229,0.613209,0.639164,0.104009
-0.407449,-0.700943,0.651112,-0.672919,0.61256,0.6386,0.13048
-0.41915,-0.696483,0.650399,-0.674843,0.613921,0.636994,0.140635
-0.42721,-0.695082,0.650046,-0.675847,0.614634,0.636377,0.148676
-0.430309,-0.692402,0.649203,-0.676551,0.615539,0.635486,0.148666
-0.43169,-0.690012,0.648424,-0.677177,0.616558,0.634408,0.148783
-0.439695,-0.688004,0.647783,-0.677164,0.61717,0.634826,0.151032
-0.446796,-0.686328,0.647147,-0.677286,0.617828,0.634854,0.151626
-0.446247,-0.686788,0.646681,-0.677767,0.618627,0.634126,0.149181
-0.441906,-0.687916,0.646579,-0.677959,0.619573,0.634106,0.141997
-0.438293,-0.689207,0.646659,-0.677477,0.620032,0.635088,0.135398
-0.43594,-0.690129,0.645971,-0.677074,0.620324,0.635263,0.131839
-0.434941,-0.688784,0.645215,-0.677132,0.621202,0.635041,0.12694
-0.435072,-0.687334,0.644761,-0.677536,0.622008,0.634848,0.123172
-0.432907,-0.686967,0.644173,-0.678261,0.623062,0.634148,0.117562
-0.423312,-0.68736,0.644333,-0.678875,0.624319,0.634104,0.109994
-0.418148,-0.687508,0.644437,-0.679222,0.625243,0.634285,0.101577
-0.413769,-0.686888,0.64419,-0.680029,0.626291,0.633842,0.0928682
-0.409165,-0.686463,0.643886,-0.680634,0.62703,0.633233,0.0854336
-0.409713,-0.685516,0.643341,-0.680596,0.62697,0.632941,0.0821168
-0.41572,-0.682587,0.642494,-0.68051,0.62617,0.632423,0.0878909
-0.417234,-0.680102,0.641388,-0.68056,0.625464,0.631342,0.0955469
-0.416269,-0.679272,0.641126,-0.68012,0.62442,0.631128,0.106273
-0.415613,-0.678361,0.641032,-0.680295,0.624344,0.630763,0.110884
-0.412888,-0.678301,0.640941,-0.679884,0.62384,0.63054,0.11509
-0.407935,-0.678406,0.640728,-0.679621,0.623751,0.630259,0.11479
-0.402052,-0.678057,0.640713,-0.679585,0.624117,0.630087,0.110009
-0.395773,-0.677507,0.640584,-0.679474,0.623937,0.629661,0.108017
-0.390174,-0.675653,0.640239,-0.679357,0.623172,0.628556,0.109884
-0.386385,-0.674457,0.639986,-0.678926,0.622231,0.62797,0.114548
-0.380719,-0.67302,0.639437,-0.67783,0.62064,0.627539,0.123583
-0.374673,-0.67256,0.63916,-0.677053,0.619519,0.627403,0.132043
-0.367661,-0.672688,0.638294,-0.676791,0.619101,0.626999,0.13623
-0.362872,-0.672702,0.637256,-0.676611,0.618673,0.626506,0.137634
-0.359823,-0.672306,0.637629,-0.676055,0.618021,0.626567,0.140149
-0.356809,-0.671274,0.636952,-0.675591,0.616934,0.625973,0.146004
-0.350991,-0.670868,0.633809,-0.675818,0.615679,0.62507,0.153897
-0.336818,-0.67182,0.632825,-0.674597,0.614503,0.626065,0.159722
-0.325161,-0.672972,0.631156,-0.673622,0.613104,0.626844,0.165232
-0.313851,-0.672608,0.62917,-0.673031,0.611732,0.626827,0.169752
-0.309344,-0.672258,0.628415,-0.67225,0.610797,0.626763,0.173203
-0.305169,-0.671857,0.627733,-0.671939,0.609659,0.626231,0.178684
-0.30408,-0.670786,0.626767,-0.671571,0.608299,0.625932,0.186269
-0.296256,-0.671554,0.624729,-0.671205,0.605362,0.625215,0.195492
-0.285841,-0.673107,0.621629,-0.670712,0.601195,0.624488,0.204062
-0.278519,-0.673182,0.619362,-0.669806,0.599627,0.624234,0.207818
-0.265507,-0.673163,0.617139,-0.66923,0.596145,0.62286,0.21226
-0.251162,-0.672999,0.614824,-0.668526,0.594609,0.621472,0.21474
-0.232268,-0.673661,0.613988,-0.667802,0.593365,0.617944,0.213048
-0.21203,-0.672728,0.612999,-0.66709,0.593848,0.61791,0.210206
-0.197387,-0.671693,0.612021,-0.667267,0.597065,0.620894,0.205019
-0.182893,-0.672496,0.609824,-0.667567,0.596353,0.617754,0.200849
-0.158905,-0.674298,0.607644,-0.667183,0.595493,0.613667,0.189196
-0.131309,-0.674537,0.604943,-0.666961,0.597691,0.613746,0.175779
-0.0890836,-0.672541,0.602933,-0.665665,0.597463,0.610422,0.159784
-0.0677086,-0.668202,0.602727,-0.664776,0.597234,0.61524,0.135715
-0.0417967,-0.664337,0.605685,-0.663409,0.596327,0.613824,0.116569
-0.00189255,-0.658269,0.603626,-0.662485,0.590623,0.608925,0.0989983
0.022696,-0.651685,0.602602,-0.661665,0.591965,0.611384,0.078002
-0.000527684,-0.645475,0.603872,-0.660904,0.592732,0.613189,0.070836
-0.0181123,-0.640626,0.606779,-0.660386,0.585295,0.60811,0.0863518
0.00532264,-0.633227,0.60709,-0.65939,0.577829,0.598356,0.0976803
0.0433895,-0.623378,0.605072,-0.659034,0.581584,0.603983,0.0888803
0.101733,-0.611535,0.601694,-0.657871,0.577582,0.605175,0.0708729
0.185225,-0.591857,0.60051,-0.655187,0.573888,0.600245,0.0479967
0.273343,-0.5668,0.605764,-0.650708,0.581927,0.602286,0.00527754
0.339612,-0.544585,0.613844,-0.646203,0.5803,0.600886,-0.0358872
0.378363,-0.529491,0.620478,-0.642849,0.578623,0.59546,-0.046737
0.401809,-0.522354,0.621885,-0.640815,0.577555,0.591515,-0.0416706
0.423967,-0.513498,0.62351,-0.639072,0.57689,0.590412,-0.0332023
0.448136,-0.499193,0.625295,-0.636523,0.575412,0.589265,-0.0251498
0.478923,-0.480077,0.624978,-0.631726,0.572517,0.587467,-0.0289174
0.509464,-0.451273,0.625017,-0.625013,0.568029,0.584621,-0.0443656
0.542842,-0.421143,0.628691,-0.616977,0.563764,0.582812,-0.0657413
0.572911,-0.38389,0.631146,-0.60786,0.559045,0.580136,-0.0872582
0.58943,-0.341103,0.630813,-0.602258,0.55462,0.575599,-0.0874063
0.590297,-0.29051,0.630449,-0.599326,0.553142,0.57168,-0.072597
0.589949,-0.24295,0.628705,-0.59667,0.551395,0.567793,-0.0646624
0.589538,-0.19055,0.626199,-0.59367,0.54972,0.565419,-0.0675919
0.590655,-0.120804,0.623676,-0.589952,0.546741,0.562709,-0.0698021
0.594175,-0.0208151,0.62177,-0.586268,0.543583,0.561188,-0.0709279
0.596734,0.153649,0.620309,-0.581204,0.540263,0.559021,-0.0685376
0.609072,0.376274,0.623655,-0.572487,0.537299,0.555503,-0.0286564
0.624145,0.489037,0.633128,-0.566861,0.53732,0.552827,-0.0123692
0.61085,0.535717,0.641732,-0.571693,0.537708,0.512334,0.0992739
0.594353,0.533256,0.64175,-0.572728,0.531959,0.453461,0.16256
0.587634,0.51379,0.641141,-0.577147,0.525216,0.387406,0.200264
0.58668,0.510534,0.639535,-0.575532,0.517292,0.283858,0.228498
0.584463,0.534097,0.641945,-0.57735,0.516902,0.0700723,0.274137
0.57819,0.564467,0.663666,-0.586153,0.551146,-0.48347,0.305493
0.541977,0.614758,0.675389,-0.606216,0.585822,-0.687612,0.343987
0.515793,0.583536,0.672609,-0.592343,0.586385,-0.684378,0.337183
0.467722,0.602707,0.670801,-0.551774,0.588187,-0.675662,0.305794
0.366106,0.635166,0.665146,-0.576388,0.58616,-0.654719,0.316423
0.073364,0.677543,0.661326,-0.57391,0.587123,-0.587818,0.326141
-0.375,0.695742,0.649413,-0.568508,0.579584,-0.346552,0.268542
-0.561739,0.538411,0.638337,-0.573112,0.595814,0.193587,-0.0168078
-0.150847,0.0312498,0.629642,-0.377906,0.588609,0.589974,-0.256549
0.213278,-0.249027,0.636946,-0.490243,0.606941,0.538506,-0.359358
-0.252483,-0.356533,0.588523,-0.562913,0.608286,0.428381,-0.438477
-0.460552,0.174772,0.535136,-0.12091,0.633314,0.542407,-0.37453
-0.131048,0.517855,0.625438,0.438414,0.616365,0.56948,-0.245314
-0.570208,0.649599,0.62328,-0.431827,0.605611,0.642575,0.249018
-0.603186,-0.348988,0.615052,-0.0573786,0.603879,0.618757,0.236754
-0.586273,-0.629059,0.631531,0.199393,0.61694,0.594352,0.307721
-0.56733,-0.547738,0.607822,0.524734,0.629611,0.42633,0.246013
-0.383992,-0.576402,0.601295,0.575524,0.623906,0.320882,-0.154752
0.103941,-0.614747,0.612766,0.490842,0.544025,0.478517,-0.398463
0.0294286,-0.634164,0.604329,0.304474,0.562167,0.559976,-0.296273
0.000245853,-0.681774,0.625235,-0.148705,0.619067,0.489513,-0.166969
-0.101997,-0.699324,0.619883,-0.489614,0.599583,0.369422,0.0484355
-0.462027,-0.577302,0.523982,-0.491258,0.324933,-0.313667,0.250913
-0.476758,-0.646373,0.517561,-0.333731,0.614677,0.129347,0.18199
-0.589052,-0.58658,0.572553,-0.356668,0.620422,0.673978,-0.0104963
-0.503603,-0.0894416,0.643443,-0.444845,0.634376,0.649031,0.336586
-0.459664,0.00591367,0.533453,-0.323229,0.60628,0.655669,0.341158
-0.441431,0.248205,0.660761,-0.316729,0.628669,0.685385,0.323998
-0.313316,-0.236608,0.658539,-0.392458,0.619087,0.669223,0.266654
-0.559817,-0.145627,0.653425,-0.547685,0.626668,0.683451,0.436228
-0.542216,-0.459625,0.599538,-0.554223,0.602301,0.671278,0.424117
-0.624697,-0.493554,0.617106,-0.492501,0.601279,0.671513,0.428129
-0.607735,-0.41812,0.600306,-0.46175,0.599338,0.626907,0.407015
-0.603242,-0.386095,0.563936,-0.441668,0.598473,0.606783,0.401741
-0.610799,-0.484652,0.5762,-0.428919,0.597764,0.604154,0.431232
-0.661183,-0.553417,0.596466,-0.470767,0.589339,0.568928,0.435208
-0.69096,-0.48472,0.58283,-0.488326,0.564948,0.534273,0.421656
-0.692707,-0.427873,0.578241,-0.476042,0.576541,0.533051,0.395916
-0.698903,-0.485529,0.57687,-0.475364,0.585858,0.538297,0.387424
-0.715052,-0.481435,0.566759,-0.506098,0.58439,0.538419,0.390322
-0.71882,-0.45318,0.549765,-0.518862,0.559098,0.545442,0.371144
-0.717709,-0.412914,0.491977,-0.536235,0.545043,0.554989,0.34759
-0.718221,-0.383136,0.426663,-0.555643,0.531333,0.573735,0.331605
-0.720839,-0.379957,0.374788,-0.552783,0.548376,0.619069,0.311364
-0.718706,-0.390674,0.350586,-0.55392,0.54981,0.633574,0.29429
-0.713889,-0.395085,0.344804,-0.556311,0.548079,0.634817,0.287093
-0.708412,-0.37363,0.327502,-0.576961,0.540235,0.628955,0.284007
-0.699765,-0.382076,0.328347,-0.588355,0.536133,0.62829,0.280754
