pos_X,pos_Y,pos_Z
0.318307,-0.332315,0.901738
0.318307,-0.332315,0.901738
0.318307,-0.332315,0.901738
0.318307,-0.332315,0.901738
0.318307,-0.332315,0.901738
0.318307,-0.332315,0.901738
0.318319,-0.33229,0.901783
0.318423,-0.332111,0.902024
0.318622,-0.331824,0.902382
0.318739,-0.331657,0.902747
0.318768,-0.331555,0.903234
0.318796,-0.331407,0.903867
0.318831,-0.331235,0.904585
0.318847,-0.331089,0.905349
0.318886,-0.33092,0.906152
0.318996,-0.330655,0.907035
0.319165,-0.330289,0.908014
0.319363,-0.329874,0.90904
0.319557,-0.329449,0.910109
0.319766,-0.328974,0.911238
0.320015,-0.328438,0.912393
0.32029,-0.327854,0.913577
0.320569,-0.327249,0.91478
0.320835,-0.32665,0.915978
0.321073,-0.326059,0.917191
0.321273,-0.325474,0.918439
0.321454,-0.324889,0.9197
0.321597,-0.324314,0.920994
0.321689,-0.323759,0.922324
0.321727,-0.323237,0.923679
0.321724,-0.322738,0.925052
0.321707,-0.322247,0.926415
0.321666,-0.32178,0.927755
0.321596,-0.321333,0.929097
0.321516,-0.3209,0.930417
0.32141,-0.320478,0.931743
0.321263,-0.32009,0.933063
0.321062,-0.319753,0.934374
0.320806,-0.319462,0.935683
0.320506,-0.319206,0.936976
0.320141,-0.319002,0.938261
0.319724,-0.318832,0.939558
0.319273,-0.3187,0.940838
0.318766,-0.3186,0.942127
0.318196,-0.318556,0.943422
0.317587,-0.318547,0.944709
0.316956,-0.318536,0.946002
0.316291,-0.318549,0.947289
0.315574,-0.318613,0.948569
0.314784,-0.318724,0.949874
0.313932,-0.318883,0.951192
0.313034,-0.31908,0.95251
0.312112,-0.319276,0.953845
0.31118,-0.319457,0.955194
0.310225,-0.319655,0.956541
0.309239,-0.319884,0.957876
0.308237,-0.320119,0.959207
0.307216,-0.32036,0.960546
0.306125,-0.320676,0.961877
0.304969,-0.321047,0.963205
0.303789,-0.321421,0.964553
0.30262,-0.321778,0.965889
0.301443,-0.322131,0.967232
0.300265,-0.322478,0.968571
0.299099,-0.322811,0.969896
0.297909,-0.323152,0.971227
0.296684,-0.32351,0.97256
0.295422,-0.323901,0.973881
0.294106,-0.324327,0.975218
0.292765,-0.324765,0.976557
0.291456,-0.325158,0.977896
0.290177,-0.325517,0.979225
0.288892,-0.325884,0.980542
0.287603,-0.326238,0.981868
0.286306,-0.326579,0.98319
0.284968,-0.326958,0.984506
0.283568,-0.327373,0.985839
0.282127,-0.327814,0.987171
0.280675,-0.328255,0.988503
0.279245,-0.32868,0.989815
0.277852,-0.329071,0.991109
0.276492,-0.329413,0.992406
0.275138,-0.32974,0.993702
0.273771,-0.33008,0.994986
0.272364,-0.330424,0.996297
0.270929,-0.330784,0.997605
0.269446,-0.331184,0.998909
0.267927,-0.331624,1.00019
0.266437,-0.332039,1.00146
0.265005,-0.332386,1.00273
0.263603,-0.332701,1.00399
0.262195,-0.333013,1.00525
0.260749,-0.333333,1.00653
0.259278,-0.333663,1.00782
0.257773,-0.334016,1.0091
0.25624,-0.334406,1.01035
0.254703,-0.334802,1.01159
0.253226,-0.335143,1.01282
0.251814,-0.335426,1.01405
0.250449,-0.335662,1.01527
0.249106,-0.335866,1.01651
0.247746,-0.336082,1.01774
0.246338,-0.336332,1.01898
0.244875,-0.336642,1.0202
0.243386,-0.336977,1.0214
0.241929,-0.337269,1.02261
0.240556,-0.337489,1.02382
0.239264,-0.337638,1.02501
0.23802,-0.337726,1.02623
0.236808,-0.337788,1.02745
0.235583,-0.337866,1.02865
0.234334,-0.337997,1.02982
0.233075,-0.338151,1.03097
0.231839,-0.338285,1.03213
0.230685,-0.338358,1.03328
0.229624,-0.338352,1.03443
0.228646,-0.338259,1.0356
0.227719,-0.338124,1.03676
0.226805,-0.337988,1.03792
0.225899,-0.337873,1.03904
0.225,-0.337769,1.04015
0.224127,-0.337646,1.04126
0.223328,-0.337468,1.04236
0.222641,-0.33719,1.04347
0.22207,-0.336793,1.0446
0.221603,-0.336299,1.04573
0.221204,-0.335745,1.04686
0.220866,-0.335155,1.04798
0.220579,-0.334534,1.04907
0.220324,-0.333878,1.05017
0.220131,-0.333159,1.05127
0.220042,-0.332314,1.05236
0.220038,-0.331318,1.05346
0.220098,-0.330186,1.05458
0.2202,-0.328946,1.0557
0.220336,-0.327612,1.05681
0.220532,-0.326196,1.05791
0.220766,-0.324711,1.05901
0.221016,-0.323184,1.06012
0.221328,-0.32161,1.06123
0.22171,-0.320026,1.06231
0.222107,-0.318447,1.0634
0.222482,-0.316898,1.06449
0.222916,-0.315412,1.06547
0.223517,-0.314003,1.06627
0.224176,-0.312623,1.06699
0.224768,-0.31128,1.06773
0.225293,-0.310008,1.06845
0.225878,-0.308823,1.06903
0.22655,-0.307742,1.06942
0.227213,-0.306752,1.06971
0.227813,-0.305859,1.06995
0.228343,-0.305031,1.07017
0.22878,-0.304228,1.07041
0.229131,-0.303442,1.07067
0.229326,-0.302686,1.07099
0.229307,-0.301956,1.07145
0.229127,-0.301228,1.07206
0.228873,-0.300528,1.07272
0.228646,-0.299893,1.07334
0.228472,-0.299309,1.0739
0.228277,-0.29879,1.07444
0.228026,-0.298367,1.07497
0.227729,-0.298027,1.07549
0.227336,-0.297746,1.07603
0.22679,-0.297582,1.0766
0.226122,-0.29751,1.07718
0.225345,-0.297485,1.0778
0.224463,-0.29752,1.07843
0.223475,-0.297625,1.07908
0.222397,-0.297788,1.07973
0.221233,-0.297977,1.08041
0.219987,-0.298207,1.0811
0.218646,-0.298461,1.08183
0.217237,-0.298717,1.08259
0.215767,-0.298985,1.08338
0.214234,-0.299264,1.08421
0.212663,-0.299552,1.08506
0.211045,-0.299855,1.08594
0.209383,-0.300176,1.08682
0.207654,-0.300555,1.08771
0.205852,-0.301035,1.08857
0.203948,-0.301634,1.08941
0.201923,-0.302411,1.09021
0.199809,-0.303361,1.09094
0.197682,-0.304387,1.09163
0.195633,-0.305372,1.09229
0.193641,-0.30634,1.09293
0.191583,-0.307388,1.09354
0.189582,-0.308328,1.09418
0.187727,-0.309039,1.09488
0.185884,-0.309625,1.09561
0.183964,-0.310156,1.09637
0.18199,-0.310606,1.09717
0.179972,-0.310976,1.098
0.177868,-0.311333,1.09886
0.175663,-0.311722,1.09971
0.173425,-0.312113,1.10055
0.171221,-0.312447,1.1014
0.169068,-0.31269,1.10226
0.166974,-0.312873,1.10313
0.164937,-0.313001,1.10401
0.162991,-0.313055,1.10491
0.161131,-0.313028,1.10581
0.159323,-0.31296,1.10672
0.157532,-0.312892,1.10763
0.155752,-0.31282,1.10853
0.15397,-0.312731,1.10943
0.152227,-0.312613,1.11033
0.150542,-0.312413,1.11127
0.148896,-0.312125,1.11223
0.147244,-0.311804,1.11322
0.145561,-0.311513,1.11419
0.143874,-0.311219,1.11515
0.142165,-0.310916,1.11611
0.140468,-0.310589,1.11707
0.13882,-0.310211,1.11803
0.137233,-0.309784,1.11899
0.135668,-0.309365,1.11992
0.134123,-0.309025,1.12078
0.132572,-0.308752,1.12159
0.131027,-0.308552,1.12234
0.129528,-0.308391,1.12305
0.128114,-0.308207,1.12373
0.126816,-0.307978,1.1244
0.125616,-0.307761,1.12502
0.12447,-0.307578,1.12558
0.12337,-0.307465,1.12608
0.12228,-0.307459,1.12649
0.121248,-0.30755,1.12681
0.120337,-0.307692,1.12705
0.119523,-0.30784,1.12724
0.118809,-0.307997,1.12738
0.118159,-0.308205,1.12747
0.117492,-0.308468,1.12752
0.116753,-0.308793,1.12755
0.115937,-0.309176,1.12757
0.115139,-0.309534,1.12759
0.114413,-0.309832,1.1276
0.113764,-0.310081,1.12761
0.11316,-0.310321,1.1276
0.112582,-0.310589,1.12756
0.11204,-0.310914,1.12747
0.111552,-0.311335,1.1273
0.111155,-0.311822,1.12707
0.110869,-0.312319,1.12678
0.110734,-0.312791,1.12646
0.110731,-0.313223,1.12611
0.110781,-0.313688,1.12572
0.110834,-0.3142,1.1253
0.110865,-0.314755,1.12485
0.11084,-0.315362,1.12438
0.110821,-0.315971,1.12391
0.110846,-0.316508,1.12347
0.11093,-0.316939,1.12306
0.111042,-0.317302,1.12268
0.111156,-0.31766,1.1223
0.111264,-0.318038,1.12192
0.111337,-0.318468,1.12151
0.1114,-0.31893,1.12109
0.111517,-0.319369,1.12066
0.111705,-0.31974,1.12025
0.111957,-0.320051,1.11985
0.11223,-0.320355,1.11944
0.112501,-0.32068,1.11903
0.112778,-0.321052,1.11858
0.113054,-0.321484,1.1181
0.113322,-0.321953,1.11761
0.113633,-0.322381,1.11712
0.114032,-0.322699,1.11667
0.114483,-0.322937,1.11624
0.114955,-0.323118,1.11583
0.115419,-0.323296,1.11543
0.115843,-0.323502,1.11502
0.116193,-0.323762,1.11461
0.116477,-0.324087,1.11419
0.116755,-0.324404,1.11377
0.11709,-0.324655,1.11337
0.117488,-0.324842,1.11299
0.117945,-0.324957,1.11261
0.118438,-0.32505,1.11223
0.118937,-0.325155,1.11185
0.119424,-0.325305,1.11144
0.119883,-0.325499,1.11102
0.120333,-0.325703,1.1106
0.120793,-0.325888,1.11018
0.121284,-0.326021,1.10978
0.121815,-0.326091,1.10939
0.122368,-0.326115,1.10902
0.122924,-0.326136,1.10864
0.123458,-0.326195,1.10826
0.123967,-0.326278,1.10786
0.12445,-0.326379,1.10747
0.124917,-0.326471,1.10709
0.125396,-0.326548,1.10671
0.12589,-0.326611,1.10632
0.126436,-0.32663,1.10595
0.127024,-0.326621,1.10557
