joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6
0.78638,0.00377587,1.32639,1.23265,1.6056,-0.907423,1.57073
0.78638,0.00377587,1.32639,1.23265,1.6056,-0.907423,1.57073
0.78638,0.00377593,1.32639,1.23265,1.6056,-0.907423,1.57073
0.78638,0.00377593,1.32639,1.23265,1.6056,-0.907423,1.57073
0.78638,0.00377581,1.32639,1.23265,1.6056,-0.907423,1.57073
0.78638,0.00377587,1.32639,1.23265,1.6056,-0.907423,1.57073
0.786382,0.00377988,1.32644,1.23256,1.60563,-0.907352,1.57069
0.786391,0.00380649,1.32686,1.23206,1.60573,-0.907038,1.57049
0.786338,0.00378522,1.32775,1.23135,1.60594,-0.9064,1.57004
0.786129,0.00356878,1.32881,1.23065,1.6062,-0.905395,1.56935
0.785898,0.00305837,1.33007,1.22972,1.60657,-0.904075,1.56846
0.785819,0.00222427,1.33165,1.22848,1.60698,-0.902565,1.56753
0.78588,0.00115312,1.33346,1.22707,1.60745,-0.900855,1.56645
0.78601,-9.07206e-05,1.3354,1.22559,1.60802,-0.898877,1.5652
0.786232,-0.0014553,1.33751,1.22406,1.60868,-0.896715,1.56388
0.786597,-0.00290144,1.33985,1.22238,1.60942,-0.894433,1.56251
0.787113,-0.00441966,1.34239,1.2205,1.61022,-0.892056,1.5611
0.787766,-0.00603106,1.34504,1.21854,1.61105,-0.889612,1.55964
0.788528,-0.0077617,1.34777,1.2165,1.61197,-0.887046,1.55815
0.789422,-0.00957102,1.35057,1.21434,1.61294,-0.884459,1.55666
0.790477,-0.011459,1.35347,1.21215,1.61397,-0.881887,1.55513
0.791682,-0.0134156,1.35644,1.2099,1.61508,-0.87929,1.55359
0.792992,-0.015419,1.35941,1.20763,1.61621,-0.876682,1.55204
0.794402,-0.0175168,1.36239,1.20537,1.61738,-0.874091,1.55051
0.795898,-0.0196969,1.36534,1.20309,1.6186,-0.871522,1.549
0.797475,-0.021976,1.36827,1.20074,1.61985,-0.868984,1.54752
0.799141,-0.0243573,1.37122,1.19837,1.62115,-0.86648,1.54607
0.80085,-0.0267985,1.37415,1.19593,1.6225,-0.863977,1.54464
0.802555,-0.0292679,1.37702,1.19342,1.62388,-0.861492,1.54324
0.804223,-0.0317518,1.37983,1.19087,1.62531,-0.858995,1.54187
0.805858,-0.0342448,1.38262,1.18828,1.62675,-0.856482,1.54056
0.807488,-0.036775,1.38544,1.18572,1.62826,-0.853998,1.53929
0.809098,-0.0393548,1.38828,1.18322,1.62978,-0.851539,1.53808
0.810655,-0.0419397,1.39114,1.18071,1.63132,-0.849078,1.53692
0.812138,-0.044505,1.39403,1.17827,1.63287,-0.846601,1.53583
0.813499,-0.0470229,1.39694,1.17582,1.63447,-0.844144,1.5348
0.814691,-0.0494783,1.39985,1.17338,1.63607,-0.841692,1.53388
0.815681,-0.0518806,1.40274,1.17097,1.63768,-0.839246,1.53307
0.816455,-0.0542248,1.40564,1.16857,1.63929,-0.836802,1.53238
0.817023,-0.0565348,1.40858,1.16621,1.64092,-0.834422,1.5318
0.817365,-0.0588318,1.41155,1.16387,1.64256,-0.832116,1.53137
0.81748,-0.0610536,1.41454,1.1615,1.64419,-0.829798,1.53107
0.817391,-0.0632128,1.41756,1.15918,1.64581,-0.827468,1.53095
0.817108,-0.0653291,1.42058,1.15684,1.64746,-0.825183,1.53096
0.816618,-0.0673829,1.42356,1.15449,1.6491,-0.822874,1.53105
0.815952,-0.0693825,1.42655,1.15216,1.65072,-0.820552,1.53117
0.81518,-0.0713623,1.42959,1.14982,1.65235,-0.818282,1.53132
0.81429,-0.0733252,1.43264,1.14749,1.65401,-0.816055,1.53147
0.813264,-0.0752554,1.43565,1.14518,1.65565,-0.813805,1.53161
0.8121,-0.0771867,1.43862,1.14281,1.65729,-0.811547,1.53175
0.810833,-0.0791359,1.44156,1.14042,1.65896,-0.809271,1.53197
0.809473,-0.0810764,1.44447,1.13803,1.66065,-0.806974,1.53223
0.808081,-0.0830232,1.4474,1.1356,1.66233,-0.804685,1.53257
0.806679,-0.0849768,1.45037,1.13314,1.66402,-0.802424,1.53292
0.805246,-0.0869189,1.45331,1.13069,1.66573,-0.800139,1.53327
0.803767,-0.0888531,1.4562,1.12827,1.66744,-0.797844,1.53362
0.802274,-0.0907848,1.45909,1.12584,1.66915,-0.795556,1.53397
0.800773,-0.0927156,1.46196,1.12341,1.67085,-0.793237,1.53433
0.799233,-0.094711,1.46476,1.12098,1.67258,-0.790857,1.5347
0.797675,-0.0967841,1.4675,1.11856,1.67432,-0.788483,1.53505
0.796136,-0.0988787,1.47024,1.11608,1.67605,-0.786074,1.53535
0.794641,-0.100987,1.47302,1.11364,1.67781,-0.78367,1.53562
0.793148,-0.103062,1.47576,1.11118,1.67957,-0.781238,1.53586
0.79165,-0.105103,1.47848,1.10873,1.68133,-0.778796,1.53608
0.790168,-0.10712,1.48121,1.10631,1.68308,-0.77635,1.5363
0.788707,-0.10917,1.48393,1.10387,1.68485,-0.773905,1.53655
0.787273,-0.111291,1.48665,1.10142,1.68663,-0.771494,1.53681
0.785852,-0.113472,1.48935,1.09899,1.68842,-0.769081,1.53706
0.784422,-0.115696,1.492,1.09652,1.69022,-0.766637,1.5373
0.782991,-0.117937,1.49464,1.09404,1.69204,-0.76417,1.53754
0.781578,-0.120107,1.4973,1.09156,1.69386,-0.761709,1.53778
0.780178,-0.122211,1.49996,1.0891,1.69567,-0.759257,1.53803
0.778771,-0.12429,1.5026,1.08667,1.69748,-0.756762,1.53831
0.777376,-0.126351,1.50523,1.08421,1.69929,-0.754256,1.53862
0.776022,-0.128461,1.5079,1.08176,1.70113,-0.751831,1.53894
0.774671,-0.130622,1.51054,1.07932,1.70295,-0.749369,1.53926
0.773313,-0.132843,1.51314,1.07682,1.7048,-0.746883,1.53956
0.771948,-0.13511,1.51572,1.07431,1.70664,-0.744405,1.53986
0.77059,-0.137369,1.51829,1.0718,1.7085,-0.7419,1.5402
0.769251,-0.139592,1.52086,1.06934,1.71036,-0.739406,1.54056
0.767952,-0.141776,1.52346,1.06691,1.71221,-0.736904,1.54097
0.76671,-0.143924,1.5261,1.06448,1.71405,-0.734421,1.54138
0.765493,-0.146048,1.52873,1.06205,1.71591,-0.731949,1.5418
0.764296,-0.14819,1.53134,1.05964,1.71777,-0.729457,1.54223
0.763119,-0.150366,1.53393,1.05715,1.71964,-0.726963,1.54271
0.761957,-0.152581,1.53651,1.05466,1.72151,-0.724462,1.54321
0.760783,-0.154823,1.53903,1.05216,1.7234,-0.721942,1.5437
0.759597,-0.157094,1.54149,1.0497,1.72529,-0.719409,1.54421
0.75846,-0.159342,1.54398,1.04726,1.72716,-0.71686,1.54476
0.757396,-0.161528,1.54652,1.04482,1.72902,-0.714343,1.54534
0.756381,-0.163684,1.54907,1.04241,1.73089,-0.711843,1.54593
0.755388,-0.165826,1.55159,1.03998,1.73275,-0.709334,1.54655
0.754416,-0.167998,1.55409,1.03749,1.73459,-0.706822,1.54719
0.753472,-0.170208,1.55659,1.03499,1.73645,-0.704302,1.54783
0.752545,-0.172451,1.55904,1.03247,1.73831,-0.701784,1.54845
0.751648,-0.174754,1.56145,1.03,1.74017,-0.699291,1.54909
0.750804,-0.177075,1.56385,1.02754,1.74204,-0.696768,1.5497
0.750067,-0.179339,1.56627,1.02509,1.74389,-0.694225,1.55028
0.749449,-0.181566,1.56872,1.02267,1.74574,-0.691723,1.55083
0.748948,-0.183755,1.57117,1.02025,1.74761,-0.689233,1.55131
0.748561,-0.185919,1.57359,1.01778,1.74946,-0.686693,1.5517
0.748272,-0.188146,1.57599,1.01529,1.75132,-0.684157,1.55205
0.748035,-0.190431,1.57833,1.01277,1.75318,-0.681612,1.55233
0.747834,-0.192821,1.58062,1.01027,1.75507,-0.679061,1.55258
0.74767,-0.195276,1.58291,1.00778,1.75694,-0.67652,1.55279
0.747571,-0.197695,1.58523,1.00527,1.7588,-0.673968,1.55295
0.747573,-0.200033,1.5876,1.0028,1.76068,-0.67144,1.55309
0.747675,-0.202274,1.58999,1.00033,1.76254,-0.668918,1.55316
0.747884,-0.204451,1.59239,0.997814,1.7644,-0.666375,1.55317
0.748215,-0.206629,1.59479,0.995299,1.76625,-0.663831,1.55313
0.748641,-0.208857,1.59715,0.99278,1.76813,-0.6613,1.55309
0.749155,-0.211172,1.59945,0.990313,1.76999,-0.658751,1.55305
0.74977,-0.213542,1.60172,0.987856,1.77187,-0.656191,1.55302
0.750519,-0.215927,1.60398,0.985377,1.77375,-0.653612,1.55301
0.751424,-0.218255,1.60627,0.982915,1.77563,-0.651007,1.55301
0.752475,-0.220498,1.60859,0.980462,1.77751,-0.648426,1.553
0.753686,-0.222672,1.61096,0.977978,1.77939,-0.64586,1.55297
0.755008,-0.224794,1.61332,0.975482,1.78127,-0.643274,1.55292
0.756423,-0.22693,1.61567,0.972995,1.78315,-0.640701,1.5528
0.757911,-0.229093,1.61797,0.970564,1.78505,-0.63815,1.55264
0.759471,-0.231263,1.62023,0.968146,1.78695,-0.635591,1.55244
0.761106,-0.233413,1.62249,0.965727,1.78885,-0.633007,1.55223
0.762813,-0.235451,1.62474,0.963323,1.79075,-0.630421,1.55203
0.764582,-0.237302,1.62698,0.960937,1.79267,-0.627869,1.55183
0.766429,-0.238961,1.62926,0.958524,1.79458,-0.62532,1.55164
0.768326,-0.240436,1.63154,0.95612,1.79649,-0.622781,1.55147
0.770248,-0.241775,1.6338,0.953728,1.79841,-0.620243,1.55132
0.772176,-0.242999,1.63602,0.951391,1.80034,-0.617729,1.55126
0.774091,-0.244106,1.63819,0.949104,1.80227,-0.615259,1.55128
0.775981,-0.245095,1.6403,0.946816,1.80424,-0.612821,1.5514
0.777837,-0.245909,1.64234,0.944546,1.80619,-0.610495,1.55156
0.779682,-0.246509,1.64434,0.942313,1.80815,-0.608498,1.55179
0.781502,-0.246898,1.64631,0.940062,1.81014,-0.607001,1.55212
0.783274,-0.247104,1.64822,0.937811,1.81214,-0.606101,1.55259
0.784976,-0.247159,1.65007,0.935568,1.81417,-0.605764,1.55318
0.786623,-0.247108,1.65189,0.933347,1.81623,-0.60593,1.55386
0.788239,-0.246964,1.65375,0.931201,1.81832,-0.606411,1.55467
0.789778,-0.246692,1.65562,0.929071,1.82042,-0.607063,1.55555
0.791202,-0.246292,1.65748,0.926934,1.82254,-0.607711,1.55642
0.792506,-0.245706,1.65938,0.924832,1.82468,-0.608122,1.55706
0.793699,-0.244975,1.66135,0.922829,1.82683,-0.608139,1.55737
0.794765,-0.244143,1.66336,0.920848,1.829,-0.607797,1.55734
0.79565,-0.243234,1.66539,0.918876,1.83119,-0.607185,1.55705
0.796355,-0.242256,1.66742,0.917183,1.83339,-0.606394,1.55656
0.796902,-0.241175,1.66947,0.916021,1.8356,-0.605356,1.55605
0.797258,-0.240023,1.67162,0.915085,1.83786,-0.604106,1.55582
0.797329,-0.238842,1.67385,0.914132,1.84014,-0.602679,1.55588
0.797098,-0.237667,1.67618,0.913229,1.84242,-0.601063,1.55611
0.796605,-0.236505,1.6786,0.912735,1.84467,-0.59946,1.5564
0.795867,-0.23537,1.6811,0.912741,1.8469,-0.597889,1.55646
0.794887,-0.234314,1.68371,0.913028,1.84917,-0.596411,1.55627
0.793659,-0.233343,1.68638,0.91345,1.85143,-0.594908,1.55594
0.792227,-0.232467,1.68916,0.913932,1.8537,-0.593434,1.55558
0.79064,-0.231688,1.69206,0.91435,1.85595,-0.592065,1.55535
0.788949,-0.231016,1.695,0.914718,1.85807,-0.591038,1.55533
0.787215,-0.230483,1.6979,0.914848,1.86006,-0.590259,1.55539
0.785523,-0.230134,1.70082,0.91455,1.86201,-0.589472,1.5554
0.783942,-0.229938,1.70379,0.913853,1.86394,-0.588514,1.5555
0.782492,-0.229856,1.70678,0.912984,1.86585,-0.587321,1.55573
0.781193,-0.229869,1.70975,0.912226,1.86777,-0.585903,1.5561
0.780022,-0.229923,1.71269,0.911598,1.86966,-0.584239,1.55659
0.778925,-0.230052,1.71559,0.910983,1.87154,-0.582354,1.55723
0.777861,-0.23028,1.71841,0.910368,1.87342,-0.580243,1.55805
0.776828,-0.230618,1.72121,0.909772,1.87527,-0.577964,1.55907
0.77582,-0.23109,1.72401,0.909084,1.87711,-0.575638,1.56019
0.774756,-0.231722,1.72673,0.908277,1.87893,-0.573211,1.56142
