action_0,action_1,action_2,action_3,action_4,action_5,action_6
0.375561,-0.0317833,0.550353,-0.584582,0.64212,0.654087,0.0394488
0.619149,0.0724718,0.0776519,0.579672,-0.233194,-0.0517715,-0.124735
0.695016,-0.419373,0.600511,0.507874,0.405659,0.564923,-0.159767
-0.71886,0.453357,-0.272742,-0.632614,-0.342897,-0.494738,0.354599
0.579859,-0.612342,-0.202293,-0.605735,-0.595427,-0.655077,-0.361149
0.578605,-0.61389,-0.204276,-0.605609,-0.596877,-0.655247,-0.361098
-0.602792,-0.0644195,0.627889,-0.322735,0.628907,0.688161,-0.301376
-0.453959,0.0559893,0.624384,0.0958242,0.631586,0.694115,-0.357469
-0.726452,0.0718842,0.570155,-0.573205,0.591007,0.675113,-0.0121554
-0.752151,-0.267501,0.586922,-0.652982,0.590412,0.664207,0.0784962
-0.738337,-0.383112,0.603874,-0.670686,0.609987,0.670989,0.125007
0.633026,-0.0221505,0.65839,-0.403336,0.571846,0.644514,-0.384105
0.624309,0.0357982,0.660238,-0.394738,0.562063,0.646038,-0.315315
-0.701351,0.33104,-0.498963,-0.643024,-0.341305,0.112943,0.343276
-0.720472,0.661068,0.049062,-0.593131,0.322619,0.472379,0.243048
0.386041,0.674346,0.592814,0.234479,-0.0709825,0.423952,0.220321
-0.746322,0.586865,0.0449539,-0.612072,-0.221349,-0.474704,0.319844
-0.747317,0.563763,0.0339243,-0.614422,-0.0580131,-0.460722,0.314745
0.638036,0.472021,0.412363,0.656572,-0.509714,0.330237,-0.00138841
0.638428,0.505874,0.2951,0.663238,-0.539841,0.228484,-0.042146
0.643378,0.534327,0.109864,0.669566,-0.548902,0.226715,-0.0853841
0.505519,-0.723389,-0.191038,0.36036,-0.59375,-0.5326,-0.356149
0.547038,0.321882,-0.317302,0.621292,-0.445679,-0.287357,-0.090814
0.565577,0.125225,-0.262628,0.604604,-0.318742,-0.253391,-0.113274
0.590547,0.055591,-0.0324839,0.600527,-0.101671,-0.109498,-0.0919108
0.593907,-0.0173863,0.0524897,0.593328,-0.0955969,-0.0441946,-0.101258
0.578274,-0.036451,-0.0530915,0.601345,-0.148201,-0.138901,-0.109539
0.568288,0.0646773,-0.00324748,0.598724,-0.0974868,-0.182815,-0.0976887
0.575777,0.104771,0.161872,0.577723,0.0655425,-0.121286,-0.0977652
0.591663,-0.109821,0.2928,0.55198,0.0478945,0.0496792,-0.151151
0.601329,-0.282224,0.328258,0.552521,-0.104066,0.156657,-0.20476
0.595791,-0.27768,0.312154,0.553507,-0.108033,0.103578,-0.199003
0.590297,-0.194947,0.297828,0.5491,-0.0617263,-0.0054222,-0.175551
0.590496,-0.170998,0.30698,0.542423,-0.0580856,-0.0383606,-0.172948
0.579086,-0.137193,0.254812,0.548683,-0.0895039,-0.150544,-0.162145
0.559516,-0.0745898,0.166873,0.556006,-0.137681,-0.254616,-0.152941
0.557265,0.129164,0.127983,0.567475,-0.21007,-0.29223,-0.13575
0.554943,0.20803,0.133038,0.566964,-0.217896,-0.311916,-0.126223
0.554141,0.165445,0.144985,0.561278,-0.20557,-0.301998,-0.129872
0.550054,0.0966586,0.150083,0.557719,-0.205775,-0.28477,-0.138061
0.593584,0.356399,0.511485,0.415943,-0.361751,-0.140005,-0.22186
-0.714856,0.431937,-0.28184,-0.632669,-0.33462,-0.514113,0.365831
-0.714654,0.431916,-0.283891,-0.632869,-0.336403,-0.514048,0.366969
