or_w,or_x,or_y,or_z
0.768355,-0.0542366,0.623194,-0.135345
0.768355,-0.0542366,0.623194,-0.135345
0.768355,-0.0542363,0.623194,-0.135345
0.768355,-0.0542364,0.623194,-0.135345
0.768551,-0.0543544,0.622925,-0.135422
0.768955,-0.0545334,0.622387,-0.135534
0.769544,-0.0545896,0.621623,-0.135671
0.770298,-0.0543991,0.620654,-0.135904
0.77119,-0.0542981,0.619538,-0.13598
0.772082,-0.0546449,0.618401,-0.135952
0.772809,-0.0555449,0.617389,-0.136055
0.773264,-0.056827,0.61664,-0.136342
0.773464,-0.0582168,0.616167,-0.136758
0.773647,-0.0594281,0.6157,-0.137302
0.773992,-0.0602088,0.615085,-0.137776
0.774522,-0.0605144,0.614293,-0.138191
0.775256,-0.0605407,0.613254,-0.138681
0.776137,-0.0605606,0.611981,-0.139368
0.777086,-0.0607724,0.610617,-0.139966
0.778143,-0.0610833,0.609185,-0.140203
0.779272,-0.0612352,0.60772,-0.140219
0.780383,-0.0611031,0.606363,-0.139976
0.781394,-0.0610098,0.605188,-0.139457
0.782162,-0.0611643,0.604321,-0.138844
0.782491,-0.0615028,0.60397,-0.138363
0.782363,-0.0619765,0.604125,-0.138199
0.781895,-0.0625206,0.604677,-0.138193
0.781114,-0.0629815,0.605575,-0.138471
0.780095,-0.0632641,0.606749,-0.138943
0.778949,-0.0635789,0.608118,-0.139239
0.777733,-0.0640359,0.609616,-0.139281
0.776434,-0.064476,0.611205,-0.139359
0.77514,-0.0647064,0.612789,-0.139501
0.773899,-0.06476,0.614331,-0.139583
0.772705,-0.0646997,0.615831,-0.139617
0.7716,-0.0645226,0.617277,-0.139425
0.770579,-0.064249,0.618634,-0.139188
0.769623,-0.0638977,0.619925,-0.138893
0.768737,-0.063548,0.621176,-0.13837
0.767879,-0.0632967,0.622426,-0.137626
0.767054,-0.0631441,0.623668,-0.13667
0.766216,-0.0630722,0.62494,-0.13559
0.765359,-0.0632555,0.626258,-0.134258
0.764507,-0.0637801,0.627596,-0.132603
0.763634,-0.064405,0.628965,-0.130836
0.762725,-0.0651892,0.630357,-0.129037
0.76188,-0.0662038,0.63168,-0.127025
0.761133,-0.0673276,0.632895,-0.124848
0.760454,-0.0685074,0.634013,-0.122657
0.759831,-0.0698848,0.635039,-0.120411
0.759288,-0.0715167,0.635907,-0.118273
0.758783,-0.0733629,0.636656,-0.116342
0.758276,-0.0754335,0.63733,-0.114617
0.757732,-0.077705,0.637967,-0.113148
0.757119,-0.0800325,0.638615,-0.111967
0.756461,-0.0822906,0.639282,-0.110963
0.755807,-0.0845885,0.63991,-0.110073
0.755189,-0.0870024,0.64045,-0.10929
0.754519,-0.0893878,0.641024,-0.108621
0.753784,-0.0916658,0.641628,-0.108263
0.752998,-0.093897,0.642251,-0.10812
0.752131,-0.0961518,0.642916,-0.108227
0.751195,-0.098434,0.643606,-0.108571
0.750213,-0.100743,0.644305,-0.109099
0.749179,-0.102994,0.645025,-0.109846
0.748079,-0.105153,0.645797,-0.110751
0.746882,-0.107279,0.646653,-0.1118
0.745607,-0.109411,0.647569,-0.112934
0.744276,-0.111489,0.648527,-0.114177
0.742909,-0.11346,0.649496,-0.11562
0.741501,-0.115328,0.650485,-0.117241
0.740056,-0.117091,0.651499,-0.118977
0.738533,-0.118826,0.652575,-0.120813
0.7369,-0.12053,0.653739,-0.122787
0.735182,-0.122161,0.65497,-0.124898
0.733377,-0.123763,0.656246,-0.127204
0.731495,-0.125326,0.65759,-0.129553
0.729535,-0.126882,0.659008,-0.131865
0.72752,-0.1284,0.66047,-0.134194
0.725471,-0.129791,0.661962,-0.136575
0.72339,-0.130962,0.663463,-0.139186
0.721285,-0.132026,0.664974,-0.141868
0.719153,-0.133192,0.66651,-0.144372
0.716997,-0.134419,0.668052,-0.14681
0.714799,-0.135483,0.669615,-0.149409
0.71259,-0.136411,0.671157,-0.15217
0.710403,-0.137442,0.672651,-0.15485
0.708261,-0.13868,0.674062,-0.157398
0.706298,-0.139789,0.675261,-0.160078
0.704618,-0.140417,0.676179,-0.163029
0.703351,-0.140593,0.676757,-0.165927
0.702453,-0.140626,0.677017,-0.168618
0.701817,-0.140492,0.677165,-0.170772
0.701339,-0.14011,0.677308,-0.172472
0.701008,-0.139433,0.677389,-0.174039
0.700774,-0.138806,0.677389,-0.175478
0.700539,-0.138521,0.677289,-0.177019
0.700277,-0.138557,0.677094,-0.178767
