joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6
0.824494,0.000121465,1.38141,1.17427,1.65559,-0.842365,1.57472
0.848852,0.010547,1.33414,1.29069,1.56805,-0.912951,1.5583
0.856439,-0.0386375,1.38643,1.28351,1.63194,-0.851281,1.5548
0.715051,0.0486355,1.2991,1.16947,1.55708,-0.957247,1.60623
0.845025,-0.0578401,1.30667,1.17154,1.53209,-0.972643,1.53468
0.845064,-0.0577805,1.30774,1.17047,1.53253,-0.971163,1.53467
0.727003,-0.00265829,1.39286,1.19741,1.65598,-0.834507,1.54065
0.741821,0.00928072,1.39478,1.23768,1.65722,-0.830901,1.53509
0.714553,0.010397,1.39189,1.1688,1.654,-0.829896,1.56984
0.712106,-0.0243422,1.39597,1.15838,1.65438,-0.828983,1.5791
0.713769,-0.0369672,1.39946,1.15395,1.6562,-0.827557,1.58345
0.851415,-0.00199963,1.40586,1.17822,1.65171,-0.830531,1.53172
0.851399,0.00281733,1.40635,1.17715,1.64976,-0.831064,1.53735
0.720061,0.0316785,1.2904,1.15058,1.5587,-0.884503,1.60192
0.719647,0.0643862,1.34518,1.15388,1.62501,-0.847659,1.59102
0.831903,0.0657955,1.39986,1.23501,1.58621,-0.850341,1.58832
0.720198,0.057287,1.34593,1.14856,1.57227,-0.936918,1.59786
0.721419,0.0552644,1.34645,1.14631,1.59003,-0.93136,1.59652
0.860984,0.0462202,1.38677,1.27121,1.54621,-0.848012,1.5639
0.861711,0.0492414,1.37819,1.26929,1.54414,-0.854355,1.55936
0.862496,0.0512076,1.36308,1.26701,1.54372,-0.851012,1.55531
0.848759,-0.0759205,1.33637,1.23339,1.53931,-0.923761,1.52906
0.852914,0.0270962,1.32692,1.25705,1.5539,-0.896811,1.55672
0.854721,0.00599514,1.33497,1.25337,1.5661,-0.892182,1.55549
0.857057,-0.00202727,1.35982,1.25187,1.58695,-0.877577,1.55819
0.857175,-0.00971653,1.36971,1.2509,1.58632,-0.87109,1.55733
0.855437,-0.0114717,1.36052,1.25226,1.57954,-0.880476,1.55615
0.854164,-0.000782663,1.3665,1.25322,1.58286,-0.884728,1.55669
0.854437,0.00406255,1.38324,1.25286,1.59734,-0.878846,1.55599
0.855499,-0.0162918,1.39614,1.25249,1.59396,-0.862708,1.55004
0.85597,-0.0320804,1.39947,1.25512,1.57742,-0.853402,1.54406
0.854821,-0.029827,1.39774,1.25801,1.5758,-0.859953,1.54398
0.853489,-0.019732,1.39618,1.26052,1.57937,-0.87187,1.54567
0.852558,-0.0156387,1.39697,1.26298,1.57889,-0.876157,1.54525
0.850445,-0.0106358,1.39191,1.2669,1.57503,-0.888029,1.54555
0.847653,-0.00307054,1.38374,1.2712,1.56953,-0.898697,1.54558
0.84669,0.0182861,1.38082,1.27599,1.56157,-0.902296,1.54623
0.845755,0.0268646,1.38245,1.27963,1.56004,-0.903949,1.54604
0.845091,0.0229908,1.3849,1.28288,1.56055,-0.902767,1.5445
0.844311,0.0163324,1.38679,1.28643,1.55976,-0.901013,1.5425
0.848575,0.0423691,1.42426,1.27619,1.54337,-0.88674,1.53297
0.717955,0.0499154,1.34598,1.17532,1.54522,-0.924621,1.59064
0.71866,0.049942,1.3468,1.1793,1.54405,-0.925384,1.58973
0.719886,0.0499147,1.34767,1.18324,1.54278,-0.926545,1.58887
0.721414,0.0499944,1.34861,1.18725,1.54156,-0.927694,1.58796
0.72327,0.0502108,1.34955,1.19121,1.54034,-0.928724,1.58698
0.725462,0.0506212,1.35067,1.1947,1.5392,-0.929763,1.58641
0.727915,0.0511185,1.3516,1.1975,1.53788,-0.930973,1.58655
0.730619,0.0515175,1.35168,1.19959,1.536,-0.932583,1.58744
0.733715,0.0516511,1.35101,1.20098,1.5337,-0.935032,1.5889
0.737138,0.0516778,1.3498,1.20144,1.53136,-0.938071,1.59066
0.74081,0.0516158,1.34811,1.20109,1.52869,-0.941476,1.59254
0.744648,0.0516382,1.34618,1.20006,1.52596,-0.945056,1.5946
0.748534,0.0519541,1.344,1.19847,1.52315,-0.948677,1.59679
0.752298,0.0525945,1.34171,1.19654,1.52024,-0.952145,1.59904
0.755873,0.0533011,1.33952,1.19452,1.51721,-0.955513,1.60137
0.759291,0.0539393,1.33748,1.19225,1.51414,-0.958955,1.60372
0.76257,0.0545912,1.33558,1.18961,1.51114,-0.96245,1.60608
0.765565,0.0553891,1.33368,1.18692,1.50795,-0.96596,1.60849
0.768132,0.0564394,1.33151,1.18412,1.5048,-0.969434,1.61086
0.77033,0.057569,1.32932,1.18117,1.50164,-0.97302,1.61326
0.772147,0.0589463,1.32696,1.17804,1.49845,-0.976744,1.61565
0.773576,0.0605766,1.32458,1.17471,1.49526,-0.98057,1.61804
0.774634,0.0623395,1.32226,1.17119,1.4921,-0.984549,1.62043
0.775272,0.0643417,1.31989,1.16755,1.48902,-0.988511,1.62281
0.775505,0.0664376,1.31757,1.1639,1.48594,-0.992514,1.62521
0.775376,0.068691,1.31524,1.16027,1.48277,-0.996611,1.62763
0.774945,0.0710515,1.31303,1.15663,1.4796,-1.00083,1.63006
0.774157,0.0735237,1.3109,1.15297,1.47646,-1.00511,1.63249
0.772954,0.0761247,1.30871,1.14921,1.47341,-1.00937,1.63489
0.771359,0.0787138,1.30654,1.14536,1.47031,-1.01365,1.63729
0.769405,0.0813035,1.30436,1.14149,1.46726,-1.01796,1.63971
0.767143,0.0839508,1.30218,1.1376,1.46411,-1.02237,1.64215
0.764556,0.0868414,1.30003,1.13375,1.46094,-1.02679,1.64457
0.761632,0.0899482,1.298,1.12991,1.45784,-1.03112,1.647
0.758375,0.0932452,1.29599,1.12597,1.4547,-1.03543,1.64942
0.754848,0.0965386,1.29413,1.12207,1.45145,-1.03979,1.65186
0.75113,0.09985,1.29244,1.11828,1.44814,-1.04423,1.65432
0.747225,0.10325,1.29091,1.11455,1.44486,-1.04865,1.65674
0.743091,0.106634,1.2894,1.11086,1.44157,-1.05305,1.65916
0.738653,0.110079,1.28771,1.10712,1.43831,-1.0573,1.66153
0.73411,0.113371,1.28589,1.10335,1.43503,-1.06157,1.66394
0.856143,0.0167959,1.36694,1.18595,1.50367,-0.966455,1.59323
0.851539,0.0193909,1.36499,1.18227,1.49988,-0.97013,1.59536
0.846785,0.023129,1.36355,1.17724,1.49857,-0.974539,1.59827
0.841667,0.0268892,1.36187,1.17256,1.4972,-0.978797,1.6013
0.837131,0.0296052,1.35966,1.16915,1.49255,-0.982258,1.60339
0.714099,0.128062,1.26838,1.08213,1.4576,-1.00312,1.65196
0.710409,0.127629,1.26705,1.07856,1.44731,-1.00637,1.65533
0.705894,0.127024,1.26503,1.07634,1.43806,-1.00725,1.65807
0.701865,0.127133,1.26407,1.07518,1.43568,-1.0103,1.65722
0.697884,0.125286,1.26743,1.0743,1.43435,-1.01652,1.65622
0.694532,0.125589,1.27135,1.07382,1.4388,-1.01261,1.65398
0.69161,0.129006,1.27423,1.0737,1.44046,-1.00426,1.65039
0.68906,0.13333,1.27497,1.07326,1.44257,-0.997378,1.64619
0.686903,0.137123,1.27446,1.07219,1.44483,-0.992767,1.64387
0.685337,0.140973,1.27241,1.0704,1.4469,-0.989884,1.64191
0.684188,0.1428,1.27086,1.06774,1.44794,-0.988691,1.64274
0.683491,0.143715,1.26883,1.06446,1.44701,-0.988408,1.64339
0.683102,0.144973,1.26555,1.06068,1.44612,-0.988137,1.64393
0.682921,0.146354,1.26171,1.05661,1.44504,-0.987903,1.64445
0.682852,0.147801,1.25772,1.05247,1.44352,-0.987238,1.64506
0.682616,0.149519,1.25391,1.04848,1.44061,-0.985836,1.64516
0.682167,0.150746,1.25067,1.04488,1.43678,-0.98425,1.64477
0.681471,0.151727,1.24792,1.04172,1.43363,-0.982424,1.64446
0.680614,0.152585,1.24535,1.03869,1.43129,-0.980877,1.64486
0.679699,0.153368,1.24312,1.03571,1.42954,-0.9794,1.64546
0.678544,0.154464,1.24055,1.03265,1.42805,-0.977861,1.64572
0.677014,0.15587,1.23737,1.02926,1.42674,-0.977087,1.64582
0.675281,0.157408,1.23407,1.02555,1.42587,-0.976006,1.64587
0.804845,0.133325,1.3388,1.13798,1.46893,-0.956436,1.62484
0.802191,0.127442,1.33536,1.13539,1.46869,-0.95121,1.62231
0.799031,0.118524,1.33189,1.13212,1.46828,-0.948463,1.62002
0.79552,0.110814,1.32853,1.12837,1.46779,-0.947405,1.61782
0.792117,0.115196,1.32555,1.12393,1.46724,-0.94584,1.61676
0.789997,0.140731,1.324,1.11895,1.46581,-0.949619,1.62144
0.788443,0.167115,1.32373,1.11611,1.46533,-0.957577,1.62724
0.783987,0.177128,1.32211,1.12018,1.46671,-0.966874,1.62561
0.779243,0.182494,1.322,1.12077,1.4677,-0.981447,1.63066
0.776685,0.187587,1.32418,1.11924,1.46896,-0.995702,1.63684
0.772759,0.186362,1.32649,1.11778,1.47001,-0.989685,1.63935
0.769281,0.189915,1.32947,1.11582,1.47047,-0.996492,1.63882
0.766502,0.194,1.33289,1.1175,1.47062,-0.998805,1.64036
0.763984,0.19773,1.33619,1.1192,1.47002,-0.990669,1.64373
0.759829,0.184939,1.33871,1.11911,1.45869,-0.979551,1.6276
0.755147,0.153232,1.34103,1.11399,1.43122,-0.958795,1.61196
0.750167,0.114063,1.34335,1.10502,1.40432,-0.970514,1.60561
0.746528,0.0965493,1.34607,1.10329,1.40262,-0.96528,1.60085
0.744712,0.0934666,1.34777,1.10624,1.40974,-0.965653,1.60067
0.742785,0.0945527,1.34963,1.10767,1.41122,-0.96585,1.60099
0.741128,0.0995617,1.35279,1.10862,1.40968,-0.973167,1.60171
0.739634,0.111867,1.35892,1.11371,1.40677,-0.977648,1.60497
0.738756,0.135131,1.36164,1.11933,1.40992,-0.974796,1.60933
0.738327,0.164446,1.3642,1.12564,1.41358,-0.970694,1.61327
0.737428,0.171532,1.36699,1.132,1.41061,-0.968597,1.61335
0.736577,0.170915,1.36975,1.13839,1.40396,-0.970532,1.61193
0.735837,0.16663,1.37262,1.14337,1.39705,-0.977077,1.61027
0.735782,0.160131,1.37552,1.14745,1.39087,-0.986333,1.6088
0.736629,0.152933,1.37869,1.15004,1.38748,-0.993651,1.60711
0.738169,0.152069,1.38205,1.15191,1.38491,-0.998088,1.60589
0.739482,0.149385,1.3854,1.15327,1.3819,-1.00029,1.60509
0.740688,0.140783,1.38866,1.1551,1.37707,-1.00082,1.60353
0.74187,0.132258,1.39179,1.15779,1.37118,-1.00027,1.60137
0.743595,0.125642,1.39527,1.16106,1.36657,-0.99733,1.5975
0.745697,0.120561,1.39887,1.16619,1.36245,-0.993541,1.59244
0.747557,0.113952,1.4022,1.17177,1.35726,-0.985982,1.58665
0.750557,0.106612,1.4046,1.17573,1.35276,-0.965494,1.57983
0.754504,0.104001,1.40845,1.17869,1.34998,-0.953631,1.57627
0.758639,0.102543,1.41245,1.18153,1.34762,-0.9491,1.57406
0.76263,0.100646,1.41525,1.18446,1.34379,-0.946214,1.57185
0.766623,0.0996379,1.41791,1.188,1.33893,-0.947642,1.57021
