action_0,action_1,action_2,action_3,action_4,action_5,action_6
0.604788,-0.590253,0.754571,0.36317,0.611724,0.497769,-0.332471
-0.3179,0.686299,-0.317084,0.81204,-0.138246,0.555542,0.272312
-0.317822,0.686289,-0.317163,0.812036,-0.138202,0.555546,0.27245
-0.409152,0.695902,-0.302777,0.81354,-0.169041,0.564044,0.258677
-0.474043,0.703335,-0.309856,0.81433,-0.190467,0.571504,0.270767
-0.368923,0.684936,-0.426066,0.807314,-0.245381,0.605877,0.311649
-0.585514,0.681728,-0.406511,0.816561,-0.493029,0.616886,0.176344
-0.784104,0.606182,-0.298004,0.834618,-0.61444,0.601173,-0.185192
-0.827903,0.57981,0.00783234,0.834599,-0.539882,0.553317,-0.365633
-0.831714,0.623626,0.0039573,0.841019,-0.517764,0.563292,-0.335671
-0.83588,0.691243,0.307713,0.839473,-0.0876286,0.524451,-0.241196
-0.836294,0.71901,0.275775,0.83634,0.235489,0.386884,0.0428487
-0.834707,0.714345,-0.170475,0.830471,0.235455,0.335023,0.2775
-0.837373,0.712467,-0.0246242,0.830172,0.374249,0.297142,0.30164
-0.827543,0.736541,0.432061,0.830289,0.392265,0.456659,0.284285
-0.821833,0.737679,0.556294,0.828969,0.144702,0.627931,0.235642
-0.817466,0.750565,0.612006,0.815385,-0.348741,0.680287,0.230285
-0.815485,0.759415,0.646878,0.805413,-0.375234,0.675176,0.212544
-0.8196,0.779377,0.663156,0.807829,-0.227854,0.650972,0.246405
-0.816878,0.782019,0.668166,0.810393,0.092342,0.656165,0.234336
-0.832175,0.766128,0.643538,0.81435,0.288985,0.611125,0.203068
-0.842026,0.725988,0.577274,0.811978,0.122023,0.592116,0.270925
-0.839537,0.693867,0.552763,0.809145,-0.192787,0.63375,0.276027
-0.834854,0.71376,0.604274,0.803561,-0.359954,0.683435,0.143148
-0.817862,0.751226,0.659793,0.792826,-0.272494,0.700507,0.151208
-0.818087,0.751608,0.657429,0.790305,-0.244684,0.699447,0.184435
-0.81722,0.751045,0.654621,0.787066,-0.210725,0.703608,0.226586
-0.827657,0.755925,0.66347,0.784328,0.021177,0.677957,0.208952
-0.835599,0.754846,0.655366,0.785511,0.196437,0.640998,0.214984
-0.836354,0.738393,0.654864,0.781693,0.0567782,0.647183,0.165198
-0.834456,0.677865,0.63728,0.766535,-0.309848,0.686341,0.124572
-0.824436,0.645814,0.643696,0.74826,-0.388838,0.708254,0.121781
-0.813433,0.619683,0.644684,0.730679,-0.378017,0.716021,0.127585
-0.802268,0.618536,0.632426,0.720807,-0.283191,0.720024,0.192499
-0.810151,0.654849,0.646401,0.724159,-0.111627,0.703899,0.242135
-0.824932,0.672379,0.655726,0.747051,-0.0557579,0.671928,0.252509
-0.835237,0.662028,0.666125,0.75591,-0.109404,0.64391,0.228223
-0.835477,0.585785,0.654302,0.741893,-0.340224,0.666032,0.197718
-0.830762,0.490237,0.642957,0.721263,-0.43231,0.680079,0.165803
-0.828998,0.419837,0.631629,0.703916,-0.43101,0.678047,0.169384
-0.822874,0.407442,0.616233,0.69986,-0.402895,0.678917,0.215719
