or_w,or_x,or_y,or_z
0.572621,0.181978,0.152054,0.784773
0.572621,0.181978,0.152054,0.784773
0.572621,0.181979,0.152054,0.784773
0.572621,0.18198,0.152054,0.784772
0.572556,0.182037,0.152076,0.784802
0.570568,0.182706,0.152559,0.786
0.566803,0.182864,0.1527,0.788656
0.563621,0.17976,0.151938,0.791791
0.562801,0.173904,0.152047,0.793659
0.564973,0.167735,0.154599,0.79295
0.570159,0.161995,0.159594,0.789434
0.578205,0.155805,0.165766,0.783534
0.587772,0.148628,0.171335,0.776581
0.596793,0.140421,0.174643,0.770467
0.603656,0.13208,0.174012,0.76673
0.608762,0.125845,0.170182,0.764598
0.612714,0.122247,0.16576,0.762995
0.616694,0.119474,0.163033,0.760812
0.622561,0.115288,0.161918,0.756908
0.629038,0.108037,0.161268,0.752749
0.63444,0.0982083,0.160826,0.749651
0.639163,0.0864048,0.160097,0.747244
0.643596,0.0742321,0.157965,0.745198
0.648269,0.0625533,0.154161,0.743014
0.652644,0.0513157,0.149139,0.741067
0.657504,0.0411508,0.144494,0.73832
0.662605,0.0303447,0.14207,0.734744
0.668285,0.0183862,0.142159,0.729964
0.673879,0.00533872,0.143547,0.724744
0.678212,-0.00809993,0.143803,0.720613
0.682034,-0.0209393,0.142127,0.717071
0.685184,-0.0335049,0.138898,0.714218
0.688661,-0.0454597,0.13459,0.711031
0.692329,-0.0572925,0.130802,0.707311
0.696541,-0.0694453,0.129301,0.702346
0.70075,-0.0824165,0.130061,0.696592
0.704471,-0.0958439,0.132032,0.690726
0.707752,-0.109123,0.133155,0.685163
0.709873,-0.122257,0.132326,0.680899
0.711833,-0.134757,0.13036,0.676861
0.713934,-0.147063,0.128456,0.672436
0.716604,-0.15931,0.127996,0.666871
0.719498,-0.171788,0.129108,0.660411
0.722293,-0.184219,0.131382,0.653525
0.72457,-0.196573,0.133633,0.646916
0.72589,-0.208793,0.135206,0.641255
0.726856,-0.220618,0.136046,0.636003
0.727627,-0.231917,0.136698,0.630941
0.728837,-0.242938,0.137801,0.62513
0.730408,-0.253777,0.139539,0.618572
0.732325,-0.264378,0.141795,0.611309
0.734207,-0.274543,0.144069,0.603996
0.735855,-0.284036,0.146238,0.597039
0.737705,-0.293051,0.147927,0.589941
0.739463,-0.301804,0.149335,0.58293
0.741718,-0.310269,0.150644,0.575234
0.743994,-0.318527,0.151989,0.567373
0.74703,-0.326082,0.153325,0.558667
0.750162,-0.333307,0.154498,0.549812
0.753719,-0.339915,0.155588,0.540516
0.757385,-0.346225,0.156278,0.531106
0.761318,-0.352081,0.156669,0.521429
0.765348,-0.357619,0.156764,0.511641
0.769317,-0.362833,0.15686,0.501895
0.773603,-0.367297,0.157019,0.491911
0.777811,-0.371273,0.157202,0.482135
0.78231,-0.37416,0.158019,0.472256
0.786777,-0.376245,0.159756,0.462494
0.791522,-0.377009,0.162709,0.452641
0.796313,-0.376686,0.166539,0.44301
0.800944,-0.375512,0.171241,0.433769
0.805257,-0.373808,0.176459,0.425076
0.809289,-0.371587,0.182134,0.416895
0.812945,-0.369127,0.187748,0.409408
0.816163,-0.366178,0.192884,0.403222
0.819222,-0.362719,0.196703,0.398268
0.822062,-0.358797,0.19952,0.39455
0.825049,-0.354578,0.201155,0.391288
0.828071,-0.349888,0.202341,0.388505
0.831033,-0.344638,0.203422,0.386301
0.833734,-0.338796,0.204637,0.385003
0.836135,-0.332816,0.206148,0.384206
0.838623,-0.327046,0.207619,0.382944
0.84136,-0.321694,0.209017,0.380706
0.844918,-0.316111,0.210255,0.376802
0.848853,-0.310099,0.210855,0.372597
0.85278,-0.303468,0.210872,0.36906
0.856368,-0.29618,0.210557,0.366847
0.859416,-0.289051,0.210113,0.365659
0.862363,-0.282099,0.20978,0.364339
0.865302,-0.275576,0.20955,0.36249
0.868734,-0.268453,0.20883,0.360034
0.872571,-0.260599,0.20762,0.357215
0.876424,-0.252452,0.206023,0.354546
0.879935,-0.244337,0.204339,0.352504
0.883226,-0.236279,0.202385,0.35089
0.88628,-0.227935,0.200888,0.349568
0.888982,-0.219499,0.199787,0.348736
0.891649,-0.210453,0.198914,0.348002
