lin_vel_X,lin_vel_Y,lin_vel_Z
-1.38008e-06,-2.4343e-05,-2.47214e-05
-1.38008e-06,-2.4343e-05,-2.47214e-05
1.73909e-05,1.39962e-05,6.98075e-07
-1.27008e-06,-4.0698e-06,7.96631e-07
0.0115619,0.0189017,-0.000733124
0.135581,0.259065,-0.0190504
-0.00441168,0.159895,-0.0764871
-0.150781,0.0522084,-0.117913
-0.210234,-0.0897973,-0.131795
-0.174739,-0.195669,-0.0444947
-0.153223,-0.266741,0.107927
-0.176689,-0.334338,0.222896
-0.179552,-0.235911,0.385369
-0.316877,-0.24083,0.517745
-0.482135,-0.274792,0.632907
-0.638347,-0.509763,0.581092
-0.631661,-0.578471,0.52903
-0.647427,-0.605533,0.549559
-0.700357,-0.534602,0.653619
-0.689925,-0.359139,0.745755
-0.662126,-0.19408,0.785439
-0.754851,-0.162918,0.834253
-0.911478,-0.251508,0.88542
-0.97154,-0.293768,0.925774
-0.924506,-0.211897,0.99754
-0.958453,-0.294058,0.91841
-0.929407,-0.171037,0.943522
-0.932026,-0.117255,0.899597
-0.900884,-0.00183444,0.911971
-0.905746,0.0173184,0.876465
-0.975137,-0.0522709,0.854052
-0.97603,-0.0327087,0.864976
-1.03225,-0.0760126,0.865238
-0.97447,-0.0150292,0.834497
-0.963501,0.037492,0.804554
-0.942966,0.125405,0.79026
-0.948094,0.154012,0.746749
-1.01547,0.121513,0.739312
-1.01062,0.153164,0.751789
-1.05831,0.0907004,0.716013
-1.00998,0.156828,0.725508
-1.01644,0.150153,0.679041
-0.959247,0.212511,0.639048
-0.97673,0.187403,0.574787
-0.975032,0.221211,0.570269
-0.980036,0.218078,0.545204
-1.00753,0.19218,0.524075
-0.973348,0.186514,0.482583
-0.997084,0.161729,0.450895
-0.949167,0.182602,0.414291
-0.96292,0.143617,0.35966
-0.940469,0.130697,0.315043
-0.9378,0.0689392,0.242661
-0.945052,0.0314071,0.197024
-0.933238,0.0122317,0.156559
-0.94944,-0.0102659,0.128577
-0.923305,-0.0171327,0.0926793
-0.947525,-0.0827345,0.0321958
-0.90999,-0.085922,0.00187727
-0.948945,-0.146491,-0.0503881
-0.911693,-0.152472,-0.0799135
-0.943029,-0.205549,-0.131869
-0.897329,-0.19,-0.142675
-0.90099,-0.20658,-0.169967
-0.89811,-0.234004,-0.203561
-0.870015,-0.243741,-0.230166
-0.848533,-0.277154,-0.269269
-0.782155,-0.273972,-0.288889
-0.749276,-0.320841,-0.346421
-0.673195,-0.328476,-0.372241
-0.620809,-0.343777,-0.416383
-0.555621,-0.351379,-0.458259
-0.547043,-0.389284,-0.528556
-0.468487,-0.373332,-0.540219
-0.453447,-0.410149,-0.584992
-0.391416,-0.429233,-0.612671
-0.371311,-0.444985,-0.629591
-0.381771,-0.464478,-0.658034
-0.372558,-0.474128,-0.655802
-0.350856,-0.493393,-0.673674
-0.289298,-0.502459,-0.692267
-0.294365,-0.487208,-0.693588
-0.307837,-0.480556,-0.722182
-0.332939,-0.463281,-0.716252
-0.378943,-0.495157,-0.746102
-0.302966,-0.491505,-0.714329
-0.298045,-0.511008,-0.742015
-0.286309,-0.491973,-0.742645
-0.28224,-0.463621,-0.761383
-0.341187,-0.458866,-0.821464
-0.362065,-0.441138,-0.821868
-0.357188,-0.479695,-0.854822
-0.30472,-0.471916,-0.811215
-0.298657,-0.477472,-0.856778
-0.267103,-0.43946,-0.833156
-0.294536,-0.436487,-0.883859
-0.28733,-0.424931,-0.915688
-0.263696,-0.424039,-0.940199
-0.253296,-0.430574,-0.978757
-0.227559,-0.40583,-0.955367
-0.267241,-0.401105,-0.982728
-0.279993,-0.396619,-0.952607
-0.334512,-0.407033,-0.994658
-0.360856,-0.352253,-0.930357
-0.511606,-0.247547,-0.853273
-0.453818,-0.202388,-0.839547
-0.442597,-0.179805,-0.872529
-0.570771,-0.10413,-0.688454
-0.638715,-0.121542,-0.609229
-0.567192,-0.175246,-0.592864
-0.559369,-0.106756,-0.488969
-0.579761,-0.041359,-0.371927
-0.613021,-0.0646286,-0.360495
-0.607801,-0.105099,-0.331726
-0.615529,-0.100648,-0.280592
-0.630313,-0.0746619,-0.257282
-0.638487,-0.0449425,-0.257867
-0.698492,-0.00600799,-0.281924
-0.580388,-0.0213213,-0.344795
-0.545371,-0.0328782,-0.416238
-0.615198,-0.0150803,-0.411277
-0.741094,-0.00362017,-0.351055
-0.702107,-0.0725688,-0.413342
-0.587596,-0.120013,-0.451429
-0.515648,-0.093205,-0.449602
-0.592749,-0.0132273,-0.434174
-0.725574,0.0455673,-0.408491
-0.784655,0.0370064,-0.459986
-0.725145,-0.00313805,-0.464809
-0.615497,-0.0355112,-0.493292
-0.705779,0.0272652,-0.435784
-0.85442,0.0968848,-0.378605
-0.863749,0.0797293,-0.416091
-0.856401,0.0595955,-0.470511
-0.792752,0.0493587,-0.488212
-0.886815,0.108697,-0.499978
-0.912095,0.144259,-0.494779
-0.916382,0.157559,-0.494326
-0.911792,0.166419,-0.514629
