ball_x,ball_y,ball_z
0.552557,0.119393,-0.0514798
0.552557,0.119393,-0.0514798
0.552557,0.119393,-0.0514798
0.552552,0.119389,-0.051476
0.552543,0.119401,-0.0514756
0.552546,0.1194,-0.0514744
0.552512,0.119424,-0.0514862
0.552543,0.119428,-0.051488
0.552571,0.119395,-0.05148
0.552557,0.119393,-0.0514193
0.55252,0.119407,-0.0514062
0.552472,0.119504,-0.0514636
0.552421,0.119574,-0.0514966
0.552473,0.119614,-0.0515388
0.552599,0.119621,-0.0516017
0.55275,0.119611,-0.0516085
0.55291,0.119608,-0.0515723
0.553063,0.119634,-0.0515484
0.553255,0.119671,-0.0516301
0.553415,0.119724,-0.0517505
0.553594,0.119768,-0.0517902
0.553785,0.119833,-0.0518132
0.553915,0.119844,-0.0517765
0.554015,0.119892,-0.0517519
0.554084,0.119896,-0.0516877
0.554134,0.119888,-0.0515544
0.554123,0.119872,-0.0514286
0.55412,0.119823,-0.0513461
0.554044,0.119815,-0.051279
0.553958,0.119811,-0.0512311
0.553843,0.119825,-0.0512485
0.553721,0.119848,-0.0513021
0.553603,0.119845,-0.0513989
0.553471,0.119848,-0.0514757
0.553325,0.119845,-0.0514871
0.553126,0.119805,-0.0514967
0.55304,0.119784,-0.0514917
0.552818,0.119694,-0.0514741
0.552674,0.119628,-0.0514533
0.552568,0.119548,-0.0514374
0.552482,0.119505,-0.0514538
0.552437,0.119446,-0.0514824
0.552409,0.119418,-0.0514955
0.552425,0.119391,-0.0515187
0.552432,0.119366,-0.0515322
0.552519,0.119348,-0.0515076
0.552526,0.119391,-0.0514835
0.552561,0.119433,-0.0514625
0.55262,0.119482,-0.0514641
0.552659,0.119558,-0.0514248
0.55268,0.119629,-0.0513716
0.552709,0.119692,-0.0513817
0.552765,0.119796,-0.0514019
0.552805,0.119916,-0.0514188
0.552834,0.119988,-0.0514384
0.552851,0.120061,-0.051473
0.552895,0.120064,-0.051488
0.552894,0.120071,-0.0515
0.552889,0.120056,-0.0515078
0.552868,0.119983,-0.051507
0.552846,0.119908,-0.0514728
0.552831,0.119862,-0.0514762
0.552841,0.119694,-0.0514756
0.552843,0.119553,-0.0514659
0.552863,0.11944,-0.0514709
0.552877,0.119333,-0.051464
0.552874,0.119261,-0.0514714
0.55286,0.119215,-0.0514869
0.552869,0.119206,-0.0514991
0.552853,0.119185,-0.0514941
0.552843,0.119237,-0.0514792
0.552799,0.119277,-0.0514721
0.55277,0.119337,-0.0514562
0.552725,0.119397,-0.0514428
0.552683,0.119464,-0.0514448
0.552653,0.119521,-0.0514109
0.552635,0.119556,-0.0514236
0.552632,0.119604,-0.0514439
0.552625,0.11965,-0.0514701
0.552645,0.119648,-0.0514791
0.552687,0.119655,-0.0514831
0.552703,0.119607,-0.0514641
0.552741,0.119572,-0.0514584
0.552772,0.119519,-0.0514605
0.552816,0.119463,-0.0514466
0.552857,0.119419,-0.051443
0.552879,0.119376,-0.0514648
0.55289,0.119366,-0.0514845
0.552891,0.119368,-0.0514602
0.552899,0.119387,-0.0514752
0.552878,0.119403,-0.05146
0.55286,0.119432,-0.0514681
0.552831,0.119455,-0.051455
0.552818,0.119469,-0.0514371
0.552798,0.119488,-0.0514436
0.552785,0.119506,-0.051442
0.552772,0.119506,-0.051463
0.552769,0.119511,-0.0514661
0.55282,0.119497,-0.0514727
0.552831,0.119475,-0.0514467
0.552838,0.119478,-0.0514705
0.552808,0.119491,-0.0514653
0.552837,0.119462,-0.0514647
0.55286,0.119449,-0.0514562
0.552875,0.119479,-0.0514852
0.552872,0.119531,-0.0514936
0.552958,0.11953,-0.0515034
0.553015,0.119517,-0.0515388
0.5531,0.119481,-0.051497
0.553111,0.119462,-0.0514486
0.553112,0.119439,-0.0513972
0.553134,0.119392,-0.051409
0.553149,0.119376,-0.051334
0.553092,0.119365,-0.0513011
0.553095,0.119314,-0.0513632
0.553075,0.119291,-0.0513951
0.553038,0.119282,-0.0513699
0.553019,0.119259,-0.0513626
0.55296,0.119319,-0.0514026
0.552885,0.119379,-0.051433
0.552802,0.119479,-0.0514582
0.552768,0.119563,-0.0514662
0.552749,0.119634,-0.0514857
0.552748,0.119683,-0.0514646
0.552751,0.11969,-0.0514072
0.552755,0.11969,-0.0513932
0.552771,0.11969,-0.0513868
0.552783,0.119661,-0.0513772
0.552835,0.11964,-0.0514122
0.552887,0.119626,-0.0514614
0.552934,0.119636,-0.0514972
0.552961,0.119638,-0.0515399
0.552995,0.119609,-0.0515715
0.552969,0.11957,-0.0515845
0.552862,0.11946,-0.0516172
0.552841,0.119414,-0.0517142
0.553055,0.119473,-0.0513928
0.553047,0.119471,-0.0513875
0.553031,0.119436,-0.0514037
0.553023,0.119437,-0.051433
0.553019,0.119443,-0.0514717
0.552997,0.119455,-0.0514588
0.552978,0.119484,-0.0514574
0.552949,0.119501,-0.0514479
0.552939,0.119523,-0.0514515
0.55293,0.119547,-0.0514243
0.552933,0.119558,-0.0514211
0.55295,0.119565,-0.0514339
0.552968,0.119556,-0.0514461
0.553003,0.119552,-0.0514663
0.55301,0.119576,-0.0514656
0.553032,0.119545,-0.0514444
0.553029,0.119514,-0.051423
0.552968,0.119478,-0.0513327
0.552939,0.119461,-0.051305
0.552877,0.119403,-0.0513166
0.552884,0.119367,-0.0513144
0.552891,0.11928,-0.0513345
0.552885,0.119316,-0.0513486
0.552802,0.119367,-0.0514135
0.552774,0.119419,-0.0514821
0.552812,0.119441,-0.05156
0.55281,0.119461,-0.051549
0.552764,0.119488,-0.0514309
0.552764,0.11948,-0.0513805
0.552752,0.119484,-0.0513573
0.552724,0.119514,-0.0512511
0.552691,0.119516,-0.0511762
0.552714,0.119506,-0.0512911
0.552784,0.119495,-0.0513827
0.552873,0.119457,-0.0513658
0.552977,0.119424,-0.0513704
0.553047,0.119447,-0.051474
0.553102,0.119471,-0.0515472
0.553137,0.119507,-0.0515437
0.553164,0.119544,-0.0515254
0.553189,0.119575,-0.0515509
0.553178,0.119597,-0.0514894
0.553171,0.119631,-0.0513735
0.553128,0.11964,-0.0513359
0.553082,0.11966,-0.051295
0.553059,0.119673,-0.0512825
0.553032,0.119674,-0.0513064
0.553035,0.119656,-0.0513707
0.553041,0.119643,-0.0514501
0.553064,0.119617,-0.0514938
0.553071,0.119649,-0.0515261
0.553049,0.119637,-0.0515619
0.553031,0.119628,-0.051555
0.553,0.119623,-0.0514917
0.552971,0.119601,-0.0514295
0.552949,0.119572,-0.0513956
0.552913,0.11956,-0.0513369
0.552891,0.11952,-0.0513054
0.552886,0.119492,-0.051335
0.55289,0.119475,-0.0513958
0.552913,0.119469,-0.0514207
0.552943,0.1195,-0.0514494
0.552968,0.119514,-0.0515125
0.552994,0.11954,-0.0515253
0.552997,0.11955,-0.0514941
0.553005,0.119566,-0.0514431
0.553006,0.11957,-0.0514292
0.553013,0.119565,-0.0513966
0.553007,0.119582,-0.0513752
0.553008,0.119593,-0.0513498
0.553001,0.119577,-0.0513817
0.552995,0.119589,-0.0514357
0.552997,0.119597,-0.0514288
0.552989,0.119595,-0.0514508
0.55298,0.119584,-0.0514537
0.55298,0.119577,-0.0514413
0.552989,0.119566,-0.0514156
0.553002,0.119549,-0.0514208
0.553006,0.119528,-0.0514298
0.553021,0.119533,-0.0514324
0.553028,0.119547,-0.0514267
0.553017,0.11956,-0.0514501
0.553005,0.11958,-0.0514601
0.55299,0.119605,-0.0514518
0.552964,0.119613,-0.0514315
0.552963,0.119612,-0.051403
0.552947,0.119616,-0.051416
