joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6
178.025,-106.496,-181.524,-111.711,193.738,111.688,-91.6331
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0.226963,-0.211883,0.278914,0.144863,0.228584,0.184751,-0.124788
0.843012,-0.783503,1.03385,0.54338,0.846779,0.685203,-0.462765
0.735521,-0.67085,0.89376,0.492406,0.728917,0.591981,-0.400764
0.358498,-0.160491,0.415933,0.614226,0.353861,0.579023,-0.180441
-0.503266,1.06338,-0.670409,1.01767,-0.487471,0.684249,0.326759
-0.43118,0.823307,-0.319302,0.953269,-0.309741,0.685096,0.196844
-0.78001,0.748682,0.167418,0.9354,-0.189614,0.721109,0.0468612
-0.878835,0.817132,0.495481,0.952888,-0.0152826,0.72825,-0.0699997
-0.88563,0.842905,0.578463,0.954151,0.216711,0.698817,-0.0359654
-0.913703,0.858891,0.646067,0.948453,0.309956,0.688136,0.032413
-0.916147,0.877464,0.692785,0.939202,0.248325,0.727189,0.048995
-0.910306,0.889516,0.722384,0.931931,0.167847,0.754082,0.0991523
-0.903213,0.889623,0.708401,0.927401,0.084734,0.769675,0.195736
-0.899804,0.893945,0.712323,0.92113,0.0218153,0.777936,0.235152
-0.897419,0.89829,0.723934,0.914341,-0.0163555,0.788987,0.245976
-0.89879,0.899816,0.730634,0.907791,-0.0982404,0.801289,0.255603
-0.901604,0.899774,0.732875,0.902224,-0.147998,0.807941,0.263363
-0.902879,0.89761,0.725198,0.896913,-0.148797,0.811374,0.2756
-0.904405,0.893027,0.709438,0.891733,-0.173461,0.81532,0.292432
-0.905657,0.887686,0.692606,0.886291,-0.216532,0.819683,0.30871
-0.906861,0.883132,0.677264,0.880718,-0.257146,0.822365,0.324339
-0.908899,0.879019,0.661993,0.874692,-0.288212,0.82314,0.343204
-0.911057,0.873905,0.646937,0.866443,-0.300169,0.823665,0.358349
-0.912261,0.864863,0.632894,0.855923,-0.307047,0.82531,0.36692
-0.912774,0.849169,0.6271,0.847089,-0.339603,0.826168,0.378788
-0.914013,0.829035,0.631273,0.839174,-0.369048,0.824547,0.388926
-0.916493,0.810522,0.634289,0.832498,-0.382566,0.821579,0.396734
-0.918829,0.791538,0.635588,0.82618,-0.391579,0.818074,0.407398
-0.920022,0.771028,0.639451,0.820565,-0.392759,0.813329,0.419569
-0.921249,0.748342,0.642884,0.814784,-0.380349,0.80719,0.428027
-0.923657,0.725085,0.643265,0.808549,-0.364876,0.8008,0.433773
-0.92634,0.702316,0.64286,0.804013,-0.355971,0.79416,0.435507
-0.928736,0.678504,0.644243,0.798768,-0.351179,0.786662,0.42876
-0.930691,0.651562,0.645018,0.793833,-0.347817,0.777924,0.420445
-0.94043,0.618935,0.611365,0.807494,-0.401402,0.763595,0.437015
-0.955677,0.580812,0.551856,0.832999,-0.490355,0.745952,0.470752
-0.93174,0.551367,0.666142,0.768769,-0.301969,0.753224,0.373012
-0.937045,0.519639,0.656462,0.767487,-0.288916,0.744009,0.372076
-0.940824,0.486833,0.635076,0.773299,-0.304496,0.73601,0.376171
-0.939691,0.449604,0.625789,0.76853,-0.298274,0.732315,0.361055
-0.940084,0.411135,0.620246,0.761718,-0.279629,0.726759,0.343168
-0.940514,0.365496,0.610757,0.757867,-0.27107,0.720978,0.323838
-0.94018,0.311542,0.602031,0.752676,-0.261807,0.716496,0.296968
-0.939512,0.246638,0.593984,0.745487,-0.252342,0.712061,0.266761
-0.93987,0.159216,0.578988,0.743198,-0.258553,0.704372,0.24448
-0.939679,0.0535309,0.566578,0.73998,-0.26201,0.696886,0.21919
-0.939059,-0.0493586,0.556993,0.733238,-0.264013,0.688517,0.199175
-0.938284,-0.11878,0.549984,0.720549,-0.265396,0.677669,0.185817
-0.937009,-0.155634,0.537825,0.70644,-0.281858,0.664794,0.176132
-0.934994,-0.213629,0.5054,0.7025,-0.324917,0.65521,0.172412
-0.931847,-0.286227,0.449109,0.702769,-0.384295,0.650883,0.13988
-0.929034,-0.339913,0.400662,0.698006,-0.431132,0.647914,0.102305
-0.927472,-0.378889,0.363684,0.687683,-0.461435,0.642335,0.0774801
-0.925386,-0.412953,0.344992,0.675368,-0.474,0.637281,0.0524998
-0.922561,-0.445044,0.309515,0.665849,-0.492728,0.634921,0.0340641
-0.919282,-0.475359,0.268853,0.658947,-0.516248,0.633967,0.016135
-0.91542,-0.500697,0.23284,0.650173,-0.539649,0.63386,-0.00175834
-0.9112,-0.518608,0.205719,0.636756,-0.559843,0.63231,-0.0162899
-0.905836,-0.539631,0.169384,0.620961,-0.579536,0.630879,-0.0340164
-0.898397,-0.569558,0.0998616,0.600678,-0.599194,0.627887,-0.0498533
-0.88973,-0.597596,0.0188828,0.575399,-0.612247,0.623739,-0.0581741
-0.880969,-0.61425,-0.0352502,0.541514,-0.617373,0.620055,-0.0508964
-0.871575,-0.631458,-0.0802875,0.497144,-0.62201,0.616896,-0.0505805
-0.860023,-0.65558,-0.153589,0.444609,-0.627148,0.615156,-0.0632763
-0.845516,-0.681859,-0.240254,0.384146,-0.633204,0.614691,-0.0833631
-0.830936,-0.706267,-0.306499,0.308293,-0.634694,0.61307,-0.108862
-0.816524,-0.73182,-0.361133,0.18301,-0.632131,0.610876,-0.140232
-0.797594,-0.759071,-0.420785,0.0033021,-0.626731,0.610363,-0.169945
-0.773466,-0.78826,-0.492156,-0.1912,-0.614071,0.610137,-0.201386
-0.744534,-0.818753,-0.574684,-0.326514,-0.591576,0.609732,-0.230885
-0.706792,-0.849485,-0.654185,-0.441664,-0.566602,0.605106,-0.266302
-0.658786,-0.871736,-0.711238,-0.536489,-0.554192,0.591588,-0.293636
-0.610137,-0.885624,-0.744665,-0.610888,-0.540566,0.579965,-0.31383
-0.570011,-0.897545,-0.774491,-0.652999,-0.523746,0.576866,-0.328213
-0.545442,-0.906307,-0.801647,-0.679058,-0.473428,0.562191,-0.359404
-0.525343,-0.915033,-0.827277,-0.689727,-0.397277,0.53606,-0.395131
-0.504446,-0.921685,-0.841546,-0.697517,-0.325036,0.510836,-0.412655
-0.478542,-0.927848,-0.853419,-0.709057,-0.251341,0.487578,-0.427127
-0.44688,-0.933605,-0.863266,-0.716621,-0.15775,0.457597,-0.43782
-0.418758,-0.937837,-0.872743,-0.715876,-0.0581503,0.430083,-0.444919
-0.395322,-0.940633,-0.882244,-0.711352,0.0159979,0.410652,-0.441849
-0.380766,-0.942361,-0.889683,-0.704575,0.0748158,0.398862,-0.428182
-0.373828,-0.943494,-0.895584,-0.698429,0.123417,0.392294,-0.405538
-0.378191,-0.944686,-0.901949,-0.693023,0.164413,0.391769,-0.387847
-0.386465,-0.945807,-0.9076,-0.688416,0.212741,0.38805,-0.374103
-0.392771,-0.946796,-0.913894,-0.685108,0.25624,0.380754,-0.370759
-0.398207,-0.947344,-0.920117,-0.683433,0.282371,0.371003,-0.384909
-0.412166,-0.947881,-0.926507,-0.682539,0.298464,0.361681,-0.396657
-0.419283,-0.947726,-0.93255,-0.683784,0.309396,0.345969,-0.407249
-0.423837,-0.947094,-0.938118,-0.686604,0.312006,0.330973,-0.418502
-0.430846,-0.946558,-0.943696,-0.683814,0.321579,0.316763,-0.433046
-0.445271,-0.946426,-0.94943,-0.680161,0.327837,0.300491,-0.441182
-0.484192,-0.947046,-0.955081,-0.673878,0.318503,0.290418,-0.435257
-0.520432,-0.947833,-0.959587,-0.667465,0.294518,0.292575,-0.414729
-0.552428,-0.948203,-0.963223,-0.663453,0.287068,0.290132,-0.393558
-0.587749,-0.948501,-0.966263,-0.657922,0.295341,0.279808,-0.371456
-0.62443,-0.94887,-0.968742,-0.646162,0.310326,0.263929,-0.345916
-0.660145,-0.948727,-0.97121,-0.629747,0.324845,0.242269,-0.316006
-0.7213,-0.650609,-0.707328,-0.375378,0.355399,0.300741,-0.21742
-0.82159,0.152361,0.0120997,0.30483,0.400162,0.520909,-0.00633597
-0.405622,0.0114322,-0.0478506,0.132859,0.174856,0.253117,-0.00798106
-1.17288,0.179458,0.0165343,0.350547,0.503492,0.501895,-0.00284314
-0.863922,0.0543714,-0.320959,0.0038147,0.4372,-0.539911,0.026387
-0.823283,0.107658,-0.312936,0.0520349,0.402498,-0.551343,0.111139
-0.873947,0.0909328,-0.279891,0.208592,0.417233,-0.545537,0.0789702
-0.864863,0.145984,-0.133765,0.111616,0.390673,-0.529778,0.0288963
-0.857735,0.0722647,-0.0126123,0.213259,0.402141,-0.522959,-0.0300646
-0.822401,0.046587,-0.052774,0.168657,0.409162,-0.492692,-0.00786185
-0.845051,0.0356078,-0.0782251,0.0574887,0.429964,-0.493801,0.0470757
-0.840324,0.00743866,-0.111258,-0.182015,0.430238,-0.50323,0.118381
-0.824064,-0.0018239,-0.0724435,-0.262374,0.417662,-0.490355,0.158745
-0.804001,0.00401735,-0.0737548,-0.352478,0.403309,-0.454998,0.227505
-0.778109,0.0445485,-0.145471,-0.466394,0.381649,-0.420833,0.295818
-0.782293,0.119746,-0.276113,-0.515658,0.244534,-0.442755,0.277412
-0.848025,0.270569,-0.600994,-0.52821,-0.152779,-0.541615,0.159174
-0.843441,0.282478,-0.584877,-0.535315,-0.249338,-0.504422,0.134301
-0.847191,0.297451,-0.593472,-0.527507,-0.313139,-0.489187,0.0868976
-0.858134,0.321913,-0.619447,-0.516742,-0.341415,-0.499392,0.0545144
-0.860083,0.341618,-0.615501,-0.530529,-0.328946,-0.484347,0.0797451
-0.86174,0.300765,-0.612664,-0.553495,-0.286973,-0.464809,0.118113
-0.902659,0.145996,-0.649333,-0.59604,-0.166214,-0.512707,0.147188
-0.868213,0.0652909,-0.630081,-0.582129,-0.0968695,-0.508106,0.165707
-0.873154,0.0369787,-0.649238,-0.612175,-0.089407,-0.521743,0.191027
-0.883418,0.0430703,-0.675333,-0.635272,-0.129116,-0.533903,0.201374
-0.880104,0.0337362,-0.675213,-0.626612,-0.158644,-0.503743,0.228047
-0.881594,-0.0133157,-0.686729,-0.619626,-0.16855,-0.491858,0.256687
-0.888062,-0.0855803,-0.704563,-0.611937,-0.182831,-0.486863,0.268364
-0.895435,-0.177062,-0.721776,-0.610375,-0.156772,-0.492179,0.292045
-0.937045,-0.291979,-0.765467,-0.62986,-0.0550866,-0.523126,0.346595
-0.904131,-0.346994,-0.744736,-0.601077,0.0243783,-0.501513,0.348741
-0.915331,-0.442958,-0.762308,-0.585026,0.138474,-0.492263,0.36642
-0.92721,-0.5337,-0.784051,-0.569308,0.211191,-0.47431,0.381249
-0.927049,-0.573862,-0.80024,-0.59523,0.178301,-0.450313,0.365031
-0.932598,-0.614679,-0.816298,-0.575656,0.200796,-0.435662,0.360918
-0.935978,-0.639701,-0.825274,-0.53879,0.233614,-0.412107,0.375414
-0.937504,-0.650942,-0.830293,-0.486618,0.242853,-0.392628,0.393838
-0.940233,-0.655532,-0.832784,-0.421,0.259018,-0.384438,0.399506
-0.942153,-0.661778,-0.83493,-0.353992,0.271392,-0.369489,0.400877
-0.94288,-0.656164,-0.830197,-0.258845,0.281358,-0.348139,0.399488
-0.941974,-0.65074,-0.824368,-0.166142,0.291574,-0.322127,0.399828
-0.939965,-0.6392,-0.814152,-0.0496805,0.320911,-0.309515,0.399607
-0.937581,-0.618052,-0.791764,0.148839,0.371587,-0.298619,0.395536
