joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6
178.025,-106.496,-181.524,-111.711,193.738,111.688,-91.6331
89.0126,-53.2481,-90.7621,-55.8554,96.8692,55.8439,-45.8166
59.3417,-35.4987,-60.5081,-37.2369,64.5795,37.2293,-30.5444
44.5063,-26.624,-45.381,-27.9277,48.4346,27.922,-22.9083
35.6504,-21.3416,-36.249,-22.3132,38.7934,22.3745,-18.3516
0.213995,-0.199077,0.262554,0.137649,0.215073,0.173991,-0.117511
0.361099,-0.333247,0.441306,0.23613,0.360856,0.292387,-0.197663
0.432799,-0.365345,0.524492,0.358975,0.431628,0.408192,-0.233752
0.332146,-0.152669,0.39041,0.562508,0.334134,0.545042,-0.1684
0.200517,0.054369,0.270767,0.724189,0.226469,0.645111,-0.104073
-0.124087,0.360806,0.0974798,0.802593,0.0191903,0.652292,-0.00214815
-0.446959,0.658402,0.0178242,0.89469,-0.12965,0.679545,0.0640047
-0.695784,0.859082,0.0503302,0.962675,-0.15708,0.703504,0.0928998
-0.777872,0.818183,0.313625,0.948832,0.00240564,0.704281,0.0340307
-0.874865,0.829015,0.516043,0.946019,0.114019,0.7127,0.00446081
-0.900924,0.857182,0.627036,0.945325,0.185511,0.719295,0.014919
-0.9058,0.87168,0.66962,0.940228,0.205514,0.72758,0.0680661
-0.908635,0.881888,0.696392,0.933623,0.166535,0.743403,0.12229
-0.905378,0.889767,0.711966,0.926801,0.101273,0.763574,0.165002
-0.901906,0.894238,0.719535,0.920519,0.03196,0.778394,0.206324
-0.900166,0.896289,0.721633,0.914577,-0.031209,0.789165,0.239166
-0.900099,0.897887,0.724993,0.90848,-0.0779152,0.797505,0.255139
-0.90102,0.897703,0.724416,0.9026,-0.116971,0.804982,0.266595
-0.902667,0.895582,0.71815,0.89699,-0.157006,0.811121,0.279142
-0.904281,0.892246,0.707476,0.891576,-0.188787,0.815337,0.292889
-0.90574,0.888095,0.6933,0.886069,-0.21683,0.818377,0.308857
-0.907376,0.883354,0.677648,0.879975,-0.247104,0.820835,0.325407
-0.908947,0.877721,0.662339,0.872813,-0.273821,0.822833,0.340304
-0.91037,0.870018,0.649238,0.864973,-0.298436,0.82413,0.35432
-0.911801,0.859199,0.640039,0.856664,-0.320816,0.824566,0.367237
-0.91332,0.845499,0.634499,0.848225,-0.339687,0.824254,0.377944
-0.914874,0.829025,0.632229,0.840173,-0.357969,0.823135,0.387753
-0.916426,0.810258,0.63354,0.833101,-0.375111,0.820739,0.398283
-0.918121,0.790093,0.636697,0.82664,-0.38326,0.816944,0.408131
-0.92005,0.769303,0.639095,0.820515,-0.382426,0.812194,0.4171
