action_0,action_1,action_2,action_3,action_4,action_5,action_6
0.0116751,0.0223951,0.0766181,0.05409,0.126802,0.124273,0.138742
0.0239611,0.0442669,0.14621,0.101093,0.235211,0.230462,0.257335
0.0361456,0.0649164,0.209133,0.141702,0.327938,0.321228,0.358702
0.0477567,0.083906,0.265817,0.176557,0.407292,0.398838,0.445344
0.0584882,0.10096,0.316725,0.20624,0.47524,0.465219,0.5194
0.0681697,0.11594,0.362342,0.231281,0.533458,0.52201,0.582696
0.0765704,0.128759,0.403146,0.252403,0.583322,0.570567,0.636803
0.0838748,0.140306,0.439657,0.270304,0.625984,0.612052,0.683054
0.0917071,0.151972,0.47227,0.284972,0.662506,0.647661,0.722569
0.108991,0.16313,0.502641,0.294578,0.694634,0.676974,0.756181
0.140869,0.167968,0.532331,0.297381,0.723987,0.697987,0.784522
0.183119,0.163919,0.561641,0.292109,0.751074,0.706087,0.808129
0.229749,0.14871,0.590148,0.274095,0.775964,0.674734,0.827472
0.276171,0.121908,0.616945,0.238451,0.798504,0.500196,0.843011
0.321111,0.0853102,0.641074,0.187902,0.818631,0.317463,0.855271
0.363983,0.0438256,0.661822,0.131467,0.836348,0.150625,0.86474
0.403525,0.00169881,0.67917,0.0735621,0.851804,0.00310359,0.871897
0.439563,-0.040763,0.693444,0.0167959,0.865263,-0.125113,0.877075
0.4725,-0.0824399,0.705452,-0.0366461,0.876871,-0.234336,0.88141
0.502743,-0.122308,0.715979,-0.084863,0.886848,-0.325282,0.885437
0.531954,-0.163539,0.724595,-0.121907,0.895524,-0.391376,0.888199
0.559429,-0.204511,0.73076,-0.1472,0.902991,-0.402659,0.889316
0.584297,-0.242341,0.734351,-0.162945,0.909305,-0.25787,0.888723
0.606055,-0.277345,0.734688,-0.173787,0.914516,-0.108116,0.886504
0.624505,-0.310099,0.731367,-0.183145,0.918734,0.0276832,0.882823
0.6399,-0.341125,0.723995,-0.192334,0.922091,0.147044,0.877641
0.652551,-0.369929,0.712628,-0.201925,0.924695,0.251111,0.871141
0.662891,-0.396551,0.698122,-0.213182,0.926687,0.341032,0.86426
0.671715,-0.422576,0.68061,-0.22759,0.928276,0.417672,0.857592
0.6798,-0.448383,0.661619,-0.245734,0.929703,0.482062,0.851928
0.687535,-0.473594,0.642174,-0.266879,0.931063,0.535262,0.847643
0.695021,-0.497538,0.622946,-0.289906,0.932352,0.57837,0.84477
0.702335,-0.520211,0.604748,-0.314641,0.933589,0.61141,0.843531
0.709328,-0.542627,0.586356,-0.341545,0.934824,0.631985,0.843327
0.715857,-0.564501,0.567298,-0.370082,0.936027,0.633372,0.84412
0.722063,-0.584997,0.548957,-0.399289,0.937165,0.579268,0.846104
0.727986,-0.603558,0.533127,-0.428273,0.938218,0.418973,0.84915
0.733534,-0.620489,0.519155,-0.455987,0.939181,0.253441,0.85275
0.738397,-0.636526,0.50347,-0.482405,0.940025,0.1006,0.856563
0.742687,-0.651308,0.486523,-0.50732,0.940726,-0.0357375,0.86045
0.746486,-0.664503,0.470535,-0.530241,0.941312,-0.15621,0.864204
0.749892,-0.67623,0.453639,-0.550024,0.941736,-0.261465,0.867666
0.75296,-0.687294,0.430061,-0.566553,0.941989,-0.352008,0.870709
0.75575,-0.698819,0.374972,-0.578697,0.942007,-0.427784,0.872619
0.75831,-0.710226,0.280422,-0.586863,0.941755,-0.490292,0.872833
0.760759,-0.720747,0.174949,-0.591746,0.941233,-0.541374,0.871042
0.763313,-0.729609,0.0717811,-0.593465,0.9404,-0.581343,0.867581
0.76587,-0.736551,-0.0240898,-0.592812,0.939289,-0.610692,0.862915
0.76801,-0.742013,-0.11299,-0.590717,0.937875,-0.630031,0.856289
0.769507,-0.746473,-0.194941,-0.588106,0.936102,-0.642468,0.847235
0.770847,-0.749377,-0.268059,-0.585087,0.93406,-0.647949,0.837114
0.772696,-0.749474,-0.331134,-0.581095,0.931866,-0.638295,0.827925
