action_0,action_1,action_2,action_3,action_4,action_5,action_6
0.0803163,0.154062,0.527078,0.3721,0.872306,0.854909,0.954448
0.0961941,0.172857,0.555363,0.377438,0.872576,0.854774,0.954574
0.107782,0.186321,0.579072,0.38045,0.873105,0.854867,0.954668
0.116021,0.195552,0.599076,0.381481,0.873838,0.855133,0.954738
0.121582,0.201224,0.616031,0.380755,0.874728,0.85549,0.954792
0.12509,0.204014,0.630538,0.378507,0.875735,0.855901,0.954837
0.125961,0.204124,0.643044,0.376583,0.87649,0.856044,0.954908
0.126819,0.208198,0.654312,0.375546,0.876802,0.855954,0.954979
0.137755,0.220555,0.664012,0.371211,0.87723,0.857018,0.954887
0.210607,0.228734,0.6812,0.351052,0.883524,0.849311,0.953797
0.328292,0.196409,0.706885,0.313864,0.89656,0.821532,0.951148
0.431518,0.140118,0.733968,0.261111,0.91033,0.753707,0.946922
0.503896,0.059289,0.757747,0.168186,0.922295,0.490403,0.941194
0.549099,-0.0356672,0.774489,0.0288928,0.931022,-0.525962,0.934369
0.585327,-0.129859,0.782939,-0.109292,0.936964,-0.756876,0.927349
0.616038,-0.200074,0.783803,-0.20033,0.940516,-0.830263,0.920413
0.636007,-0.245977,0.781169,-0.266877,0.942674,-0.864216,0.913978
0.651436,-0.290408,0.777363,-0.316949,0.944387,-0.878937,0.907515
0.666147,-0.327471,0.77605,-0.350846,0.945119,-0.87649,0.906894
0.680553,-0.356705,0.777868,-0.368344,0.945505,-0.859974,0.909115
0.703689,-0.405946,0.77525,-0.339699,0.946537,-0.779961,0.904441
0.720963,-0.445396,0.76701,-0.295907,0.94689,-0.468999,0.895882
0.730505,-0.464758,0.755458,-0.255509,0.946426,0.593388,0.885236
0.733979,-0.483141,0.736672,-0.237531,0.945153,0.772327,0.873455
0.732973,-0.502668,0.711845,-0.238163,0.943536,0.826087,0.861183
0.730413,-0.52354,0.68065,-0.246363,0.941823,0.848802,0.847176
0.72693,-0.539272,0.645797,-0.258312,0.940006,0.862951,0.832924
0.723683,-0.553073,0.612837,-0.279365,0.938402,0.869699,0.823804
0.72359,-0.575583,0.577652,-0.3123,0.937619,0.868264,0.818393
0.727334,-0.600107,0.549969,-0.352408,0.938093,0.860628,0.818623
0.733013,-0.621818,0.527851,-0.391197,0.939056,0.848039,0.82245
