joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6
0.788096,0.00669183,1.33426,1.22812,1.61825,-0.895242,1.58463
0.789325,0.008879,1.34122,1.23282,1.62909,-0.884624,1.59649
0.790543,0.0109442,1.34751,1.23688,1.63836,-0.875547,1.60663
0.791704,0.0128438,1.35318,1.24037,1.6463,-0.867786,1.61529
0.792777,0.0145493,1.35827,1.24334,1.65309,-0.861148,1.6227
0.793745,0.0160471,1.36283,1.24584,1.65891,-0.855469,1.62903
0.794576,0.017319,1.36688,1.24794,1.66389,-0.850616,1.63443
0.795273,0.0184228,1.37042,1.24972,1.66814,-0.846463,1.63905
0.796026,0.0194872,1.37358,1.2513,1.67183,-0.842895,1.64305
0.797771,0.0205014,1.37675,1.25262,1.67532,-0.839687,1.64678
0.800997,0.0209688,1.38024,1.2534,1.67895,-0.836759,1.65056
0.805233,0.0206116,1.38407,1.25352,1.68282,-0.834466,1.65453
0.809903,0.0191623,1.38819,1.25254,1.68689,-0.835464,1.6587
0.814594,0.0165256,1.39252,1.24999,1.69107,-0.850255,1.66302
0.819192,0.0128282,1.3969,1.24612,1.69527,-0.865427,1.66747
0.823635,0.00856446,1.4012,1.24171,1.69951,-0.878652,1.67203
0.827775,0.00418663,1.40533,1.23721,1.70379,-0.889635,1.67668
0.831625,-0.000237689,1.40933,1.23289,1.70812,-0.898451,1.6814
0.835241,-0.00458755,1.41319,1.22889,1.71244,-0.905326,1.68613
0.838649,-0.00878427,1.41685,1.22538,1.71669,-0.910497,1.69083
0.842037,-0.0131227,1.42039,1.22282,1.72098,-0.913593,1.69551
0.845306,-0.0174326,1.42374,1.22126,1.72531,-0.911729,1.70016
0.848342,-0.0214134,1.42688,1.22056,1.7297,-0.8948,1.70479
0.851125,-0.0250723,1.42981,1.22021,1.73414,-0.877982,1.70937
0.853658,-0.0284513,1.4325,1.21985,1.73861,-0.863182,1.71389
0.85599,-0.0316231,1.43494,1.21933,1.74313,-0.850612,1.71835
0.85816,-0.0345651,1.43708,1.21863,1.74768,-0.84011,1.72276
0.860233,-0.0373274,1.43905,1.2177,1.75227,-0.831434,1.72719
0.862344,-0.0400767,1.44088,1.2164,1.75692,-0.824228,1.73169
0.864563,-0.0428741,1.4427,1.21467,1.76164,-0.81811,1.73633
0.866898,-0.0456862,1.44453,1.21257,1.76642,-0.812835,1.74114
0.869334,-0.0484469,1.4464,1.21021,1.77128,-0.808278,1.74611
0.871882,-0.051174,1.44839,1.20762,1.77621,-0.804374,1.75125
0.874595,-0.0539468,1.45043,1.20474,1.7812,-0.80128,1.75651
0.877468,-0.0567262,1.45249,1.20161,1.78624,-0.799672,1.76187
0.880474,-0.0594698,1.45463,1.1983,1.79134,-0.803148,1.76733
0.883573,-0.0621481,1.45696,1.1949,1.79649,-0.81681,1.77289
0.886744,-0.0648043,1.4594,1.19148,1.80167,-0.830607,1.7785
0.890035,-0.0674888,1.46171,1.18803,1.80688,-0.842806,1.78412
0.893448,-0.0701779,1.46391,1.1846,1.81212,-0.853077,1.78973
0.896889,-0.0728136,1.46607,1.18118,1.81738,-0.861476,1.79533
0.90032,-0.0754169,1.46798,1.17784,1.82268,-0.868176,1.80092
0.903803,-0.078044,1.46918,1.17464,1.82801,-0.873439,1.80648
0.90744,-0.0807442,1.46733,1.17168,1.83334,-0.877653,1.81194
0.911215,-0.0834763,1.46158,1.16898,1.83867,-0.881102,1.81725
0.915049,-0.0861757,1.45466,1.16648,1.84399,-0.883958,1.8224
0.91889,-0.0888285,1.44779,1.16414,1.84932,-0.886297,1.8274
0.922717,-0.0914197,1.44149,1.16195,1.85466,-0.888132,1.83231
0.926587,-0.0939913,1.43588,1.1599,1.85998,-0.889599,1.83707
0.930554,-0.096593,1.43104,1.15789,1.86528,-0.891,1.84161
0.934588,-0.099191,1.42692,1.15585,1.87056,-0.892177,1.84608
0.938633,-0.101701,1.42329,1.15387,1.87586,-0.892176,1.85065
0.942649,-0.104082,1.42,1.15185,1.88117,-0.89038,1.85522
0.94673,-0.106372,1.41706,1.14973,1.88648,-0.887138,1.85964
0.950904,-0.108537,1.41443,1.14747,1.89177,-0.883249,1.86385
0.955139,-0.110551,1.41196,1.14508,1.89705,-0.875671,1.86788
0.959383,-0.112354,1.4095,1.14264,1.90235,-0.865172,1.87203
0.963587,-0.113915,1.40697,1.14016,1.90767,-0.854419,1.87652
0.96784,-0.11541,1.4045,1.13761,1.91301,-0.844946,1.88122
0.972203,-0.116964,1.40212,1.1349,1.91836,-0.837038,1.88595
0.976629,-0.118441,1.39966,1.13212,1.92374,-0.830222,1.89094
