joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0.453934,-0.423769,0.557839,0.289726,0.457187,0.369501,-0.249582
0.811795,-0.750882,0.993372,0.528778,0.813066,0.658812,-0.444865
0.717145,-0.651288,0.869207,0.483118,0.707271,0.574083,-0.389856
0.0339323,0.294036,0.00820844,0.762602,0.0405808,0.617165,0.00873703
-0.439409,0.991026,-0.59397,0.998026,-0.435348,0.68077,0.294447
-0.541246,0.789684,-0.186236,0.944982,-0.280689,0.69592,0.159107
-0.815004,0.770006,0.274646,0.941254,-0.152369,0.72632,0.00450971
-0.877948,0.824839,0.517771,0.953756,0.0528261,0.72061,-0.0660726
-0.895033,0.846783,0.597926,0.953048,0.254471,0.691237,-0.0131322
-0.91499,0.863865,0.658181,0.945954,0.295518,0.699091,0.035669
-0.914845,0.881781,0.704886,0.936995,0.227847,0.734926,0.0562834
-0.908105,0.889167,0.717402,0.930875,0.145753,0.75884,0.128517
-0.90231,0.890646,0.70857,0.925796,0.0646031,0.771644,0.208559
-0.898886,0.895274,0.715711,0.919352,0.0162927,0.780527,0.237975
-0.897571,0.898765,0.725829,0.912533,-0.0387797,0.79257,0.248733
-0.899653,0.899909,0.731862,0.90631,-0.116158,0.803297,0.25735
-0.901886,0.89938,0.73155,0.900806,-0.146626,0.808793,0.266118
-0.903272,0.89649,0.721235,0.895566,-0.1535,0.812312,0.27995
-0.904735,0.891565,0.704918,0.890314,-0.184721,0.816533,0.296824
-0.905879,0.886437,0.688614,0.884827,-0.227481,0.820507,0.312435
-0.907339,0.882066,0.673243,0.879247,-0.266505,0.822608,0.329319
-0.909499,0.877873,0.658127,0.872784,-0.292567,0.823159,0.347841
-0.911463,0.872024,0.642873,0.863597,-0.299683,0.824117,0.360261
-0.912391,0.861269,0.630489,0.853605,-0.315321,0.825731,0.370069
-0.913012,0.843808,0.628226,0.844945,-0.348604,0.825886,0.381706
-0.914664,0.824265,0.632304,0.837449,-0.372858,0.823821,0.390783
-0.917214,0.805693,0.634422,0.830822,-0.385249,0.820756,0.399284
-0.919189,0.786405,0.63657,0.824721,-0.392978,0.816982,0.410832
-0.920273,0.765228,0.640582,0.819187,-0.389994,0.811778,0.421982
-0.921864,0.742267,0.64314,0.81301,-0.375876,0.805558,0.429636
-0.924389,0.719215,0.642984,0.807457,-0.362203,0.79914,0.434972
-0.927019,0.696354,0.643319,0.802669,-0.354713,0.792332,0.433869
-0.92873,0.678505,0.644244,0.798769,-0.351184,0.786669,0.428758
-0.931169,0.643911,0.645525,0.792794,-0.347833,0.775501,0.417961
-0.948864,0.608155,0.576292,0.824157,-0.454943,0.756209,0.460693
-0.946785,0.57338,0.592312,0.810905,-0.426574,0.749304,0.43692
-0.933066,0.543067,0.665005,0.767471,-0.295446,0.750856,0.371721
-0.938503,0.51153,0.649957,0.769844,-0.294437,0.741474,0.374787
-0.940377,0.477112,0.632188,0.772322,-0.30431,0.735192,0.372504
-0.939747,0.440052,0.624682,0.766472,-0.29255,0.730903,0.356367
-0.940219,0.399872,0.61781,0.760705,-0.277278,0.72516,0.338617
-0.940476,0.351943,0.608168,0.756845,-0.269212,0.719684,0.317455
-0.939874,0.2962,0.600624,0.750339,-0.257832,0.715634,0.288274
-0.939615,0.225464,0.589895,0.744896,-0.25419,0.710022,0.261333
-0.939842,0.132171,0.575592,0.742525,-0.259461,0.702447,0.237657
-0.9395,0.0249699,0.563802,0.738616,-0.26284,0.694836,0.213335
-0.938873,-0.0708003,0.555278,0.730321,-0.263628,0.685918,0.195844
-0.93801,-0.127051,0.547853,0.71615,-0.267877,0.67419,0.181952
-0.936599,-0.16891,0.531804,0.704939,-0.291268,0.661916,0.177479
-0.934217,-0.233784,0.490186,0.7029,-0.341176,0.653893,0.164863
-0.931023,-0.30137,0.436248,0.701972,-0.397347,0.650361,0.128893
-0.928679,-0.350435,0.388933,0.695581,-0.440768,0.646513,0.0960771
-0.927006,-0.387893,0.360184,0.684337,-0.464294,0.640822,0.070436
-0.924698,-0.421383,0.33631,0.672663,-0.478463,0.636597,0.0476162
-0.921788,-0.453139,0.298831,0.664112,-0.498767,0.63456,0.0295539
-0.918316,-0.48263,0.25871,0.657071,-0.522597,0.634106,0.0110698
-0.914393,-0.50534,0.225789,0.646811,-0.54499,0.633428,-0.00519876
-0.909982,-0.523332,0.198711,0.632984,-0.564855,0.632057,-0.0210132
-0.904042,-0.547239,0.153058,0.615985,-0.585007,0.630237,-0.038279
-0.896122,-0.577809,0.0769234,0.594614,-0.60327,0.626759,-0.0535333
-0.887455,-0.602045,0.00330766,0.56736,-0.613603,0.622744,-0.0559933
-0.878621,-0.618166,-0.0449775,0.530512,-0.618588,0.619144,-0.0498327
-0.868805,-0.637441,-0.097586,0.484113,-0.623144,0.616292,-0.0532974
-0.856285,-0.662582,-0.177541,0.4292,-0.629005,0.61509,-0.068217
-0.841599,-0.68811,-0.258572,0.367585,-0.633903,0.614361,-0.0893563
-0.827449,-0.712785,-0.320475,0.279641,-0.63412,0.612339,-0.117262
-0.811975,-0.738718,-0.375879,0.139427,-0.631146,0.61071,-0.147631
-0.79158,-0.766588,-0.438356,-0.0521239,-0.624094,0.610261,-0.178547
-0.76643,-0.795953,-0.51338,-0.227624,-0.608875,0.610141,-0.208279
-0.735594,-0.827225,-0.596627,-0.357917,-0.583836,0.609264,-0.240696
-0.694486,-0.855979,-0.671056,-0.467227,-0.563649,0.601768,-0.273709
-0.645813,-0.875392,-0.720118,-0.558374,-0.55016,0.587539,-0.29982
-0.598465,-0.889048,-0.752742,-0.622856,-0.538411,0.579864,-0.316384
-0.563244,-0.899783,-0.781359,-0.661039,-0.513131,0.574091,-0.335347
-0.540222,-0.908771,-0.809295,-0.682244,-0.453435,0.555478,-0.370287
-0.520164,-0.916827,-0.83116,-0.691382,-0.378183,0.529129,-0.399857
-0.498353,-0.923305,-0.844819,-0.70066,-0.307296,0.505438,-0.416737
-0.470077,-0.929471,-0.856043,-0.7117,-0.22826,0.479763,-0.429994
-0.4394,-0.934832,-0.865699,-0.71671,-0.129989,0.449944,-0.44038
-0.412013,-0.938658,-0.875363,-0.714938,-0.0377221,0.424442,-0.444765
-0.391174,-0.941164,-0.884362,-0.709572,0.0318686,0.407348,-0.439261
-0.378074,-0.942672,-0.891164,-0.702947,0.0883629,0.396542,-0.42194
-0.374599,-0.943836,-0.897349,-0.696993,0.133398,0.39238,-0.400723
-0.380382,-0.945001,-0.903374,-0.691773,0.176956,0.391028,-0.383924
-0.388505,-0.946087,-0.909228,-0.687408,0.225308,0.386453,-0.371565
-0.393225,-0.946902,-0.915473,-0.684614,0.263891,0.377971,-0.374618
-0.40233,-0.947507,-0.921768,-0.683104,0.286668,0.369162,-0.388026
-0.414323,-0.94786,-0.928096,-0.682525,0.302275,0.357584,-0.39948
-0.420196,-0.947539,-0.933972,-0.685008,0.309421,0.341916,-0.409757
-0.425768,-0.946917,-0.93954,-0.685872,0.314504,0.327512,-0.422561
-0.432326,-0.946443,-0.945146,-0.683058,0.324015,0.312387,-0.435969
