or_w,or_x,or_y,or_z
7.822746038436889648e-01,-6.016450002789497375e-02,6.068772673606872559e-01,-1.269909590482711792e-01
7.822746038436889648e-01,-6.016450002789497375e-02,6.068772673606872559e-01,-1.269909590482711792e-01
7.822745442390441895e-01,-6.016441062092781067e-02,6.068772673606872559e-01,-1.269909292459487915e-01
7.822747230529785156e-01,-6.016452237963676453e-02,6.068771481513977051e-01,-1.269907355308532715e-01
7.822747230529785156e-01,-6.016445904970169067e-02,6.068771481513977051e-01,-1.269908547401428223e-01
7.822745442390441895e-01,-6.016457453370094299e-02,6.068772673606872559e-01,-1.269909441471099854e-01
7.822746038436889648e-01,-6.016460061073303223e-02,6.068772673606872559e-01,-1.269908547401428223e-01
7.822747230529785156e-01,-6.016448512673377991e-02,6.068771481513977051e-01,-1.269906908273696899e-01
7.822746038436889648e-01,-6.016445904970169067e-02,6.068772077560424805e-01,-1.269909292459487915e-01
7.822745442390441895e-01,-6.016451865434646606e-02,6.068773269653320312e-01,-1.269909888505935669e-01
7.822745442390441895e-01,-6.016449257731437683e-02,6.068772673606872559e-01,-1.269910186529159546e-01
7.822746634483337402e-01,-6.016450002789497375e-02,6.068771481513977051e-01,-1.269908547401428223e-01
7.822746038436889648e-01,-6.016457825899124146e-02,6.068772673606872559e-01,-1.269909590482711792e-01
7.822744846343994141e-01,-6.016455963253974915e-02,6.068773865699768066e-01,-1.269909888505935669e-01
7.822746634483337402e-01,-6.016452983021736145e-02,6.068772077560424805e-01,-1.269908100366592407e-01
7.822747230529785156e-01,-6.016450002789497375e-02,6.068771481513977051e-01,-1.269908845424652100e-01
7.822745442390441895e-01,-6.016461551189422607e-02,6.068773269653320312e-01,-1.269910037517547607e-01
7.822745442390441895e-01,-6.016460061073303223e-02,6.068773269653320312e-01,-1.269908249378204346e-01
7.822746634483337402e-01,-6.016446277499198914e-02,6.068772077560424805e-01,-1.269908249378204346e-01
7.822746634483337402e-01,-6.016455218195915222e-02,6.068771481513977051e-01,-1.269907653331756592e-01
7.822746038436889648e-01,-6.016451492905616760e-02,6.068772077560424805e-01,-1.269909739494323730e-01
7.822746038436889648e-01,-6.016448512673377991e-02,6.068772673606872559e-01,-1.269908696413040161e-01
7.822746038436889648e-01,-6.016452237963676453e-02,6.068772077560424805e-01,-1.269908547401428223e-01
7.822746038436889648e-01,-6.016449257731437683e-02,6.068772673606872559e-01,-1.269909441471099854e-01
7.822746038436889648e-01,-6.016450375318527222e-02,6.068772673606872559e-01,-1.269908994436264038e-01
7.822746038436889648e-01,-6.016450375318527222e-02,6.068772673606872559e-01,-1.269908994436264038e-01
7.822746634483337402e-01,-6.016451492905616760e-02,6.068771481513977051e-01,-1.269907802343368530e-01
7.822747230529785156e-01,-6.016431748867034912e-02,6.068771481513977051e-01,-1.269908398389816284e-01
7.822746038436889648e-01,-6.016447395086288452e-02,6.068772077560424805e-01,-1.269910633563995361e-01
7.822745442390441895e-01,-6.016460806131362915e-02,6.068773269653320312e-01,-1.269908845424652100e-01
7.822746038436889648e-01,-6.016462668776512146e-02,6.068772673606872559e-01,-1.269907504320144653e-01
7.822746634483337402e-01,-6.016445159912109375e-02,6.068772077560424805e-01,-1.269908547401428223e-01
7.822746038436889648e-01,-6.016444414854049683e-02,6.068772673606872559e-01,-1.269908994436264038e-01
7.822746038436889648e-01,-6.016455590724945068e-02,6.068772673606872559e-01,-1.269907504320144653e-01
7.822746038436889648e-01,-6.016451120376586914e-02,6.068772077560424805e-01,-1.269910186529159546e-01
7.822746038436889648e-01,-6.016444414854049683e-02,6.068772077560424805e-01,-1.269909441471099854e-01
7.822746038436889648e-01,-6.016452610492706299e-02,6.068772673606872559e-01,-1.269908994436264038e-01
7.822746038436889648e-01,-6.016450747847557068e-02,6.068772673606872559e-01,-1.269908994436264038e-01
7.822746038436889648e-01,-6.016450747847557068e-02,6.068772077560424805e-01,-1.269908845424652100e-01
7.822746634483337402e-01,-6.016440689563751221e-02,6.068772077560424805e-01,-1.269906610250473022e-01
7.822746038436889648e-01,-6.016440689563751221e-02,6.068772673606872559e-01,-1.269908696413040161e-01
7.822746038436889648e-01,-6.016437709331512451e-02,6.068772673606872559e-01,-1.269908845424652100e-01
7.822746634483337402e-01,-6.016456708312034607e-02,6.068772077560424805e-01,-1.269908398389816284e-01
7.822746634483337402e-01,-6.016462296247482300e-02,6.068771481513977051e-01,-1.269907802343368530e-01
7.822746634483337402e-01,-6.016445159912109375e-02,6.068772077560424805e-01,-1.269909888505935669e-01
7.822746038436889648e-01,-6.016448512673377991e-02,6.068772673606872559e-01,-1.269908696413040161e-01
7.822746634483337402e-01,-6.016457080841064453e-02,6.068771481513977051e-01,-1.269908398389816284e-01
7.822746634483337402e-01,-6.016455218195915222e-02,6.068771481513977051e-01,-1.269908100366592407e-01
7.822745442390441895e-01,-6.016454845666885376e-02,6.068773269653320312e-01,-1.269909590482711792e-01
7.822745442390441895e-01,-6.016451492905616760e-02,6.068772673606872559e-01,-1.269909590482711792e-01
