pos_X,pos_Y,pos_Z
3.357160445274470217e-01,-3.266053467400382160e-01,9.065329476706043277e-01
3.357160445274470217e-01,-3.266053467400382160e-01,9.065329476706043277e-01
3.357161044021145235e-01,-3.266053454162173852e-01,9.065329495173090057e-01
3.357161329102755221e-01,-3.266052341441772477e-01,9.065329994053938911e-01
3.357161026359800626e-01,-3.266052885382457749e-01,9.065330002680814792e-01
3.357161048169949313e-01,-3.266052893833779058e-01,9.065329493072086242e-01
3.357161642742825247e-01,-3.266052332001471159e-01,9.065329468321753348e-01
3.357161329190329058e-01,-3.266052345988763594e-01,9.065329991947578270e-01
3.357160739117239778e-01,-3.266053462128101770e-01,9.065329462123659088e-01
3.357160751284350431e-01,-3.266053168756518632e-01,9.065329510378520306e-01
3.357160746028247100e-01,-3.266053446899371826e-01,9.065329499247961609e-01
3.357160732991421037e-01,-3.266052896137925377e-01,9.065330016262380664e-01
3.357161043478407159e-01,-3.266052592557955880e-01,9.065330071304974480e-01
3.357161058653951868e-01,-3.266053182764591667e-01,9.065328945727204601e-01
3.357161037643041079e-01,-3.266052920418004990e-01,9.065329434682405374e-01
3.357161324769837862e-01,-3.266052588295433323e-01,9.065330003786363777e-01
3.357161647653549297e-01,-3.266052293924405214e-01,9.065329509518241791e-01
3.357161652600294532e-01,-3.266052343989853668e-01,9.065329502948058504e-01
3.357161035422117634e-01,-3.266053197393127827e-01,9.065329436855017464e-01
3.357161332706087853e-01,-3.266052340315279134e-01,9.065330009706060732e-01
3.357161037566577799e-01,-3.266052866112583164e-01,9.065330059931825391e-01
3.357161043139867962e-01,-3.266053193120460052e-01,9.065329471390448646e-01
3.357160742722027913e-01,-3.266053202507818165e-01,9.065329456292434696e-01
3.357160743463868946e-01,-3.266053172113597691e-01,9.065329475912016211e-01
3.357161340933479954e-01,-3.266052890539939968e-01,9.065330068956020115e-01
3.357161340933479954e-01,-3.266052890539939968e-01,9.065330068956020115e-01
3.357160735260617535e-01,-3.266052922638290057e-01,9.065330011327238369e-01
3.357160426780973483e-01,-3.266053451204360969e-01,9.065330004368237216e-01
3.357160735285430464e-01,-3.266053425765461093e-01,9.065330061944639750e-01
3.357161948444494781e-01,-3.266052328634082569e-01,9.065329502201017187e-01
3.357161348040302862e-01,-3.266052668407020132e-01,9.065329461316053994e-01
3.357161034370605424e-01,-3.266052887487942979e-01,9.065329438925574523e-01
3.357161041266454871e-01,-3.266053173913834318e-01,9.065329474012440159e-01
3.357161346088296527e-01,-3.266052651010940555e-01,9.065329462625713042e-01
3.357161035450984543e-01,-3.266052852577661647e-01,9.065330058459687423e-01
