lin_vel_X,lin_vel_Y,lin_vel_Z
-5.043749752076109871e-06,-3.383537148238247028e-07,-6.046750513633014634e-06
-5.043749752076109871e-06,-3.383537148238247028e-07,-6.046750513633014634e-06
3.001669028890319169e-05,8.428062869825225789e-07,-1.803285886126104742e-05
2.241282709292136133e-05,5.011130269849672914e-05,3.322497286717407405e-05
-2.042828236881177872e-05,-2.642738400027155876e-05,1.578952492309326772e-06
8.164910468622110784e-06,-2.047206180577632040e-06,-3.306443977635353804e-05
2.739515730354469270e-05,3.714367630891501904e-05,1.871114545792806894e-05
-1.522231286799069494e-05,-8.547882316634058952e-06,1.289432475459761918e-05
-3.874398680636659265e-05,-5.211073585087433457e-05,-1.246043848368572071e-05
7.412771537929074839e-06,1.021240132104139775e-05,-9.965965546143706888e-06
-1.395951812810380943e-06,-1.303853150602662936e-05,-7.480568910978036001e-06
4.577088475343771279e-06,2.492454223101958632e-05,2.508104444132186472e-05
1.242974667547969148e-05,1.281724598811706528e-05,4.535843345365719870e-07
-2.982754722324898466e-06,-2.465639772708527744e-05,-4.064046515850350261e-05
-5.714319286198588088e-06,1.483251617173664272e-05,2.499616675777360797e-05
1.486969540565041825e-05,1.405882812832714990e-05,2.645500353537499905e-05
2.316956306458450854e-05,1.183146741823293269e-05,-3.650669896160252392e-05
-5.013814643461955711e-06,4.832025751966284588e-06,6.302725523710250854e-06
-3.396049942239187658e-05,-3.799283877015113831e-05,5.567451808019541204e-06
1.878235889307688922e-05,3.461079177213832736e-05,1.653312938287854195e-05
-1.119285661843605340e-05,-2.352734009036794305e-05,3.577568577384226955e-06
-7.062481472530635074e-06,-1.058730958902742714e-05,-2.014580422837752849e-05
-8.248816811828874052e-06,-4.081081897311378270e-06,-6.369769835146144032e-06
-4.721065920421096962e-07,-1.504781948824529536e-06,1.110941866500070319e-05
1.151856758951907977e-05,1.308724222326418385e-06,-1.811186666600406170e-05
1.407555009791394696e-05,1.917330519063398242e-05,2.431176653772126883e-05
-2.037039848801214248e-05,-2.585076799732632935e-06,5.115693966217804700e-06
-1.777447323547676206e-05,-3.379221743671223521e-05,-4.875822469330159947e-06
1.114860333473188803e-05,4.992807589587755501e-06,-3.712851366799441166e-06
5.527401299332268536e-05,5.191205855226144195e-05,-2.455263711453881115e-05
-3.126881711068563163e-05,-1.079364756151335314e-05,3.634846734712482430e-06
-5.380861693993210793e-06,-2.302599386894144118e-05,1.518483622930943966e-05
-7.746241863060276955e-06,-1.189217073260806501e-05,-8.820942639431450516e-06
1.856566632341127843e-05,3.797504177782684565e-05,9.974773092835675925e-06
-9.932787179423030466e-06,-2.500095797586254776e-05,4.818873549083946273e-06
-2.119491546181961894e-05,-1.829281791287939996e-05,-1.541413894301513210e-06
2.259704524476546794e-05,2.919527651101816446e-05,-1.185501901090901811e-06
-9.099984708882402629e-06,-1.660602538322564214e-05,-1.388522741763154045e-05
-2.797647084662457928e-06,4.277144398656673729e-06,1.337222056463360786e-05
8.785681529843714088e-06,-6.033727004250977188e-06,-4.182710836175829172e-05
-1.337961748504312709e-06,-1.405265811627032235e-05,3.577565166779095307e-06
-1.682066249486524612e-05,-8.659250852360855788e-06,2.262576526845805347e-05
1.998847437789663672e-05,5.086647070129401982e-05,2.325922105228528380e-05
1.634294676478020847e-05,1.756224264681804925e-05,4.192933374724816531e-06
-5.211264215176925063e-05,-7.519845530623570085e-05,-1.012561733659822494e-05
2.626168316055554897e-05,3.425582326599396765e-05,-6.169164862512843683e-06
-3.497196985335904174e-06,1.231108308274997398e-05,1.605523539183195680e-05
2.035178295045625418e-05,3.639070882854866795e-06,-1.617266934772487730e-05
-1.463747776142554358e-05,-1.847158819145988673e-05,-8.823491953080520034e-06
-1.087394684873288497e-05,-8.334018275490961969e-06,4.354545126261655241e-06
-1.009912284644087777e-05,-1.860695010691415519e-05,-2.740704076131805778e-06
1.875594352895859629e-05,2.946240419987589121e-05,7.327087132580345497e-06
4.506044933805242181e-05,3.554493014235049486e-05,-1.696609251666814089e-05
-3.150142219965346158e-06,-4.751371761813061312e-06,1.075128784577827901e-05
-1.401663030264899135e-05,1.300328585784882307e-05,2.302257780684158206e-05
2.806515840347856283e-05,8.389338290726300329e-06,-3.571234628907404840e-05
-3.030112748092506081e-05,-3.591932545532472432e-05,1.578956471348647028e-06
2.278279498568736017e-05,2.778238922473974526e-05,2.451813816151116043e-05
