joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6
8.031969666481018066e-01,-8.767239749431610107e-03,1.324605107307434082e+00,1.214022397994995117e+00,1.620344996452331543e+00,-9.113638997077941895e-01,1.562788844108581543e+00
8.031970858573913574e-01,-8.767299354076385498e-03,1.324605226516723633e+00,1.214022397994995117e+00,1.620344758033752441e+00,-9.113635420799255371e-01,1.562788963317871094e+00
8.031971454620361328e-01,-8.767299354076385498e-03,1.324605345726013184e+00,1.214022397994995117e+00,1.620345234870910645e+00,-9.113637804985046387e-01,1.562788844108581543e+00
8.031971454620361328e-01,-8.767299354076385498e-03,1.324605226516723633e+00,1.214022397994995117e+00,1.620345234870910645e+00,-9.113636016845703125e-01,1.562788844108581543e+00
8.031971454620361328e-01,-8.767299354076385498e-03,1.324605226516723633e+00,1.214022397994995117e+00,1.620344877243041992e+00,-9.113637804985046387e-01,1.562788724899291992e+00
8.031970858573913574e-01,-8.767239749431610107e-03,1.324605464935302734e+00,1.214022397994995117e+00,1.620344996452331543e+00,-9.113637804985046387e-01,1.562788844108581543e+00
8.031970858573913574e-01,-8.767299354076385498e-03,1.324605464935302734e+00,1.214022397994995117e+00,1.620345234870910645e+00,-9.113637804985046387e-01,1.562788963317871094e+00
8.031970858573913574e-01,-8.767358958721160889e-03,1.324605226516723633e+00,1.214022397994995117e+00,1.620344996452331543e+00,-9.113636016845703125e-01,1.562788844108581543e+00
8.031970858573913574e-01,-8.767239749431610107e-03,1.324605107307434082e+00,1.214022397994995117e+00,1.620344758033752441e+00,-9.113637804985046387e-01,1.562788844108581543e+00
8.031970858573913574e-01,-8.767299354076385498e-03,1.324605226516723633e+00,1.214022397994995117e+00,1.620344877243041992e+00,-9.113636016845703125e-01,1.562788724899291992e+00
8.031970858573913574e-01,-8.767299354076385498e-03,1.324605226516723633e+00,1.214022397994995117e+00,1.620345115661621094e+00,-9.113637804985046387e-01,1.562788844108581543e+00
8.031970858573913574e-01,-8.767239749431610107e-03,1.324605226516723633e+00,1.214022278785705566e+00,1.620344877243041992e+00,-9.113637804985046387e-01,1.562788844108581543e+00
8.031970858573913574e-01,-8.767299354076385498e-03,1.324605226516723633e+00,1.214022397994995117e+00,1.620344519615173340e+00,-9.113637804985046387e-01,1.562788844108581543e+00
8.031970858573913574e-01,-8.767299354076385498e-03,1.324605226516723633e+00,1.214022397994995117e+00,1.620345115661621094e+00,-9.113638997077941895e-01,1.562788844108581543e+00
8.031971454620361328e-01,-8.767239749431610107e-03,1.324605226516723633e+00,1.214022397994995117e+00,1.620345354080200195e+00,-9.113636016845703125e-01,1.562788724899291992e+00
8.031970858573913574e-01,-8.767119608819484711e-03,1.324605226516723633e+00,1.214022397994995117e+00,1.620344877243041992e+00,-9.113637804985046387e-01,1.562788724899291992e+00
8.031970858573913574e-01,-8.767239749431610107e-03,1.324605345726013184e+00,1.214022397994995117e+00,1.620344758033752441e+00,-9.113638997077941895e-01,1.562788963317871094e+00
8.031970858573913574e-01,-8.767299354076385498e-03,1.324605226516723633e+00,1.214022397994995117e+00,1.620345115661621094e+00,-9.113637804985046387e-01,1.562788844108581543e+00
8.031971454620361328e-01,-8.767239749431610107e-03,1.324605226516723633e+00,1.214022397994995117e+00,1.620345234870910645e+00,-9.113638997077941895e-01,1.562788844108581543e+00
8.031970858573913574e-01,-8.767239749431610107e-03,1.324605226516723633e+00,1.214022278785705566e+00,1.620344996452331543e+00,-9.113636016845703125e-01,1.562788844108581543e+00
8.031970858573913574e-01,-8.767299354076385498e-03,1.324605226516723633e+00,1.214022397994995117e+00,1.620344877243041992e+00,-9.113637804985046387e-01,1.562788963317871094e+00
8.031970858573913574e-01,-8.767299354076385498e-03,1.324605226516723633e+00,1.214022397994995117e+00,1.620344996452331543e+00,-9.113638997077941895e-01,1.562788844108581543e+00
8.031970858573913574e-01,-8.767239749431610107e-03,1.324605107307434082e+00,1.214022397994995117e+00,1.620344996452331543e+00,-9.113637804985046387e-01,1.562788844108581543e+00
8.031970858573913574e-01,-8.767299354076385498e-03,1.324605226516723633e+00,1.214022397994995117e+00,1.620344877243041992e+00,-9.113637804985046387e-01,1.562788844108581543e+00
8.031970858573913574e-01,-8.767299354076385498e-03,1.324605345726013184e+00,1.214022278785705566e+00,1.620344758033752441e+00,-9.113636016845703125e-01,1.562788963317871094e+00
8.031970858573913574e-01,-8.767299354076385498e-03,1.324605226516723633e+00,1.214022397994995117e+00,1.620345234870910645e+00,-9.113638997077941895e-01,1.562788844108581543e+00
8.031969666481018066e-01,-8.767239749431610107e-03,1.324605226516723633e+00,1.214022397994995117e+00,1.620345354080200195e+00,-9.113636016845703125e-01,1.562788963317871094e+00
8.031970858573913574e-01,-8.767239749431610107e-03,1.324605107307434082e+00,1.214022397994995117e+00,1.620344996452331543e+00,-9.113635420799255371e-01,1.562788724899291992e+00
8.031971454620361328e-01,-8.767239749431610107e-03,1.324605345726013184e+00,1.214022397994995117e+00,1.620344758033752441e+00,-9.113637804985046387e-01,1.562788844108581543e+00
8.031971454620361328e-01,-8.767299354076385498e-03,1.324605226516723633e+00,1.214022397994995117e+00,1.620344996452331543e+00,-9.113640785217285156e-01,1.562788844108581543e+00
8.031972050666809082e-01,-8.767299354076385498e-03,1.324605226516723633e+00,1.214022397994995117e+00,1.620345115661621094e+00,-9.113636016845703125e-01,1.562788844108581543e+00
8.031970858573913574e-01,-8.767299354076385498e-03,1.324605226516723633e+00,1.214022397994995117e+00,1.620344996452331543e+00,-9.113636016845703125e-01,1.562788844108581543e+00
8.031970858573913574e-01,-8.767299354076385498e-03,1.324605345726013184e+00,1.214022397994995117e+00,1.620344996452331543e+00,-9.113638997077941895e-01,1.562788963317871094e+00
8.031970858573913574e-01,-8.767239749431610107e-03,1.324605226516723633e+00,1.214022397994995117e+00,1.620344996452331543e+00,-9.113635420799255371e-01,1.562788724899291992e+00
8.031970858573913574e-01,-8.767299354076385498e-03,1.324605226516723633e+00,1.214022397994995117e+00,1.620344996452331543e+00,-9.113636016845703125e-01,1.562788844108581543e+00
8.031970858573913574e-01,-8.767239749431610107e-03,1.324605226516723633e+00,1.214022397994995117e+00,1.620344996452331543e+00,-9.113637804985046387e-01,1.562788844108581543e+00
8.031970858573913574e-01,-8.767299354076385498e-03,1.324605226516723633e+00,1.214022397994995117e+00,1.620344996452331543e+00,-9.113637804985046387e-01,1.562788844108581543e+00
8.031970858573913574e-01,-8.767299354076385498e-03,1.324605226516723633e+00,1.214022397994995117e+00,1.620344996452331543e+00,-9.113637804985046387e-01,1.562788844108581543e+00
8.031970858573913574e-01,-8.767299354076385498e-03,1.324605226516723633e+00,1.214022636413574219e+00,1.620345234870910645e+00,-9.113638997077941895e-01,1.562788963317871094e+00
8.031970858573913574e-01,-8.767299354076385498e-03,1.324605226516723633e+00,1.214022517204284668e+00,1.620344996452331543e+00,-9.113636016845703125e-01,1.562788844108581543e+00
8.031970858573913574e-01,-8.767358958721160889e-03,1.324605226516723633e+00,1.214022397994995117e+00,1.620344877243041992e+00,-9.113635420799255371e-01,1.562788963317871094e+00
8.031970858573913574e-01,-8.767239749431610107e-03,1.324605226516723633e+00,1.214022397994995117e+00,1.620345115661621094e+00,-9.113638997077941895e-01,1.562788844108581543e+00
8.031971454620361328e-01,-8.767299354076385498e-03,1.324605345726013184e+00,1.214022397994995117e+00,1.620345234870910645e+00,-9.113638997077941895e-01,1.562788724899291992e+00
8.031970858573913574e-01,-8.767419494688510895e-03,1.324605226516723633e+00,1.214022397994995117e+00,1.620344996452331543e+00,-9.113635420799255371e-01,1.562788724899291992e+00
8.031970858573913574e-01,-8.767299354076385498e-03,1.324605226516723633e+00,1.214022397994995117e+00,1.620344877243041992e+00,-9.113637804985046387e-01,1.562788963317871094e+00
8.031970858573913574e-01,-8.767299354076385498e-03,1.324605226516723633e+00,1.214022397994995117e+00,1.620345234870910645e+00,-9.113638997077941895e-01,1.562788724899291992e+00
8.031970858573913574e-01,-8.767358958721160889e-03,1.324605464935302734e+00,1.214022397994995117e+00,1.620345115661621094e+00,-9.113637804985046387e-01,1.562788724899291992e+00
8.031970858573913574e-01,-8.767299354076385498e-03,1.324605226516723633e+00,1.214022397994995117e+00,1.620344638824462891e+00,-9.113637804985046387e-01,1.562788844108581543e+00
8.031970858573913574e-01,-8.767299354076385498e-03,1.324605226516723633e+00,1.214022397994995117e+00,1.620344758033752441e+00,-9.113637804985046387e-01,1.562788844108581543e+00
8.031970858573913574e-01,-8.767299354076385498e-03,1.324605107307434082e+00,1.214022397994995117e+00,1.620344996452331543e+00,-9.113636016845703125e-01,1.562788724899291992e+00
8.031970858573913574e-01,-8.767299354076385498e-03,1.324605226516723633e+00,1.214022397994995117e+00,1.620344877243041992e+00,-9.113637804985046387e-01,1.562788724899291992e+00
8.031970858573913574e-01,-8.767239749431610107e-03,1.324605464935302734e+00,1.214022397994995117e+00,1.620344758033752441e+00,-9.113637804985046387e-01,1.562788963317871094e+00
8.031970858573913574e-01,-8.767239749431610107e-03,1.324605464935302734e+00,1.214022397994995117e+00,1.620344996452331543e+00,-9.113636016845703125e-01,1.562788844108581543e+00
8.031970858573913574e-01,-8.767239749431610107e-03,1.324605345726013184e+00,1.214022397994995117e+00,1.620345234870910645e+00,-9.113638997077941895e-01,1.562788963317871094e+00
8.031972050666809082e-01,-8.767239749431610107e-03,1.324605345726013184e+00,1.214022397994995117e+00,1.620344758033752441e+00,-9.113638997077941895e-01,1.562788844108581543e+00
8.031971454620361328e-01,-8.767239749431610107e-03,1.324605226516723633e+00,1.214022397994995117e+00,1.620344758033752441e+00,-9.113637804985046387e-01,1.562788844108581543e+00
8.031971454620361328e-01,-8.767239749431610107e-03,1.324605464935302734e+00,1.214022397994995117e+00,1.620345234870910645e+00,-9.113636016845703125e-01,1.562788844108581543e+00
8.031971454620361328e-01,-8.767299354076385498e-03,1.324605464935302734e+00,1.214022397994995117e+00,1.620344996452331543e+00,-9.113636016845703125e-01,1.562788844108581543e+00
8.031970858573913574e-01,-8.767239749431610107e-03,1.324605345726013184e+00,1.214022397994995117e+00,1.620344877243041992e+00,-9.113638997077941895e-01,1.562788844108581543e+00
8.031970858573913574e-01,-8.767239749431610107e-03,1.324605226516723633e+00,1.214022397994995117e+00,1.620344996452331543e+00,-9.113636016845703125e-01,1.562788844108581543e+00
8.031970858573913574e-01,-8.767299354076385498e-03,1.324605107307434082e+00,1.214022397994995117e+00,1.620345115661621094e+00,-9.113638997077941895e-01,1.562788963317871094e+00
8.031971454620361328e-01,-8.767239749431610107e-03,1.324605226516723633e+00,1.214022397994995117e+00,1.620344877243041992e+00,-9.113637804985046387e-01,1.562788844108581543e+00
8.031970858573913574e-01,-8.767239749431610107e-03,1.324605226516723633e+00,1.214022397994995117e+00,1.620344996452331543e+00,-9.113635420799255371e-01,1.562788724899291992e+00
8.031970858573913574e-01,-8.767239749431610107e-03,1.324605226516723633e+00,1.214022397994995117e+00,1.620345234870910645e+00,-9.113636016845703125e-01,1.562788844108581543e+00
8.031970858573913574e-01,-8.767239749431610107e-03,1.324605226516723633e+00,1.214022636413574219e+00,1.620344996452331543e+00,-9.113636016845703125e-01,1.562788844108581543e+00
8.031971454620361328e-01,-8.767239749431610107e-03,1.324605226516723633e+00,1.214022397994995117e+00,1.620344758033752441e+00,-9.113637804985046387e-01,1.562788844108581543e+00
8.031971454620361328e-01,-8.767239749431610107e-03,1.324605345726013184e+00,1.214022397994995117e+00,1.620344996452331543e+00,-9.113637804985046387e-01,1.562788844108581543e+00
8.031970858573913574e-01,-8.767299354076385498e-03,1.324605226516723633e+00,1.214022397994995117e+00,1.620344996452331543e+00,-9.113637804985046387e-01,1.562788844108581543e+00
8.031972050666809082e-01,-8.767239749431610107e-03,1.324605226516723633e+00,1.214022397994995117e+00,1.620344996452331543e+00,-9.113637804985046387e-01,1.562788963317871094e+00
8.031971454620361328e-01,-8.767119608819484711e-03,1.324605226516723633e+00,1.214022397994995117e+00,1.620344996452331543e+00,-9.113637804985046387e-01,1.562788724899291992e+00
8.031970858573913574e-01,-8.767239749431610107e-03,1.324605226516723633e+00,1.214022397994995117e+00,1.620344877243041992e+00,-9.113636016845703125e-01,1.562788844108581543e+00
8.031969666481018066e-01,-8.767239749431610107e-03,1.324605226516723633e+00,1.214022397994995117e+00,1.620344996452331543e+00,-9.113637804985046387e-01,1.562788844108581543e+00
8.031970858573913574e-01,-8.767239749431610107e-03,1.324605226516723633e+00,1.214022397994995117e+00,1.620344996452331543e+00,-9.113637804985046387e-01,1.562788844108581543e+00
8.031970858573913574e-01,-8.767299354076385498e-03,1.324605226516723633e+00,1.214022397994995117e+00,1.620344996452331543e+00,-9.113638997077941895e-01,1.562788844108581543e+00
8.031970858573913574e-01,-8.767299354076385498e-03,1.324605226516723633e+00,1.214022278785705566e+00,1.620344996452331543e+00,-9.113638997077941895e-01,1.562788844108581543e+00
8.031972050666809082e-01,-8.767239749431610107e-03,1.324605226516723633e+00,1.214022397994995117e+00,1.620345115661621094e+00,-9.113637804985046387e-01,1.562788844108581543e+00
8.031970858573913574e-01,-8.767239749431610107e-03,1.324605226516723633e+00,1.214022397994995117e+00,1.620344996452331543e+00,-9.113637804985046387e-01,1.562788844108581543e+00
8.031970858573913574e-01,-8.767299354076385498e-03,1.324605345726013184e+00,1.214022397994995117e+00,1.620344996452331543e+00,-9.113637804985046387e-01,1.562788844108581543e+00
8.031971454620361328e-01,-8.767239749431610107e-03,1.324605464935302734e+00,1.214022397994995117e+00,1.620344758033752441e+00,-9.113638997077941895e-01,1.562788844108581543e+00
8.031970858573913574e-01,-8.767239749431610107e-03,1.324605226516723633e+00,1.214022397994995117e+00,1.620344996452331543e+00,-9.113637804985046387e-01,1.562788963317871094e+00
8.031970858573913574e-01,-8.767299354076385498e-03,1.324605226516723633e+00,1.214022397994995117e+00,1.620345234870910645e+00,-9.113636016845703125e-01,1.562788844108581543e+00
8.031970858573913574e-01,-8.767239749431610107e-03,1.324605226516723633e+00,1.214022397994995117e+00,1.620344758033752441e+00,-9.113636016845703125e-01,1.562788844108581543e+00
8.031970858573913574e-01,-8.767299354076385498e-03,1.324605226516723633e+00,1.214022397994995117e+00,1.620344877243041992e+00,-9.113636016845703125e-01,1.562788844108581543e+00
8.031970858573913574e-01,-8.767299354076385498e-03,1.324605226516723633e+00,1.214022397994995117e+00,1.620345234870910645e+00,-9.113638997077941895e-01,1.562788844108581543e+00
8.031970858573913574e-01,-8.767239749431610107e-03,1.324605226516723633e+00,1.214022397994995117e+00,1.620344996452331543e+00,-9.113636016845703125e-01,1.562788844108581543e+00
8.031970858573913574e-01,-8.767299354076385498e-03,1.324605226516723633e+00,1.214022397994995117e+00,1.620344758033752441e+00,-9.113637804985046387e-01,1.562788844108581543e+00
8.031970858573913574e-01,-8.767419494688510895e-03,1.324605226516723633e+00,1.214022397994995117e+00,1.620344996452331543e+00,-9.113637804985046387e-01,1.562788963317871094e+00
8.031971454620361328e-01,-8.767358958721160889e-03,1.324605226516723633e+00,1.214022397994995117e+00,1.620345473289489746e+00,-9.113638997077941895e-01,1.562788724899291992e+00
8.031971454620361328e-01,-8.767299354076385498e-03,1.324605345726013184e+00,1.214022397994995117e+00,1.620345234870910645e+00,-9.113637804985046387e-01,1.562788844108581543e+00
8.031971454620361328e-01,-8.767239749431610107e-03,1.324605345726013184e+00,1.214022397994995117e+00,1.620344638824462891e+00,-9.113635420799255371e-01,1.562788724899291992e+00
8.031971454620361328e-01,-8.767299354076385498e-03,1.324605226516723633e+00,1.214022397994995117e+00,1.620344758033752441e+00,-9.113637804985046387e-01,1.562788844108581543e+00
8.031971454620361328e-01,-8.767299354076385498e-03,1.324605226516723633e+00,1.214022397994995117e+00,1.620345234870910645e+00,-9.113637804985046387e-01,1.562788844108581543e+00
8.031970858573913574e-01,-8.767299354076385498e-03,1.324605226516723633e+00,1.214022397994995117e+00,1.620345234870910645e+00,-9.113637804985046387e-01,1.562788963317871094e+00
8.031971454620361328e-01,-8.767239749431610107e-03,1.324605107307434082e+00,1.214022278785705566e+00,1.620344996452331543e+00,-9.113637804985046387e-01,1.562788844108581543e+00
8.031971454620361328e-01,-8.767239749431610107e-03,1.324605226516723633e+00,1.214022397994995117e+00,1.620344758033752441e+00,-9.113639593124389648e-01,1.562788844108581543e+00
8.031970858573913574e-01,-8.767358958721160889e-03,1.324605226516723633e+00,1.214022397994995117e+00,1.620344996452331543e+00,-9.113637804985046387e-01,1.562788844108581543e+00
8.031969666481018066e-01,-8.767299354076385498e-03,1.324605226516723633e+00,1.214022397994995117e+00,1.620345115661621094e+00,-9.113636016845703125e-01,1.562788724899291992e+00
8.031970858573913574e-01,-8.767239749431610107e-03,1.324605226516723633e+00,1.214022397994995117e+00,1.620344996452331543e+00,-9.113638997077941895e-01,1.562788844108581543e+00
8.031970858573913574e-01,-8.767239749431610107e-03,1.324605226516723633e+00,1.214022397994995117e+00,1.620344996452331543e+00,-9.113636016845703125e-01,1.562788724899291992e+00
8.031969666481018066e-01,-8.767239749431610107e-03,1.324605345726013184e+00,1.214022397994995117e+00,1.620344877243041992e+00,-9.113638997077941895e-01,1.562788844108581543e+00
8.031969666481018066e-01,-8.767239749431610107e-03,1.324605226516723633e+00,1.214022397994995117e+00,1.620344996452331543e+00,-9.113637804985046387e-01,1.562788844108581543e+00
8.031970858573913574e-01,-8.767299354076385498e-03,1.324605226516723633e+00,1.214022397994995117e+00,1.620344996452331543e+00,-9.113638997077941895e-01,1.562788844108581543e+00
8.031971454620361328e-01,-8.767299354076385498e-03,1.324605226516723633e+00,1.214022397994995117e+00,1.620344996452331543e+00,-9.113637804985046387e-01,1.562788844108581543e+00
8.031970858573913574e-01,-8.767239749431610107e-03,1.324605226516723633e+00,1.214022397994995117e+00,1.620344996452331543e+00,-9.113638997077941895e-01,1.562788963317871094e+00
8.031970858573913574e-01,-8.767239749431610107e-03,1.324604392051696777e+00,1.214020729064941406e+00,1.620343327522277832e+00,-9.113615155220031738e-01,1.562787055969238281e+00
8.031978607177734375e-01,-8.765022270381450653e-03,1.324602723121643066e+00,1.214005231857299805e+00,1.620339035987854004e+00,-9.113577008247375488e-01,1.562783956527709961e+00
8.032026290893554688e-01,-8.755135349929332733e-03,1.324616551399230957e+00,1.213956832885742188e+00,1.620345234870910645e+00,-9.113649129867553711e-01,1.562790632247924805e+00
8.032137155532836914e-01,-8.734522387385368347e-03,1.324661970138549805e+00,1.213880419731140137e+00,1.620375633239746094e+00,-9.113976955413818359e-01,1.562819004058837891e+00
8.032315373420715332e-01,-8.703303523361682892e-03,1.324761152267456055e+00,1.213802814483642578e+00,1.620464086532592773e+00,-9.114925861358642578e-01,1.562908530235290527e+00
8.032549023628234863e-01,-8.661897853016853333e-03,1.324947237968444824e+00,1.213752746582031250e+00,1.620679140090942383e+00,-9.117076992988586426e-01,1.563127160072326660e+00
8.032782673835754395e-01,-8.613721467554569244e-03,1.325256109237670898e+00,1.213747978210449219e+00,1.621109604835510254e+00,-9.121493697166442871e-01,1.563591599464416504e+00
8.032900094985961914e-01,-8.565904572606086731e-03,1.325704216957092285e+00,1.213803410530090332e+00,1.621854543685913086e+00,-9.129160642623901367e-01,1.564438819885253906e+00
8.032754659652709961e-01,-8.528993465006351471e-03,1.326294898986816406e+00,1.213934302330017090e+00,1.622999548912048340e+00,-9.140857458114624023e-01,1.565758585929870605e+00
8.032209277153015137e-01,-8.516409434378147125e-03,1.327024459838867188e+00,1.214142203330993652e+00,1.624597787857055664e+00,-9.157214760780334473e-01,1.567593216896057129e+00
8.031196594238281250e-01,-8.538700640201568604e-03,1.327907443046569824e+00,1.214409112930297852e+00,1.626668691635131836e+00,-9.178357124328613281e-01,1.569967985153198242e+00
8.029662370681762695e-01,-8.603534661233425140e-03,1.328953981399536133e+00,1.214746832847595215e+00,1.629210352897644043e+00,-9.204325675964355469e-01,1.572878956794738770e+00
8.027548789978027344e-01,-8.720860816538333893e-03,1.330168128013610840e+00,1.215180993080139160e+00,1.632202863693237305e+00,-9.234714508056640625e-01,1.576294422149658203e+00
8.024839758872985840e-01,-8.894212543964385986e-03,1.331547737121582031e+00,1.215731859207153320e+00,1.635596036911010742e+00,-9.269019365310668945e-01,1.580158472061157227e+00
8.021518588066101074e-01,-9.127545170485973358e-03,1.333088397979736328e+00,1.216412067413330078e+00,1.639353752136230469e+00,-9.307053089141845703e-01,1.584430575370788574e+00
8.017639517784118652e-01,-9.420319460332393646e-03,1.334783911705017090e+00,1.217224717140197754e+00,1.643468499183654785e+00,-9.348252415657043457e-01,1.589072465896606445e+00
8.013315796852111816e-01,-9.778408333659172058e-03,1.336639285087585449e+00,1.218157529830932617e+00,1.647898912429809570e+00,-9.392014145851135254e-01,1.594002246856689453e+00
8.008627891540527344e-01,-1.020019315183162689e-02,1.338667392730712891e+00,1.219190120697021484e+00,1.652621507644653320e+00,-9.437679648399353027e-01,1.599165797233581543e+00
8.003687858581542969e-01,-1.067566778510808945e-02,1.340866684913635254e+00,1.220296382904052734e+00,1.657602429389953613e+00,-9.484509825706481934e-01,1.604504227638244629e+00
7.998442053794860840e-01,-1.118721440434455872e-02,1.343229770660400391e+00,1.221450209617614746e+00,1.662821888923645020e+00,-9.533044099807739258e-01,1.609964847564697266e+00
7.992770671844482422e-01,-1.172985974699258804e-02,1.345734596252441406e+00,1.222628474235534668e+00,1.668260335922241211e+00,-9.582989811897277832e-01,1.615517616271972656e+00
7.986629009246826172e-01,-1.231085509061813354e-02,1.348357558250427246e+00,1.223824501037597656e+00,1.673859834671020508e+00,-9.633117318153381348e-01,1.621130585670471191e+00
7.979987263679504395e-01,-1.292276941239833832e-02,1.351076960563659668e+00,1.225042581558227539e+00,1.679597854614257812e+00,-9.683430790901184082e-01,1.626778006553649902e+00
7.972866892814636230e-01,-1.354792620986700058e-02,1.353883981704711914e+00,1.226268529891967773e+00,1.685451626777648926e+00,-9.735153913497924805e-01,1.632463693618774414e+00
7.965295910835266113e-01,-1.418177224695682526e-02,1.356770753860473633e+00,1.227475523948669434e+00,1.691360116004943848e+00,-9.787780642509460449e-01,1.638182282447814941e+00
7.957329154014587402e-01,-1.481609698385000229e-02,1.359741449356079102e+00,1.228661537170410156e+00,1.697321414947509766e+00,-9.840244650840759277e-01,1.643926858901977539e+00
7.949052453041076660e-01,-1.544095482677221298e-02,1.362790346145629883e+00,1.229851365089416504e+00,1.703341126441955566e+00,-9.892869591712951660e-01,1.649693489074707031e+00
7.940385341644287109e-01,-1.605436764657497406e-02,1.365899205207824707e+00,1.231012821197509766e+00,1.709387183189392090e+00,-9.946818947792053223e-01,1.655493378639221191e+00
7.931203246116638184e-01,-1.666058972477912903e-02,1.369053602218627930e+00,1.232143402099609375e+00,1.715458512306213379e+00,-1.000180602073669434e+00,1.661328792572021484e+00
7.921671271324157715e-01,-1.726465485990047455e-02,1.372259855270385742e+00,1.233287572860717773e+00,1.721564054489135742e+00,-1.005614280700683594e+00,1.667194008827209473e+00
7.911902666091918945e-01,-1.786374486982822418e-02,1.375536322593688965e+00,1.234439849853515625e+00,1.727679133415222168e+00,-1.011057734489440918e+00,1.673098206520080566e+00
7.901896834373474121e-01,-1.844701729714870453e-02,1.378873705863952637e+00,1.235577583312988281e+00,1.733799576759338379e+00,-1.016756772994995117e+00,1.679047822952270508e+00
7.891626358032226562e-01,-1.900763995945453644e-02,1.382276535034179688e+00,1.236710906028747559e+00,1.739910364151000977e+00,-1.022444486618041992e+00,1.685044407844543457e+00
7.881093621253967285e-01,-1.954063773155212402e-02,1.385718822479248047e+00,1.237886071205139160e+00,1.746001601219177246e+00,-1.028002023696899414e+00,1.691078186035156250e+00
7.870061397552490234e-01,-2.005044743418693542e-02,1.389180779457092285e+00,1.239098668098449707e+00,1.752077221870422363e+00,-1.033721566200256348e+00,1.697162628173828125e+00
