joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6
7.637184858322143555e-01,1.199808716773986816e-02,1.302346467971801758e+00,1.239213824272155762e+00,1.677546977996826172e+00,-9.690576195716857910e-01,1.628325462341308594e+00
7.539997100830078125e-01,2.230572327971458435e-02,1.301421761512756348e+00,1.235974669456481934e+00,1.682893753051757812e+00,-9.741253256797790527e-01,1.629703283309936523e+00
7.521289587020874023e-01,2.563605830073356628e-02,1.301159143447875977e+00,1.234188795089721680e+00,1.683146595954895020e+00,-9.740710258483886719e-01,1.629807949066162109e+00
7.517685294151306152e-01,2.641065791249275208e-02,1.300612568855285645e+00,1.233873367309570312e+00,1.683146357536315918e+00,-9.740146398544311523e-01,1.629818201065063477e+00
7.516406774520874023e-01,2.646388486027717590e-02,1.300502657890319824e+00,1.233762741088867188e+00,1.683123946189880371e+00,-9.740146994590759277e-01,1.629809617996215820e+00
7.515327930450439453e-01,2.636688947677612305e-02,1.300686120986938477e+00,1.233639717102050781e+00,1.683108329772949219e+00,-9.740295410156250000e-01,1.629800438880920410e+00
7.514173984527587891e-01,2.624510601162910461e-02,1.300993919372558594e+00,1.233499407768249512e+00,1.683099150657653809e+00,-9.740443229675292969e-01,1.629792690277099609e+00
7.512964606285095215e-01,2.611676231026649475e-02,1.301339626312255859e+00,1.233353137969970703e+00,1.683092117309570312e+00,-9.740560054779052734e-01,1.629785656929016113e+00
7.511739134788513184e-01,2.598216757178306580e-02,1.301704406738281250e+00,1.233197569847106934e+00,1.683086395263671875e+00,-9.740703701972961426e-01,1.629779458045959473e+00
7.510535717010498047e-01,2.583226561546325684e-02,1.302060961723327637e+00,1.233045220375061035e+00,1.683080554008483887e+00,-9.740855097770690918e-01,1.629773378372192383e+00
7.509321570396423340e-01,2.567005157470703125e-02,1.302420854568481445e+00,1.232883095741271973e+00,1.683074951171875000e+00,-9.741033315658569336e-01,1.629767894744873047e+00
7.508113980293273926e-01,2.549004927277565002e-02,1.302763342857360840e+00,1.232723593711853027e+00,1.683068156242370605e+00,-9.741209149360656738e-01,1.629762291908264160e+00
7.506918907165527344e-01,2.529093995690345764e-02,1.303097605705261230e+00,1.232560992240905762e+00,1.683060765266418457e+00,-9.741416573524475098e-01,1.629756808280944824e+00
7.505735158920288086e-01,2.507866919040679932e-02,1.303434133529663086e+00,1.232390761375427246e+00,1.683054089546203613e+00,-9.741660952568054199e-01,1.629751563072204590e+00
