pos_X,pos_Y,pos_Z
3.247829973697662354e-01,-3.288125693798065186e-01,8.985704183578491211e-01
3.247829973697662354e-01,-3.288125991821289062e-01,8.985703587532043457e-01
3.247830867767333984e-01,-3.288125097751617432e-01,8.985704183578491211e-01
3.247829973697662354e-01,-3.288125991821289062e-01,8.985703587532043457e-01
3.247830867767333984e-01,-3.288125097751617432e-01,8.985702991485595703e-01
3.248194754123687744e-01,-3.287765979766845703e-01,8.985434770584106445e-01
3.248194754123687744e-01,-3.287765979766845703e-01,8.985434770584106445e-01
3.250640034675598145e-01,-3.285013735294342041e-01,8.983932137489318848e-01
3.256793916225433350e-01,-3.276890516281127930e-01,8.981629610061645508e-01
3.265510499477386475e-01,-3.262947797775268555e-01,8.980277776718139648e-01
3.275379240512847900e-01,-3.244033753871917725e-01,8.980581760406494141e-01
3.286160826683044434e-01,-3.220266401767730713e-01,8.983255028724670410e-01
3.297418057918548584e-01,-3.193094432353973389e-01,8.987519741058349609e-01
3.308182060718536377e-01,-3.164359331130981445e-01,8.993152976036071777e-01
3.317089676856994629e-01,-3.135094046592712402e-01,9.001691341400146484e-01
3.323830068111419678e-01,-3.105380237102508545e-01,9.014320969581604004e-01
3.329546153545379639e-01,-3.073843419551849365e-01,9.030296206474304199e-01
3.334229886531829834e-01,-3.040743470191955566e-01,9.049074649810791016e-01
3.335624635219573975e-01,-3.008741438388824463e-01,9.070293307304382324e-01
3.333664238452911377e-01,-2.977376282215118408e-01,9.093992114067077637e-01
3.329779207706451416e-01,-2.945173382759094238e-01,9.120422005653381348e-01
3.325373232364654541e-01,-2.911421656608581543e-01,9.149039387702941895e-01
3.319578170776367188e-01,-2.877238690853118896e-01,9.178685545921325684e-01
3.302677273750305176e-01,-2.809618413448333740e-01,9.241323471069335938e-01
3.302677273750305176e-01,-2.809618413448333740e-01,9.241323471069335938e-01
3.292856514453887939e-01,-2.775818705558776855e-01,9.273135066032409668e-01
3.282345235347747803e-01,-2.740893363952636719e-01,9.305844306945800781e-01
3.270290493965148926e-01,-2.706673145294189453e-01,9.338594675064086914e-01
3.256629705429077148e-01,-2.673824131488800049e-01,9.371846318244934082e-01
3.224312365055084229e-01,-2.614753544330596924e-01,9.440424442291259766e-01
3.208616673946380615e-01,-2.589144110679626465e-01,9.476056098937988281e-01
3.208616673946380615e-01,-2.589144110679626465e-01,9.476056098937988281e-01
3.175149857997894287e-01,-2.553337812423706055e-01,9.552201628684997559e-01
3.156159222126007080e-01,-2.543622851371765137e-01,9.591422080993652344e-01
3.156159222126007080e-01,-2.543622851371765137e-01,9.591422080993652344e-01
3.137687146663665771e-01,-2.536346018314361572e-01,9.629802107810974121e-01
3.119252026081085205e-01,-2.533299326896667480e-01,9.665392041206359863e-01
3.101069033145904541e-01,-2.534761726856231689e-01,9.697896838188171387e-01
3.070390522480010986e-01,-2.546974122524261475e-01,9.751498699188232422e-01
3.070390522480010986e-01,-2.546974122524261475e-01,9.751498699188232422e-01
3.057827651500701904e-01,-2.559601366519927979e-01,9.770194888114929199e-01
3.047561645507812500e-01,-2.574986815452575684e-01,9.784352779388427734e-01
3.037898540496826172e-01,-2.594156563282012939e-01,9.794886708259582520e-01
3.027897179126739502e-01,-2.617369294166564941e-01,9.802117347717285156e-01
3.018110990524291992e-01,-2.642884850502014160e-01,9.807065725326538086e-01
3.009126484394073486e-01,-2.669564187526702881e-01,9.810161590576171875e-01
2.998373508453369141e-01,-2.700161635875701904e-01,9.811657667160034180e-01
2.986434400081634521e-01,-2.733516395092010498e-01,9.811775088310241699e-01
2.975557148456573486e-01,-2.766613066196441650e-01,9.810969233512878418e-01
2.964619398117065430e-01,-2.800887525081634521e-01,9.808828234672546387e-01
2.953322231769561768e-01,-2.837982475757598877e-01,9.804280996322631836e-01
2.943171858787536621e-01,-2.874648571014404297e-01,9.798369407653808594e-01
2.934058904647827148e-01,-2.911356389522552490e-01,9.790873527526855469e-01
2.923675477504730225e-01,-2.950907945632934570e-01,9.781718254089355469e-01
2.913402020931243896e-01,-2.990883588790893555e-01,9.771308302879333496e-01
2.904261946678161621e-01,-3.030339181423187256e-01,9.759838581085205078e-01
2.894890010356903076e-01,-3.071380257606506348e-01,9.746628403663635254e-01
2.884754240512847900e-01,-3.113411664962768555e-01,9.732440710067749023e-01
2.875270843505859375e-01,-3.154995441436767578e-01,9.717382788658142090e-01
