pure_target_joint_0,pure_target_joint_1,pure_target_joint_2,pure_target_joint_3,pure_target_joint_4,pure_target_joint_5,pure_target_joint_6,target_joint_0,target_joint_1,target_joint_2,target_joint_3,target_joint_4,target_joint_5,target_joint_6,pos_joint_0,pos_joint_1,pos_joint_2,pos_joint_3,pos_joint_4,pos_joint_5,pos_joint_6,vel_joint_0,vel_joint_1,vel_joint_2,vel_joint_3,vel_joint_4,vel_joint_5,vel_joint_6,vel_smooth_joint_0,vel_smooth_joint_1,vel_smooth_joint_2,vel_smooth_joint_3,vel_smooth_joint_4,vel_smooth_joint_5,vel_smooth_joint_6,ee_pos_x,ee_pos_y,ee_pos_z,ee_or_w,ee_or_x,ee_or_y,ee_or_z,ee_vel_x,ee_vel_y,ee_vel_z,ball_pos_x,ball_pos_y,ball_pos_z,ball_raw_vx,ball_raw_vy,ball_raw_vz,ball_ema_vx,ball_ema_vy,ball_ema_vz,action_0,action_1,action_2,action_3,action_4,action_5,action_6,command_published
1.82731,-1.01279,-1.83735,-1.04155,1.96577,1.16431,-0.879844,1.82731,-1.01279,-1.83735,-1.04155,1.96577,1.16431,-0.879844,1.78132,-1.07409,-1.82005,-1.12073,1.93739,1.11233,-0.916321,0,0,0,-1.19776e-05,3.83284e-05,-2.39552e-05,0,0,0,0,-1.19776e-05,3.83284e-05,-2.39552e-05,0,0.538535,-0.456664,0.694826,0.572289,0.182879,0.152164,0.784785,-1.42037e-05,-1.57991e-05,-5.54567e-07,0.685034,0.00101487,0.0105841,0.000288599,0.000228627,-0.000883835,0.000288599,0.000228627,-0.000883835,0.45993,0.613059,-0.173024,0.791864,0.283817,0.519833,0.36477,1
1.82731,-1.01279,-1.83735,-1.04155,1.96577,1.16431,-0.879844,1.82731,-1.01279,-1.83735,-1.04155,1.96577,1.16431,-0.879844,1.78132,-1.07409,-1.82005,-1.12073,1.93739,1.11233,-0.916321,0,0,0,-1.19776e-05,3.83284e-05,-2.39552e-05,0,0,0,0,-1.19776e-05,3.83284e-05,-2.39552e-05,0,0.538535,-0.456664,0.694826,0.572289,0.182879,0.152164,0.784785,-1.42037e-05,-1.57991e-05,-5.54567e-07,0.685034,0.00101487,0.0105841,0.000288599,0.000228627,-0.000883835,0.000288599,0.000228627,-0.000883835,0.45993,0.613059,-0.173024,0.791864,0.283817,0.519833,0.36477,1
1.82731,-1.01279,-1.83735,-1.04155,1.96577,1.16431,-0.879844,1.82731,-1.01279,-1.83735,-1.04155,1.96577,1.16431,-0.879844,1.78132,-1.07409,-1.82005,-1.12073,1.93739,1.11233,-0.916321,0,0,0,-1.19776e-05,3.83284e-05,-2.39552e-05,0,0,0,0,-1.19776e-05,3.83284e-05,-2.39552e-05,0,0.538535,-0.456664,0.694826,0.572289,0.182879,0.152164,0.784785,-1.42037e-05,-1.57991e-05,-5.54567e-07,0.685034,0.00101487,0.0105841,0.000288599,0.000228627,-0.000883835,0.000288599,0.000228627,-0.000883835,0.45993,0.613059,-0.173024,0.791864,0.283817,0.519833,0.36477,1
1.82364,-1.01092,-1.83384,-1.04117,1.96419,1.16469,-0.881757,1.82364,-1.01092,-1.83384,-1.04117,1.96419,1.16469,-0.881757,1.78132,-1.07409,-1.82005,-1.12073,1.93739,1.11233,-0.916321,1.19776e-05,0,1.19776e-05,0,-1.91642e-05,-3.59547e-05,-2.39771e-05,1.19776e-05,0,1.19776e-05,0,-1.91642e-05,-3.59547e-05,-2.39771e-05,0.538535,-0.456664,0.694826,0.572289,0.182878,0.152165,0.784784,9.36925e-06,8.88481e-06,1.96316e-06,0.685031,0.00101913,0.0105774,-0.0137263,0.0104309,-0.0283677,-0.0137263,0.0104309,-0.0283677,0.423207,0.631734,-0.137887,0.795668,0.267999,0.523667,0.345639,1
1.81913,-1.00875,-1.82643,-1.04083,1.96368,1.16512,-0.883578,1.81913,-1.00875,-1.82643,-1.04083,1.96368,1.16512,-0.883578,1.78132,-1.07409,-1.82005,-1.12073,1.93739,1.11233,-0.916321,-5.99289e-05,0,0,0,-3.83266e-05,-3.5953e-05,0,-5.99289e-05,0,0,0,-3.83266e-05,-3.5953e-05,0,0.538535,-0.456664,0.694826,0.572289,0.182879,0.152165,0.784784,-2.2402e-05,-2.82814e-05,-2.71558e-06,0.685027,0.00100775,0.0105866,1.35867e-05,-0.00146728,-0.00036684,1.35867e-05,-0.00146728,-0.00036684,0.378137,0.65339,-0.0637966,0.798988,0.262928,0.52796,0.32743,1
1.81259,-1.00717,-1.82375,-1.04069,1.96241,1.16581,-0.884599,1.81259,-1.00717,-1.82375,-1.04069,1.96241,1.16581,-0.884599,1.78131,-1.0741,-1.82004,-1.12078,1.93738,1.11233,-0.916321,-0.00045539,-0.00130624,0.000731014,-0.00937144,-0.00187908,-0.000287602,-8.39048e-05,-0.00045539,-0.00130624,0.000731014,-0.00937144,-0.00187908,-0.000287602,-8.39048e-05,0.538543,-0.456645,0.694815,0.57227,0.182885,0.152173,0.784795,0.00139658,0.00305551,-0.00274961,0.685026,0.00101432,0.010597,-4.10636e-05,0.000645985,0.00102073,-4.10636e-05,0.000645985,0.00102073,0.312768,0.669301,-0.0371164,0.800931,0.250309,0.534873,0.317227,1
1.7905,-1.00585,-1.8223,-1.03986,1.96064,1.16683,-0.886897,1.7905,-1.00585,-1.8223,-1.03986,1.96064,1.16683,-0.886897,1.78101,-1.07413,-1.8198,-1.12031,1.93734,1.11232,-0.916343,-0.0488346,-0.00476961,0.0241237,0.0861287,-0.00266523,-0.000491343,-0.00411051,-0.0488346,-0.00476961,0.0241237,0.0861287,-0.00266523,-0.000491343,-0.00411051,0.538302,-0.456945,0.695006,0.572547,0.182754,0.15201,0.784655,-0.0365177,-0.0525555,0.0263901,0.685028,0.00101277,0.0105854,0.000140555,-0.000152348,-0.00114201,0.000140555,-0.000152348,-0.00114201,0.0949204,0.682774,-0.0250263,0.80445,0.232975,0.545052,0.29446,1
1.76173,-1.00465,-1.81777,-1.03756,1.9599,1.16714,-0.890186,1.76173,-1.00465,-1.81777,-1.03756,1.9599,1.16714,-0.890186,1.78071,-1.07423,-1.8197,-1.11833,1.93738,1.11235,-0.916532,-0.00406258,-0.0080652,0.0124513,0.237881,0.00805322,0.00377493,-0.0290611,-0.00406258,-0.0080652,0.0124513,0.237881,0.00805322,0.00377493,-0.0290611,0.537802,-0.457866,0.695484,0.573478,0.182418,0.151594,0.784134,-0.0400086,-0.0879755,0.0569183,0.685034,0.00100336,0.010587,0.000659369,-0.000945958,0.000167839,0.000659369,-0.000945958,0.000167839,-0.189804,0.695761,0.0193368,0.807689,0.225204,0.547898,0.263454,1
1.74501,-1.00316,-1.8113,-1.03368,1.96008,1.16741,-0.894598,1.74501,-1.00316,-1.8113,-1.03368,1.96008,1.16741,-0.894598,1.78116,-1.07413,-1.81964,-1.11463,1.93792,1.1124,-0.917581,0.0542873,0.0129786,0.00215711,0.41063,0.0736486,0.00164182,-0.122883,0.0542873,0.0129786,0.00215711,0.41063,0.0736486,0.00164182,-0.122883,0.537297,-0.459029,0.696504,0.575098,0.181666,0.150877,0.783259,-0.0437879,-0.122254,0.107259,0.68502,0.00100827,0.010592,-0.00117966,0.000416772,0.000425287,-0.00117966,0.000416772,0.000425287,-0.361507,0.709758,0.0833789,0.809502,0.221578,0.550038,0.22983,1
1.73487,-1.0015,-1.80408,-1.02868,1.96218,1.16889,-0.899068,1.73487,-1.0015,-1.80408,-1.02868,1.96218,1.16889,-0.899068,1.78189,-1.07377,-1.81936,-1.10978,1.93913,1.11249,-0.919613,0.0677453,0.0509558,0.0433699,0.530793,0.146204,0.0113009,-0.246714,0.0677453,0.0509558,0.0433699,0.530793,0.146204,0.0113009,-0.246714,0.536621,-0.460435,0.698069,0.577392,0.180538,0.149799,0.782039,-0.0655245,-0.145877,0.173653,0.684979,0.00103598,0.0105933,-0.00466058,0.00312681,0.000147955,-0.00466058,0.00312681,0.000147955,-0.470215,0.722724,0.152806,0.810948,0.230508,0.564058,0.205451,1
