pure_target_joint_0,pure_target_joint_1,pure_target_joint_2,pure_target_joint_3,pure_target_joint_4,pure_target_joint_5,pure_target_joint_6,target_joint_0,target_joint_1,target_joint_2,target_joint_3,target_joint_4,target_joint_5,target_joint_6,pos_joint_0,pos_joint_1,pos_joint_2,pos_joint_3,pos_joint_4,pos_joint_5,pos_joint_6,vel_joint_0,vel_joint_1,vel_joint_2,vel_joint_3,vel_joint_4,vel_joint_5,vel_joint_6,vel_smooth_joint_0,vel_smooth_joint_1,vel_smooth_joint_2,vel_smooth_joint_3,vel_smooth_joint_4,vel_smooth_joint_5,vel_smooth_joint_6,ee_pos_x,ee_pos_y,ee_pos_z,ee_or_w,ee_or_x,ee_or_y,ee_or_z,ee_vel_x,ee_vel_y,ee_vel_z,ball_pos_x,ball_pos_y,ball_pos_z,ball_raw_vx,ball_raw_vy,ball_raw_vz,ball_ema_vx,ball_ema_vy,ball_ema_vz,action_0,action_1,action_2,action_3,action_4,action_5,action_6,command_published
1.81321,-1.07405,-1.81213,-1.05929,2.00005,1.16553,-0.853835,1.81321,-1.07405,-1.81213,-1.05929,2.00005,1.16553,-0.853835,1.78023,-1.0647,-1.8151,-1.11709,1.93725,1.11689,-0.916362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.531054,-0.454428,0.694259,0.57454,0.175183,0.152591,0.784813,0,0,0,2.97765,-0.492444,0.205806,-3.13785,-0.0694436,5.15391,-3.28054,-0.0668448,4.17131,0.329876,-0.0934999,0.0297014,0.577988,0.627998,0.486367,0.625266,1
1.75677,-1.05203,-1.82802,-1.05898,1.99337,1.16597,-0.852077,1.75677,-1.05203,-1.82802,-1.05898,1.99337,1.16597,-0.852077,1.78023,-1.0647,-1.8151,-1.11709,1.93725,1.11689,-0.916362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.531054,-0.454428,0.694259,0.57454,0.175183,0.152591,0.784813,0,0,0,2.94561,-0.493427,0.257991,-3.19291,-0.0980461,5.20079,-3.23852,-0.0737941,4.54716,-0.234597,0.126691,-0.129169,0.581021,0.561182,0.49076,0.642845,1
1.80606,-0.999207,-1.75146,-1.10882,2.00053,1.17964,-0.850601,1.80606,-0.999207,-1.75146,-1.10882,2.00053,1.17964,-0.850601,1.7837,-1.06568,-1.81479,-1.11101,1.94385,1.12201,-0.909786,0.693817,-0.196653,0.0624697,1.21566,1.32085,1.02296,1.3151,0.693817,-0.196653,0.0624697,1.21566,1.32085,1.02296,1.3151,0.530564,-0.455737,0.695882,0.572436,0.173233,0.147184,0.78781,-0.0215685,-0.221071,0.282458,2.91386,-0.494111,0.311119,-3.27114,-0.0704589,5.47392,-3.18603,-0.0764257,4.82551,0.22369,0.664769,0.633301,0.0218431,0.566754,0.576316,0.591848,1
1.73151,-1.00653,-1.76499,-1.08549,2.01076,1.16311,-0.832155,1.73151,-1.00653,-1.76499,-1.08549,2.01076,1.16311,-0.832155,1.78364,-1.06504,-1.81593,-1.10067,1.95435,1.13073,-0.898452,-0.631641,0.305637,-0.284111,0.979759,0.917074,0.828321,1.08997,-0.631641,0.305637,-0.284111,0.979759,0.917074,0.828321,1.08997,0.526961,-0.460504,0.699263,0.571634,0.169815,0.139041,0.79061,-0.581442,-0.683975,0.363884,2.88338,-0.493915,0.365232,-3.02834,0.0194822,5.37692,-3.13803,-0.0597161,5.00163,-0.521346,0.585087,0.50944,0.151765,0.564156,0.323839,0.662971,1
1.8138,-0.995539,-1.7504,-1.07289,2.02294,1.1986,-0.843294,1.8138,-0.995539,-1.7504,-1.07289,2.02294,1.1986,-0.843294,1.78347,-1.05689,-1.81029,-1.0976,1.96288,1.13919,-0.889056,0.531034,1.35572,1.38267,-0.263682,0.884951,0.950778,0.903816,0.531034,1.35572,1.38267,-0.263682,0.884951,0.950778,0.903816,0.523571,-0.458459,0.70741,0.56865,0.162424,0.133816,0.795204,-0.0123081,1.00207,1.23114,2.85277,-0.494023,0.418787,-2.95826,-0.0104045,5.17489,-3.11983,-0.0364625,5.08203,0.303276,0.613502,0.598863,0.247106,0.600669,0.594091,0.457626,1
1.72985,-0.976723,-1.75423,-1.05708,2.02377,1.19752,-0.821881,1.72985,-0.976723,-1.75423,-1.05708,2.02377,1.19752,-0.821881,1.78013,-1.04617,-1.79999,-1.09739,1.97146,1.14551,-0.879454,-1.14286,0.931631,0.822658,0.279533,0.923879,0.413687,1.11167,-1.14286,0.931631,0.822658,0.279533,0.923879,0.413687,1.11167,0.51891,-0.455268,0.717742,0.565089,0.154326,0.1287,0.800184,-0.760037,-0.286781,0.898237,2.82261,-0.494332,0.471664,-3.01133,-0.0309175,5.2797,-3.07092,-0.017218,5.10014,-0.502828,0.694422,0.457617,0.403039,0.523142,0.520109,0.575728,1
1.80671,-0.973708,-1.73417,-1.05321,2.03347,1.21715,-0.820417,1.80671,-0.973708,-1.73417,-1.05321,2.03347,1.21715,-0.820417,1.7791,-1.03711,-1.79148,-1.09369,1.98057,1.15275,-0.8712,0.815599,0.977083,0.965472,0.488815,0.995937,1.07757,0.655899,0.815599,0.977083,0.965472,0.488815,0.995937,1.07757,0.655899,0.514702,-0.452978,0.727331,0.562425,0.146097,0.122963,0.804496,0.00198296,0.695343,1.04393,2.79296,-0.49425,0.524157,-2.97767,0.00824305,5.2719,-3.02574,-0.00695705,5.07507,0.276148,0.634027,0.573128,0.404775,0.528965,0.643992,0.507833,1
1.72521,-0.956959,-1.74077,-1.03963,2.03515,1.21298,-0.803035,1.72521,-0.956959,-1.74077,-1.03963,2.03515,1.21298,-0.803035,1.77718,-1.02685,-1.7837,-1.08788,1.9891,1.16177,-0.863388,-1.1125,1.17812,0.692647,0.723951,0.814864,0.840227,0.975546,-1.1125,1.17812,0.692647,0.723951,0.814864,0.840227,0.975546,0.50934,-0.451249,0.737833,0.56123,0.136288,0.117571,0.807851,-0.88752,-0.300778,1.09534,2.76301,-0.494054,0.576119,-2.89507,0.0189489,5.02187,-3.00566,-0.00505924,5.02143,-0.51973,0.698892,0.429265,0.482522,0.460473,0.51211,0.603525,1
1.79614,-0.949388,-1.71717,-1.03823,2.05402,1.23284,-0.806974,1.79614,-0.949388,-1.71717,-1.03823,2.05402,1.23284,-0.806974,1.77583,-1.01654,-1.77572,-1.08134,1.99703,1.17096,-0.854963,0.725717,1.00676,0.976512,0.661055,0.85641,1.0856,0.811945,0.725717,1.00676,0.976512,0.661055,0.85641,1.0856,0.811945,0.503976,-0.449187,0.748488,0.559689,0.126021,0.112362,0.811321,-0.0894745,0.640399,1.08127,2.73285,-0.494338,0.626523,-3.05059,-0.0287157,5.0988,-2.99445,-0.00352621,4.94927,0.203087,0.671553,0.585442,0.431102,0.569913,0.618845,0.479892,1
1.71832,-0.935835,-1.72591,-1.02628,2.05084,1.22955,-0.785707,1.71832,-0.935835,-1.72591,-1.02628,2.05084,1.22955,-0.785707,1.77342,-1.00625,-1.76813,-1.07431,2.00447,1.17972,-0.846252,-1.133,1.15841,0.643053,0.814975,0.72112,0.781667,1.01572,-1.133,1.15841,0.643053,0.814975,0.72112,0.781667,1.01572,0.498069,-0.447708,0.75897,0.558585,0.11592,0.107466,0.814246,-0.912778,-0.308476,1.06776,2.70282,-0.494916,0.675508,-3.09687,-0.0596301,5.05083,-2.99703,-0.0125593,4.85053,-0.550975,0.704112,0.422223,0.480297,0.463726,0.498279,0.605444,1
