pure_target_joint_0,pure_target_joint_1,pure_target_joint_2,pure_target_joint_3,pure_target_joint_4,pure_target_joint_5,pure_target_joint_6,target_joint_0,target_joint_1,target_joint_2,target_joint_3,target_joint_4,target_joint_5,target_joint_6,pos_joint_0,pos_joint_1,pos_joint_2,pos_joint_3,pos_joint_4,pos_joint_5,pos_joint_6,vel_joint_0,vel_joint_1,vel_joint_2,vel_joint_3,vel_joint_4,vel_joint_5,vel_joint_6,vel_smooth_joint_0,vel_smooth_joint_1,vel_smooth_joint_2,vel_smooth_joint_3,vel_smooth_joint_4,vel_smooth_joint_5,vel_smooth_joint_6,ee_pos_x,ee_pos_y,ee_pos_z,ee_or_w,ee_or_x,ee_or_y,ee_or_z,eep_vel_x,eep_vel_y,eep_vel_z,ee_vel_offset_x,ee_vel_offset_y,ee_vel_offset_z,ball_pos_x,ball_pos_y,ball_pos_z,ball_raw_vx,ball_raw_vy,ball_raw_vz,ball_ema_vx,ball_ema_vy,ball_ema_vz,action_0,action_1,action_2,action_3,action_4,action_5,action_6,command_published
1.83001,-1.06439,-1.77092,-1.05883,2.00246,1.19033,-0.988559,1.83001,-1.06439,-1.77092,-1.05883,2.00246,1.19033,-0.988559,1.78074,-1.07184,-1.81516,-1.1191,1.93712,1.11686,-0.916321,1.19776e-05,0,0,-1.19776e-05,0,0,0,1.19776e-05,0,0,-1.19776e-05,0,0,0,0.533427,-0.455777,0.692211,0.572833,0.178101,0.150731,0.785763,7.35971e-06,1.04187e-05,-2.8445e-06,7.57624e-06,1.08161e-05,-2.96911e-06,2.97142,-0.523348,0.255575,-3.3752,-0.123984,4.84571,-3.3752,-0.0406421,4.84571,0.492681,0.0745576,0.442461,0.60275,0.653435,0.734669,-0.722377,1
1.83123,-1.07158,-1.76806,-1.05708,2.00355,1.18921,-0.987299,1.83123,-1.07158,-1.76806,-1.05708,2.00355,1.18921,-0.987299,1.78074,-1.07184,-1.81516,-1.1191,1.93712,1.11686,-0.916321,2.39771e-05,0,3.59547e-05,0,0,2.39771e-05,3.59547e-05,2.39771e-05,0,3.59547e-05,0,0,2.39771e-05,3.59547e-05,0.533427,-0.455777,0.692211,0.572833,0.178101,0.150731,0.785763,6.69177e-06,2.00948e-05,1.40661e-05,4.41043e-06,2.10724e-05,1.51887e-05,2.9386,-0.524384,0.304899,-3.28238,-0.103611,4.93239,-3.28238,-0.0620904,4.93239,0.50488,0.0026365,0.471012,0.620171,0.664249,0.723461,-0.709785,1
1.83239,-1.05743,-1.76641,-1.05463,2.00127,1.18917,-0.986128,1.83239,-1.05743,-1.76641,-1.05463,2.00127,1.18917,-0.986128,1.78075,-1.07183,-1.81516,-1.11913,1.93712,1.11686,-0.916321,0.00140219,0.00156998,0.000191751,-0.0059683,-0.000153418,-8.3887e-05,3.59547e-05,0.00140219,0.00156998,0.000191751,-0.0059683,-0.000153418,-8.3887e-05,3.59547e-05,0.533435,-0.455759,0.692209,0.572819,0.178103,0.150739,0.785771,0.00148218,0.00337796,-0.000486838,0.00158169,0.00354867,-0.000543668,2.90637,-0.524771,0.355325,-3.22316,-0.0386953,5.0426,-3.22316,-0.0750993,5.0426,0.516413,0.144051,0.487523,0.645043,0.641492,0.723152,-0.698075,1
1.83455,-1.06736,-1.76996,-1.05607,2.00229,1.18835,-0.985037,1.83455,-1.06736,-1.76996,-1.05607,2.00229,1.18835,-0.985037,1.78089,-1.07176,-1.81527,-1.11964,1.93685,1.11651,-0.915913,0.0168742,0.00922809,-0.0111216,-0.0594552,-0.0416103,-0.0490287,0.0602702,0.0168742,0.00922809,-0.0111216,-0.0594552,-0.0416103,-0.0490287,0.0602702,0.533656,-0.455474,0.692046,0.572441,0.178344,0.151026,0.785937,0.0235532,0.0329163,-0.0164116,0.0274437,0.035189,-0.0184759,2.87459,-0.525159,0.40498,-3.17795,-0.0388026,4.96555,-3.17795,-0.0774877,4.96555,0.536673,0.0440538,0.453128,0.635752,0.654421,0.71839,-0.691235,1
1.77088,-1.04927,-1.77309,-1.04848,1.99951,1.18926,-0.987863,1.77088,-1.04927,-1.77309,-1.04848,1.99951,1.18926,-0.987863,1.78088,-1.07138,-1.81396,-1.11893,1.93866,1.11839,-0.918089,-0.00940784,0.0423293,0.198464,0.129804,0.322815,0.32828,-0.383037,-0.00940784,0.0423293,0.198464,0.129804,0.322815,0.32828,-0.383037,0.533032,-0.455508,0.693114,0.573347,0.1769,0.149777,0.785841,-0.0827466,-0.0211014,0.148615,-0.109698,-0.0281053,0.162452,2.8421,-0.525919,0.452917,-3.24917,-0.0760317,4.79373,-3.24917,-0.0762446,4.79373,-0.100038,0.221086,0.408714,0.704585,0.608559,0.708643,-0.697742,1
1.73882,-1.04709,-1.74976,-1.04432,2.01478,1.18959,-1.00002,1.73882,-1.04709,-1.74976,-1.04432,2.01478,1.18959,-1.00002,1.78096,-1.07193,-1.80995,-1.11561,1.9484,1.12749,-0.92915,0.00793357,-0.0549777,0.400591,0.332616,0.97498,0.909675,-1.10613,0.00793357,-0.0549777,0.400591,0.332616,0.97498,0.909675,-1.10613,0.530396,-0.457012,0.696028,0.577864,0.171717,0.143169,0.784914,-0.392769,-0.244166,0.50926,-0.530547,-0.3028,0.577568,2.81112,-0.526689,0.499639,-3.09758,-0.0769675,4.67213,-3.09758,-0.0702162,4.67213,-0.42137,0.248429,0.60191,0.712862,0.663714,0.62101,-0.708739,1
1.70714,-1.03817,-1.73677,-1.03181,2.0237,1.2056,-1.01957,1.70714,-1.03817,-1.73677,-1.03181,2.0237,1.2056,-1.01957,1.78274,-1.07446,-1.80326,-1.10849,1.96479,1.14239,-0.946729,0.240781,-0.297564,0.731487,0.814636,1.73407,1.56203,-1.83061,0.240781,-0.297564,0.731487,0.814636,1.73407,1.56203,-1.83061,0.526549,-0.459874,0.700237,0.584813,0.163611,0.131249,0.783581,-0.270828,-0.247475,0.385065,-0.396539,-0.308241,0.442522,2.78021,-0.527226,0.546265,-3.09157,-0.0537276,4.66266,-3.09157,-0.0621191,4.66266,-0.756022,0.362938,0.664932,0.766771,0.589172,0.632071,-0.728452,1
1.70705,-1.04196,-1.73582,-1.01948,2.03244,1.21738,-1.03684,1.70705,-1.04196,-1.73582,-1.01948,2.03244,1.21738,-1.03684,1.787,-1.07812,-1.79539,-1.09776,1.98157,1.15768,-0.963824,0.476984,-0.373054,0.7835,1.15538,1.61296,1.47144,-1.63397,0.476984,-0.373054,0.7835,1.15538,1.61296,1.47144,-1.63397,0.52298,-0.463044,0.704962,0.591627,0.154868,0.117741,0.782388,-0.211174,-0.260663,0.41658,-0.34188,-0.322072,0.470615,2.7484,-0.527245,0.592585,-3.18062,-0.00190735,4.63201,-3.18062,-0.0536591,4.63201,-0.79944,0.361595,0.595625,0.782839,0.508739,0.597075,-0.730193,1
1.71158,-1.03632,-1.73587,-1.00747,2.04434,1.23219,-1.04938,1.71158,-1.03632,-1.73587,-1.00747,2.04434,1.23219,-1.04938,1.79255,-1.08095,-1.7886,-1.0854,1.99463,1.17069,-0.977449,0.575485,-0.238588,0.654619,1.25225,1.2177,1.23822,-1.28076,0.575485,-0.238588,0.654619,1.25225,1.2177,1.23822,-1.28076,0.520149,-0.465686,0.709732,0.59757,0.14663,0.106212,0.781107,-0.152629,-0.196784,0.438983,-0.268592,-0.240576,0.482727,2.71649,-0.527133,0.637818,-3.19066,0.0112176,4.52324,-3.19066,-0.0448793,4.52324,-0.809669,0.446278,0.52725,0.779256,0.497119,0.614909,-0.719297,1
1.7172,-1.03247,-1.72981,-0.995031,2.05727,1.24358,-1.0593,1.7172,-1.03247,-1.72981,-0.995031,2.05727,1.24358,-1.0593,1.79814,-1.08121,-1.78163,-1.07261,2.00516,1.18142,-0.98867,0.527653,0.0389478,0.723351,1.27108,1.01099,1.03275,-1.08573,0.527653,0.0389478,0.723351,1.27108,1.01099,1.03275,-1.08573,0.517398,-0.467293,0.715787,0.602942,0.138209,0.0965439,0.779768,-0.181704,-0.114688,0.601049,-0.29331,-0.143162,0.639845,2.68479,-0.5273,0.681922,-3.17068,-0.0166893,4.41043,-3.17068,-0.0335972,4.41043,-0.809336,0.487339,0.518193,0.775761,0.521042,0.621608,-0.706344,1
