pure_target_joint_0,pure_target_joint_1,pure_target_joint_2,pure_target_joint_3,pure_target_joint_4,pure_target_joint_5,pure_target_joint_6,target_joint_0,target_joint_1,target_joint_2,target_joint_3,target_joint_4,target_joint_5,target_joint_6,pos_joint_0,pos_joint_1,pos_joint_2,pos_joint_3,pos_joint_4,pos_joint_5,pos_joint_6,vel_joint_0,vel_joint_1,vel_joint_2,vel_joint_3,vel_joint_4,vel_joint_5,vel_joint_6,vel_smooth_joint_0,vel_smooth_joint_1,vel_smooth_joint_2,vel_smooth_joint_3,vel_smooth_joint_4,vel_smooth_joint_5,vel_smooth_joint_6,ee_pos_x,ee_pos_y,ee_pos_z,ee_or_w,ee_or_x,ee_or_y,ee_or_z,ee_vel_x,ee_vel_y,ee_vel_z,ee_vel_offset_x,ee_vel_offset_y,ee_vel_offset_z,ball_pos_x,ball_pos_y,ball_pos_z,ball_raw_vx,ball_raw_vy,ball_raw_vz,ball_ema_vx,ball_ema_vy,ball_ema_vz,action_0,action_1,action_2,action_3,action_4,action_5,action_6,command_published
1.70944,-1.01149,-1.83533,-1.16303,1.93398,1.16149,-0.948808,1.70944,-1.01149,-1.83533,-1.16303,1.93398,1.16149,-0.948808,1.78085,-1.07169,-1.81507,-1.11938,1.93711,1.11684,-0.916279,0,0,2.39541e-05,-1.1977e-05,0,0,0,0,0,2.39541e-05,-1.1977e-05,0,0,0,0.53351,-0.455545,0.692262,0.572668,0.178067,0.150812,0.785874,7.27743e-07,8.79484e-06,5.69191e-06,9.25113e-08,8.99986e-06,6.00695e-06,-0.138067,-0.167,-0.0784498,0.000673532,1.19209e-05,-0.000792742,0.000673532,0.000465555,-0.000792742,-0.714066,0.601973,-0.202584,-0.436462,-0.0313149,0.446557,-0.325299,1
1.70795,-1.00492,-1.83645,-1.17683,1.98043,1.17208,-0.95519,1.70795,-1.00492,-1.83645,-1.17683,1.98043,1.17208,-0.95519,1.78085,-1.07169,-1.81507,-1.11938,1.93711,1.11684,-0.916279,3.59547e-05,0,-1.19776e-05,-4.79541e-05,-1.91642e-05,0,0,3.59547e-05,0,-1.19776e-05,-4.79541e-05,-1.91642e-05,0,0,0.53351,-0.455545,0.692262,0.572668,0.178067,0.150812,0.785875,2.51748e-05,3.53497e-05,-1.60568e-05,2.67287e-05,3.74105e-05,-1.69226e-05,-0.138067,-0.167,-0.0784498,0.000673532,1.19209e-05,-0.000792742,0.000673532,0.000465555,-0.000792742,-0.729022,0.667655,-0.213789,-0.574506,0.433128,0.552455,-0.389118,1
1.7227,-1.00432,-1.81329,-1.15948,1.98735,1.19075,-0.944614,1.7227,-1.00432,-1.81329,-1.15948,1.98735,1.19075,-0.944614,1.78085,-1.07169,-1.81507,-1.11938,1.93711,1.11684,-0.916279,3.59547e-05,0,-1.19776e-05,-4.79541e-05,-1.91642e-05,0,0,3.59547e-05,0,-1.19776e-05,-4.79541e-05,-1.91642e-05,0,0,0.53351,-0.455545,0.692262,0.572668,0.178067,0.150812,0.785875,2.85679e-05,5.96793e-05,2.38698e-05,2.74667e-05,6.38271e-05,2.42751e-05,-0.138067,-0.167,-0.0784498,0.000673532,1.19209e-05,-0.000792742,0.000673532,0.000465555,-0.000792742,-0.581543,0.673661,0.0177574,-0.40095,0.50239,0.73914,-0.283354,1
1.71807,-1.00999,-1.7945,-1.14965,2.00081,1.19003,-0.935697,1.71807,-1.00999,-1.7945,-1.14965,2.00081,1.19003,-0.935697,1.78085,-1.07169,-1.81507,-1.11938,1.93711,1.11684,-0.916279,0,1.19989e-05,-1.1977e-05,0,0,0,-3.5953e-05,0,1.19989e-05,-1.1977e-05,0,0,0,-3.5953e-05,0.533511,-0.455543,0.692262,0.572667,0.178067,0.150813,0.785875,6.70716e-06,1.11633e-05,-4.27174e-06,6.22044e-06,1.03939e-05,-3.99595e-06,-0.138027,-0.167106,-0.078302,0.00405908,-0.0106648,0.014782,0.00405908,-0.00015891,0.014782,-0.62782,0.617012,0.205717,-0.302661,0.63697,0.731955,-0.194182,1
1.71237,-1.00954,-1.80304,-1.14515,2.00086,1.18764,-0.938919,1.71237,-1.00954,-1.80304,-1.14515,2.00086,1.18764,-0.938919,1.78085,-1.07169,-1.81507,-1.11938,1.93712,1.11684,-0.916279,0,0,1.19776e-05,-3.59547e-05,3.83633e-05,2.39771e-05,3.59547e-05,0,0,1.19776e-05,-3.59547e-05,3.83633e-05,2.39771e-05,3.59547e-05,0.533511,-0.455543,0.692262,0.572667,0.178067,0.150813,0.785875,5.19304e-06,1.74969e-05,1.24713e-05,5.43669e-06,2.02243e-05,1.22463e-05,-0.138051,-0.16703,-0.0784248,-0.0109494,0.0227466,-0.0174284,0.00853539,0.00134797,0.00514388,-0.684872,0.621444,0.120255,-0.257707,0.63746,0.707976,-0.226401,1
1.71277,-1.01185,-1.80687,-1.1304,1.99957,1.18682,-0.939415,1.71277,-1.01185,-1.80687,-1.1304,1.99957,1.18682,-0.939415,1.78085,-1.07171,-1.815,-1.11878,1.93631,1.11583,-0.91566,-0.000239705,-0.00316392,0.012356,0.103402,-0.144869,-0.176065,0.100946,-0.000239705,-0.00316392,0.012356,0.103402,-0.144869,-0.176065,0.100946,0.534255,-0.456137,0.692128,0.573506,0.179557,0.152834,0.784533,0.100207,-0.0927174,-0.0232383,0.134369,-0.0872756,-0.0410126,-0.138066,-0.166989,-0.0784457,-0.00150204,0.00413656,-0.00209212,-0.00150204,0.000642453,-0.00209212,-0.680777,0.598533,0.0812886,-0.116232,0.632586,0.709825,-0.23755,1
1.72308,-1.0101,-1.84231,-1.07275,1.98223,1.1872,-0.939491,1.72308,-1.0101,-1.84231,-1.07275,1.98223,1.1872,-0.939491,1.78319,-1.07323,-1.81507,-1.11559,1.93427,1.11146,-0.921295,0.210916,-0.102983,-0.00788581,0.0568306,0.373802,0.219485,-0.63059,0.210916,-0.102983,-0.00788581,0.0568306,0.373802,0.219485,-0.63059,0.534929,-0.456133,0.691875,0.575083,0.179472,0.152385,0.783484,0.0590718,0.0252065,-0.0271668,0.0456812,0.013713,-0.0198736,-0.137995,-0.166983,-0.0784241,0.00706315,0.000563264,0.00215769,0.00706315,0.000523084,0.00215769,-0.601085,0.631259,-0.272489,0.42839,0.479583,0.757433,-0.181958,1
1.72922,-1.01119,-1.80741,-1.08805,2.00602,1.19319,-0.923721,1.72922,-1.01119,-1.80741,-1.08805,2.00602,1.19319,-0.923721,1.78525,-1.07426,-1.81575,-1.1177,1.94614,1.1224,-0.928445,0.191992,-0.10236,-0.0916097,-0.314821,1.43375,1.38015,-0.701454,0.191992,-0.10236,-0.0916097,-0.314821,1.43375,1.38015,-0.701454,0.53425,-0.455818,0.691633,0.575707,0.17653,0.146449,0.784826,-0.0461805,0.0684133,-0.0642062,-0.107711,0.0368556,-0.0326175,-0.138115,-0.166975,-0.0784166,-0.0120163,0.000804663,0.000756979,-0.0120163,0.000745377,0.000756979,-0.560338,0.630659,0.0833782,0.296583,0.598813,0.7079,0.0472347,1
1.72533,-1.00941,-1.79908,-1.09531,2.0238,1.21045,-0.936168,1.72533,-1.00941,-1.79908,-1.09531,2.0238,1.21045,-0.936168,1.78619,-1.07472,-1.81529,-1.12355,1.96503,1.14251,-0.9343,0.0470393,-0.0265697,0.116921,-0.671085,1.9744,2.12948,-0.547046,0.0470393,-0.0265697,0.116921,-0.671085,1.9744,2.12948,-0.547046,0.531896,-0.454874,0.691998,0.574546,0.170775,0.136168,0.788791,-0.17291,0.14938,0.0103203,-0.272103,0.109801,0.0578332,-0.138091,-0.167045,-0.0784097,0.00247955,-0.00703037,0.000685453,0.00247955,0.000128789,0.000685453,-0.608675,0.653056,0.162046,0.282326,0.587711,0.679333,-0.0186723,1
1.71535,-1.00977,-1.79726,-1.10108,2.04766,1.22802,-0.947999,1.71535,-1.00977,-1.79726,-1.10108,2.04766,1.22802,-0.947999,1.78485,-1.07541,-1.81383,-1.13125,1.98193,1.16274,-0.938524,-0.188181,-0.0930958,0.133927,-0.754821,1.52754,1.90897,-0.362184,-0.188181,-0.0930958,0.133927,-0.754821,1.52754,1.90897,-0.362184,0.528797,-0.454153,0.692023,0.572976,0.165105,0.126252,0.792779,-0.228061,0.075402,-0.0643004,-0.311707,0.0414677,-0.0266785,-0.138065,-0.167155,-0.0784054,0.00259876,-0.0110015,0.000429153,0.00259876,-0.00302589,0.000429153,-0.694994,0.656368,0.165679,0.301659,0.657252,0.652792,-0.0947517,1
1.71053,-1.00893,-1.80725,-1.11306,2.06213,1.23966,-0.963035,1.71053,-1.00893,-1.80725,-1.11306,2.06213,1.23966,-0.963035,1.78263,-1.07673,-1.814,-1.13684,1.99283,1.179,-0.939565,-0.207131,-0.136641,-0.0688358,-0.472192,0.998119,1.50703,-0.0127629,-0.207131,-0.136641,-0.0688358,-0.472192,0.998119,1.50703,-0.0127629,0.525949,-0.454564,0.691153,0.571821,0.160969,0.119174,0.795555,-0.208003,-0.0449961,-0.12427,-0.267514,-0.0696116,-0.0987323,-0.138039,-0.167289,-0.0783728,0.00252724,-0.013335,0.00326633,0.00252724,-0.00418361,0.00326633,-0.72097,0.678033,0.0675588,0.237755,0.692987,0.606586,-0.234706,1
1.71418,-1.00704,-1.80692,-1.13001,2.0701,1.25392,-0.967409,1.71418,-1.00704,-1.80692,-1.13001,2.0701,1.25392,-0.967409,1.78196,-1.07733,-1.81543,-1.13831,2.00197,1.19202,-0.939285,-0.0219067,-0.0284978,-0.158536,-0.0330517,0.898125,1.23425,0.0150998,-0.0219067,-0.0284978,-0.158536,-0.0330517,0.898125,1.23425,0.0150998,0.523692,-0.455559,0.690943,0.571396,0.157401,0.113329,0.797426,-0.161548,-0.0906997,-0.0106291,-0.216091,-0.111874,0.0118354,-0.14053,-0.15868,-0.0865974,-0.2491,0.860903,-0.822461,-0.2491,0.0861984,-0.822461,-0.677793,0.702857,0.0850523,0.0829712,0.681394,0.619024,-0.281247,1
