pure_target_joint_0,pure_target_joint_1,pure_target_joint_2,pure_target_joint_3,pure_target_joint_4,pure_target_joint_5,pure_target_joint_6,target_joint_0,target_joint_1,target_joint_2,target_joint_3,target_joint_4,target_joint_5,target_joint_6,pos_joint_0,pos_joint_1,pos_joint_2,pos_joint_3,pos_joint_4,pos_joint_5,pos_joint_6,vel_joint_0,vel_joint_1,vel_joint_2,vel_joint_3,vel_joint_4,vel_joint_5,vel_joint_6,vel_smooth_joint_0,vel_smooth_joint_1,vel_smooth_joint_2,vel_smooth_joint_3,vel_smooth_joint_4,vel_smooth_joint_5,vel_smooth_joint_6,ee_pos_x,ee_pos_y,ee_pos_z,ee_or_w,ee_or_x,ee_or_y,ee_or_z,eep_vel_x,eep_vel_y,eep_vel_z,ee_vel_offset_x,ee_vel_offset_y,ee_vel_offset_z,ball_pos_x,ball_pos_y,ball_pos_z,ball_raw_vx,ball_raw_vy,ball_raw_vz,ball_ema_vx,ball_ema_vy,ball_ema_vz,action_0,action_1,action_2,action_3,action_4,action_5,action_6,command_published
1.70994,-1.01378,-1.83769,-1.16271,1.93435,1.16226,-0.948299,1.70994,-1.01378,-1.83769,-1.16271,1.93435,1.16226,-0.948299,1.78123,-1.07399,-1.81917,-1.12075,1.93723,1.11683,-0.916331,1.1977e-05,0,2.39759e-05,0,-3.83266e-05,2.39759e-05,2.39541e-05,1.1977e-05,0,2.39759e-05,0,-3.83266e-05,2.39759e-05,2.39541e-05,0.534429,-0.456426,0.689106,0.572339,0.180442,0.151408,0.785458,3.10215e-06,1.57675e-05,9.03525e-06,1.74703e-06,1.79689e-05,9.65399e-06,1.0858,-1.845,0.0576441,0.00300407,-0.00225306,0.00175834,0.00300407,0.000232884,0.00175834,-0.712879,0.602103,-0.185233,-0.419682,-0.028799,0.454303,-0.319684,1
1.70819,-1.00762,-1.83853,-1.17741,1.98224,1.17194,-0.95423,1.70819,-1.00762,-1.83853,-1.17741,1.98224,1.17194,-0.95423,1.78123,-1.07399,-1.81917,-1.12075,1.93723,1.11683,-0.916331,-1.19776e-05,2.39552e-05,-3.59547e-05,2.39771e-05,0,0,-2.39552e-05,-1.19776e-05,2.39552e-05,-3.59547e-05,2.39771e-05,0,0,-2.39552e-05,0.534429,-0.456426,0.689106,0.57234,0.180442,0.151408,0.785458,-5.14275e-06,-7.05128e-06,-1.91524e-06,-4.35998e-06,-6.88217e-06,-2.32337e-06,1.08578,-1.84497,0.0575915,-0.00194311,0.00299215,-0.00526309,-0.00194311,0.000624997,-0.00526309,-0.730329,0.663689,-0.19358,-0.566682,0.450086,0.551056,-0.378988,1
1.72172,-1.00667,-1.81523,-1.15922,1.98799,1.19063,-0.944722,1.72172,-1.00667,-1.81523,-1.15922,1.98799,1.19063,-0.944722,1.78123,-1.07399,-1.81917,-1.12075,1.93723,1.11683,-0.916331,-1.19776e-05,2.39771e-05,0,0,1.91642e-05,0,3.59547e-05,-1.19776e-05,2.39771e-05,0,0,1.91642e-05,0,3.59547e-05,0.534429,-0.456426,0.689107,0.57234,0.180442,0.151408,0.785458,-7.65947e-06,-9.67254e-07,1.37038e-05,-8.08302e-06,-1.00408e-06,1.39227e-05,1.08582,-1.84494,0.0576578,0.000298023,0.00525713,0.00495911,0.000298023,0.000387856,0.00495911,-0.595082,0.673194,0.0394004,-0.38477,0.507609,0.737954,-0.283909,1
1.71749,-1.0121,-1.79772,-1.15129,2.00131,1.18964,-0.935776,1.71749,-1.0121,-1.79772,-1.15129,2.00131,1.18964,-0.935776,1.78123,-1.07399,-1.81917,-1.12075,1.93723,1.11683,-0.916331,0,0,1.19776e-05,2.39771e-05,0,2.39771e-05,0,0,0,1.19776e-05,2.39771e-05,0,2.39771e-05,0,0.534429,-0.456426,0.689107,0.57234,0.180442,0.151408,0.785458,-6.83558e-06,-5.29022e-06,1.12432e-05,-8.67536e-06,-5.16841e-06,1.21842e-05,1.08579,-1.84499,0.057621,-0.00286102,-0.00560284,-0.00368357,-0.00286102,0.000143051,-0.00368357,-0.637357,0.618891,0.214502,-0.305457,0.640786,0.728118,-0.194453,1
1.71267,-1.01248,-1.80877,-1.14388,2.00034,1.18831,-0.939861,1.71267,-1.01248,-1.80877,-1.14388,2.00034,1.18831,-0.939861,1.78122,-1.07399,-1.81925,-1.12084,1.93731,1.11694,-0.916453,-0.00086289,-0.00127037,-0.0166825,-0.0188037,0.0162223,0.0220036,-0.0244005,-0.00086289,-0.00127037,-0.0166825,-0.0188037,0.0162223,0.0220036,-0.0244005,0.534431,-0.456417,0.689059,0.572361,0.18044,0.151403,0.785443,0.000527129,0.00199322,-0.0096318,0.000453901,0.00182451,-0.00958824,1.08578,-1.84497,0.0576299,-0.000619888,0.00234842,0.00089407,-0.000619888,0.000274607,0.00089407,-0.685566,0.615165,0.104812,-0.23041,0.630331,0.713682,-0.234077,1
1.7188,-1.00852,-1.82601,-1.09842,1.99557,1.1938,-0.940402,1.7188,-1.00852,-1.82601,-1.09842,1.99557,1.1938,-0.940402,1.78121,-1.07381,-1.82037,-1.12271,1.94012,1.11987,-0.919584,-0.00040746,0.036551,-0.131284,-0.255821,0.408394,0.424939,-0.432189,-0.00040746,0.036551,-0.131284,-0.255821,0.408394,0.424939,-0.432189,0.534279,-0.45612,0.688567,0.572931,0.179901,0.150662,0.785294,-0.0152596,0.0523017,-0.056646,-0.0273967,0.0472054,-0.0502631,1.08577,-1.84497,0.0576609,-0.000870228,-0.000154972,0.00309944,-0.000870228,0.000319311,0.00309944,-0.624075,0.652909,-0.0563674,0.242945,0.554494,0.739252,-0.208176,1
1.71763,-1.00555,-1.82029,-1.09876,2.01126,1.19931,-0.937027,1.71763,-1.00555,-1.82029,-1.09876,2.01126,1.19931,-0.937027,1.78056,-1.0723,-1.8207,-1.12724,1.94872,1.12901,-0.924897,-0.103062,0.185188,0.0183115,-0.521961,1.0075,1.07386,-0.527354,-0.103062,0.185188,0.0183115,-0.521961,1.0075,1.07386,-0.527354,0.532974,-0.455069,0.689054,0.57339,0.177018,0.147175,0.786275,-0.126657,0.129849,0.0605878,-0.172911,0.118217,0.0840919,1.08579,-1.845,0.0576576,0.00196695,-0.00293255,-0.000333786,0.00196695,-0.000298449,-0.000333786,-0.629327,0.667513,0.0040881,0.284776,0.625372,0.703012,-0.121301,1
1.71011,-1.00097,-1.81758,-1.12164,2.02647,1.20829,-0.932148,1.71011,-1.00097,-1.81758,-1.12164,2.02647,1.20829,-0.932148,1.7778,-1.07047,-1.81962,-1.13371,1.96217,1.14271,-0.929716,-0.333453,0.165163,0.133909,-0.666224,1.43259,1.43418,-0.47043,-0.333453,0.165163,0.133909,-0.666224,1.43259,1.43418,-0.47043,0.530013,-0.454528,0.690183,0.573396,0.172795,0.140572,0.788415,-0.267114,0.0457934,0.0796761,-0.333852,0.0180435,0.112531,1.08581,-1.84497,0.0575978,0.00181198,0.00247955,-0.00597239,0.00181198,-0.00022522,-0.00597239,-0.67686,0.69503,0.0203784,0.120749,0.643048,0.65578,-0.0243156,1
1.7036,-0.999603,-1.82225,-1.13173,2.04173,1.22148,-0.940951,1.7036,-0.999603,-1.82225,-1.13173,2.04173,1.22148,-0.940951,1.77376,-1.06951,-1.81834,-1.13926,1.97683,1.15744,-0.934028,-0.406232,0.0760861,0.0994907,-0.502199,1.43758,1.45204,-0.413195,-0.406232,0.0760861,0.0994907,-0.502199,1.43758,1.45204,-0.413195,0.526132,-0.455423,0.69119,0.573938,0.168537,0.132554,0.790329,-0.321886,-0.085034,0.0542779,-0.39111,-0.120785,0.0868183,1.08578,-1.84496,0.0576171,-0.00259876,0.00113249,0.00192523,-0.00259876,-0.000278439,0.00192523,-0.701631,0.699058,-0.0391361,0.0752912,0.648975,0.640376,-0.0692326,1
1.7024,-0.996342,-1.8182,-1.14353,2.05416,1.235,-0.955049,1.7024,-0.996342,-1.8182,-1.14353,2.05416,1.235,-0.955049,1.7706,-1.06836,-1.81867,-1.14158,1.98901,1.17098,-0.937248,-0.278819,0.152604,-0.0644737,-0.125112,1.14047,1.31678,-0.280772,-0.278819,0.152604,-0.0644737,-0.125112,1.14047,1.31678,-0.280772,0.522474,-0.456991,0.692307,0.575353,0.164317,0.125786,0.791295,-0.296398,-0.135291,0.112659,-0.359689,-0.160016,0.140948,1.08577,-1.84495,0.0576561,-0.00156164,0.000870228,0.0039041,-0.00156164,0.000422341,0.0039041,-0.681988,0.720149,0.00474046,-0.0195153,0.651532,0.640237,-0.178016,1
