action_0,action_1,action_2,action_3,action_4,action_5,action_6
-0.655022,0.283751,0.243693,-0.642696,-0.373002,-0.585349,0.376274
0.57807,-0.584484,0.352876,-0.580334,-0.585378,-0.675992,-0.360201
-0.104447,0.699301,0.587367,0.320708,0.44516,0.559448,0.521053
0.372473,-0.227121,0.595318,-0.61251,-0.312155,-0.663198,-0.180703
0.632003,0.125114,0.350002,0.562116,0.101682,-0.133239,-0.112936
-0.697145,-0.21214,0.533129,-0.634124,-0.181381,-0.319316,0.465365
0.636008,-0.156949,0.365587,0.566009,-0.0708579,0.11883,-0.176655
0.628378,-0.0911636,0.340261,0.567814,-0.0857968,0.0514557,-0.164829
-0.491333,0.351952,0.159585,-0.648667,-0.442886,-0.669076,0.255619
0.502281,-0.628453,0.624316,-0.60347,-0.410614,-0.518464,0.0982161
-0.197638,0.632365,0.618156,-0.154211,0.507501,0.602619,0.448191
0.509845,-0.191629,0.471065,-0.618991,-0.33626,-0.702127,-0.251196
0.602702,0.283584,0.343444,0.562278,0.0960885,-0.183875,-0.0951693
-0.673779,0.0813974,0.318483,-0.648267,-0.361934,-0.530161,0.459744
-0.660556,-0.525809,0.526187,-0.675534,0.501145,0.584078,0.436235
-0.676809,-0.488281,0.539613,-0.662769,0.436938,0.394404,0.432966
0.436172,-0.124155,0.552364,-0.62648,-0.205102,-0.687468,-0.2305
-0.553293,0.505773,0.626384,-0.543349,0.533468,0.622893,0.384665
0.524934,-0.690988,0.20867,-0.55271,-0.594595,-0.598642,-0.343495
0.385541,-0.65669,0.580526,-0.608206,-0.205159,-0.509656,-0.00713003
0.613053,-0.253309,0.152263,0.600934,-0.214055,-0.084363,-0.200527
0.613372,-0.199756,0.200208,0.589577,-0.190005,-0.118585,-0.174807
-0.668449,0.302375,-0.338247,-0.632848,0.107853,0.251988,0.278432
0.621979,-0.358256,0.298783,0.590963,-0.263161,0.173811,-0.225419
0.623221,-0.360249,0.351131,0.582078,-0.256528,0.246576,-0.229767
0.617707,-0.327248,0.382216,0.573029,-0.200412,0.233158,-0.22189
0.611536,-0.259359,0.401825,0.564189,-0.120477,0.185467,-0.20929
0.612866,-0.182799,0.385933,0.566938,-0.083528,0.0863392,-0.195498
0.609297,-0.217954,0.361693,0.569735,-0.114615,0.0323961,-0.199113
0.592942,-0.232783,0.339034,0.568175,-0.158657,-0.0526113,-0.201515
0.581017,-0.102799,0.328762,0.563197,-0.144302,-0.173848,-0.179814
0.579471,0.0275018,0.34614,0.553925,-0.118973,-0.217808,-0.167026
0.571593,0.0117733,0.351889,0.547738,-0.14147,-0.211061,-0.176047
0.561994,-0.0845289,0.357381,0.542581,-0.176802,-0.189766,-0.194811
0.554587,-0.0872337,0.368157,0.536966,-0.173061,-0.188769,-0.19543
0.552645,-0.183577,0.401108,0.53707,-0.0718477,-0.172559,-0.198782
-0.0791938,0.688456,0.581349,0.217131,0.308693,0.241314,0.496859
0.565831,-0.523397,0.406959,-0.604641,-0.525876,-0.678,-0.321729
-0.578143,0.630094,0.584294,-0.336029,0.513485,0.558392,0.51537
0.545712,-0.350764,0.408588,0.528577,-0.136878,-0.151018,-0.219141
-0.637629,0.516192,0.525219,-0.581245,0.551891,0.589431,0.383774
-0.17011,0.672443,0.61361,0.00447749,0.509085,0.550248,0.512305
0.554843,-0.430562,0.393653,0.538702,-0.133201,-0.154523,-0.242724
0.551657,-0.712365,-0.148973,-0.541588,-0.66076,-0.573195,-0.383196
-0.695657,0.61861,0.497811,-0.587153,0.543812,0.523965,0.404129
-0.562148,-0.0937013,0.165824,-0.65999,-0.274419,-0.60187,0.373999
-0.220462,-0.454789,0.581032,-0.510666,0.65574,0.638836,-0.0697635
0.444364,-0.618584,0.566221,-0.587578,-0.0634228,-0.635557,-0.155178
-0.5115,-0.692519,0.563512,-0.637633,0.599182,-0.0403824,0.406656
0.586442,-0.403307,0.359425,0.540995,-0.0154495,-0.297758,-0.189612
-0.643017,0.148857,-0.264611,-0.622034,-0.0603512,-0.0924352,0.281315
0.355176,-0.688683,0.473278,-0.564925,-0.162333,-0.461702,-0.0668366
0.617954,-0.593714,0.337982,0.526625,-0.0809929,-0.235853,-0.239986
0.627487,-0.59623,0.36156,0.525072,-0.0226986,-0.17361,-0.248813
0.631312,-0.589065,0.379113,0.520582,-0.0708212,-0.143811,-0.25862
-0.64911,0.675112,-0.30212,-0.55339,0.403125,0.574149,0.251697
0.547979,-0.722208,-0.0418165,-0.555296,-0.640633,-0.563366,-0.397201
0.491613,-0.728848,-0.27457,-0.516096,-0.682168,-0.564725,-0.3759
0.498383,-0.729043,-0.272938,-0.518112,-0.683964,-0.56448,-0.378216
0.613359,-0.573681,0.508813,0.485385,0.025505,0.176884,-0.27971
0.629177,-0.545177,0.494645,0.489337,0.0910699,0.0546205,-0.259156
-0.67962,-0.498626,0.506378,-0.635436,-0.00528316,-0.219723,0.466104
-0.137877,-0.73627,0.639927,-0.665978,0.608296,0.623659,0.243667
-0.0842872,-0.35697,0.548814,-0.438865,0.60245,0.633944,-0.249261
-0.562811,-0.345847,0.563087,-0.641188,0.105514,-0.15337,0.422873
0.0410165,-0.693097,0.607111,-0.627109,-0.117126,-0.170198,0.220632
0.376702,-0.720305,0.0049688,-0.555279,-0.541311,-0.43601,-0.275799
-0.199459,-0.704224,0.618149,-0.627909,0.314563,0.117338,0.31932
0.201972,-0.716604,0.532016,-0.566553,-0.022824,-0.106449,0.022143
0.655583,-0.635984,0.488389,0.457698,0.289157,-0.116827,-0.222981
-0.424072,0.706358,0.538556,0.207175,0.399492,0.379445,0.561715
-0.422531,0.705243,0.538796,0.213639,0.397391,0.373181,0.56138
-0.426706,0.70626,0.538125,0.237973,0.396482,0.405801,0.561365
0.593557,-0.578853,0.48487,0.524647,-0.0920609,0.245188,-0.316144
-0.15063,-0.717798,0.602686,-0.601054,0.491891,0.0643212,0.157936
0.000227087,-0.734188,0.593561,-0.585958,0.576827,0.238038,0.0665145
0.41744,-0.5814,0.482315,-0.587115,-0.290073,-0.548004,0.0284451
-0.474575,0.61985,0.592161,-0.447598,0.516993,0.416449,0.475084
-0.498038,0.608249,0.598731,-0.316531,0.524624,0.476354,0.495641
0.480963,-0.6509,0.244649,-0.0435915,-0.148393,0.22654,0.105097
0.366637,-0.665195,0.0287544,-0.35082,-0.311165,0.447362,-0.0551887
-0.139389,-0.67814,0.567246,-0.56284,0.614861,0.561116,-0.168592
-0.515034,-0.427147,0.305216,-0.643564,0.621225,0.619138,-0.278212
0.490651,-0.726597,-0.0150669,-0.533954,-0.654244,-0.58475,-0.392923
-0.49918,0.643867,0.554551,-0.146484,0.442128,0.517378,0.485048
0.438785,-0.714805,0.186301,-0.568284,-0.608047,-0.586963,-0.354809
-0.558254,0.289905,0.556396,-0.24962,0.582056,0.627919,-0.0338551
-0.594085,-0.669132,0.100655,0.334843,0.514958,0.479039,0.0905095
-0.531084,-0.668193,-0.0283788,0.48482,0.41984,0.616734,0.0328822
-0.190307,-0.709243,0.524487,-0.528485,0.446658,0.163909,-0.0544337
-0.259602,-0.722651,0.403803,-0.524585,0.472118,0.253647,-0.0347976
-0.292738,-0.721299,0.272881,-0.536272,0.451083,0.207361,-0.033698
-0.300897,-0.67324,0.462973,-0.387603,0.559269,0.286675,-0.0357964
0.340869,-0.700928,0.143586,0.252711,0.238294,0.618445,0.0628797
0.530634,-0.686236,0.521799,0.522505,0.532744,0.30134,-0.0858348
0.500603,-0.731149,0.446202,0.451198,0.539865,0.249371,-0.0783285
0.721465,-0.702892,0.562148,0.491391,0.57171,-0.288705,-0.190337
0.724833,-0.680035,0.571101,0.504714,0.568091,-0.32458,-0.191676
0.725442,-0.675523,0.57251,0.509377,0.567393,-0.341639,-0.194986
