or_w,or_x,or_y,or_z
0.767974,-0.0545457,0.623574,-0.135636
0.767974,-0.0545457,0.623574,-0.135636
0.767974,-0.0545455,0.623574,-0.135636
0.767974,-0.0545457,0.623574,-0.135636
0.767976,-0.0546156,0.623574,-0.135594
0.767964,-0.0550253,0.623576,-0.135483
0.767891,-0.0557279,0.623616,-0.135429
0.767797,-0.0563809,0.623677,-0.135409
0.767759,-0.0568454,0.623672,-0.135456
0.767748,-0.0572038,0.623676,-0.13535
0.767775,-0.0575793,0.623701,-0.134923
0.767794,-0.0577396,0.623784,-0.134358
0.767717,-0.0577351,0.623992,-0.133832
0.767584,-0.0579164,0.624276,-0.133193
0.767479,-0.0584982,0.624532,-0.132338
0.767454,-0.0591669,0.624705,-0.131367
0.767488,-0.0597106,0.624768,-0.130616
0.767529,-0.0603134,0.624783,-0.130031
0.767622,-0.0611736,0.624738,-0.129296
0.767825,-0.0622485,0.624571,-0.128375
0.768118,-0.0630754,0.624309,-0.12749
0.768486,-0.0637983,0.623906,-0.126888
0.768891,-0.0647739,0.62344,-0.126227
0.769269,-0.0659121,0.623022,-0.125401
0.769591,-0.0671783,0.622646,-0.124616
0.769831,-0.0683363,0.622364,-0.12391
0.770007,-0.0692284,0.622179,-0.123246
0.77017,-0.0699084,0.622015,-0.122667
0.77027,-0.070629,0.621927,-0.122075
0.770202,-0.0714219,0.622043,-0.12145
0.770012,-0.0720847,0.622293,-0.120983
0.769772,-0.0725733,0.622613,-0.120574
0.769503,-0.073038,0.622994,-0.120037
0.769239,-0.0735464,0.623409,-0.119261
0.768991,-0.0740273,0.623823,-0.118398
0.768749,-0.0744234,0.624242,-0.11751
0.768486,-0.0748244,0.624702,-0.116527
0.768193,-0.0753129,0.625205,-0.115444
0.767887,-0.0758958,0.625722,-0.11429
0.767579,-0.076521,0.626237,-0.11311
0.76731,-0.0771251,0.626721,-0.11184
0.767159,-0.0776583,0.627093,-0.110416
0.767091,-0.0783529,0.627335,-0.109008
0.767039,-0.0791244,0.627528,-0.1077
0.767023,-0.0797179,0.627697,-0.106382
0.767104,-0.0801807,0.62777,-0.105012
0.767298,-0.0806022,0.627712,-0.103607
0.767426,-0.0809603,0.627745,-0.102173
0.76743,-0.0812971,0.627889,-0.100988
0.767408,-0.0816416,0.628044,-0.0999019
0.7674,-0.0821313,0.628177,-0.0987218
0.767358,-0.0828934,0.628316,-0.0975203
0.767311,-0.0837882,0.628398,-0.0965912
0.767316,-0.0846741,0.628384,-0.0958686
0.767374,-0.0855185,0.628316,-0.0950973
0.767435,-0.0862036,0.628265,-0.0943138
0.767538,-0.0867194,0.628169,-0.0936399
0.767605,-0.087371,0.62808,-0.0930789
0.767502,-0.088176,0.628186,-0.092452
0.767297,-0.0889602,0.628427,-0.0917658
0.767164,-0.0895163,0.628583,-0.0912619
0.767107,-0.0901013,0.628622,-0.0909006
0.767029,-0.0910712,0.628614,-0.0906489
0.766897,-0.0924113,0.628616,-0.0903888
0.766751,-0.0938389,0.628603,-0.0902528
0.766634,-0.0951538,0.62856,-0.0901674
0.766559,-0.0963607,0.628517,-0.0898252
0.766646,-0.0973603,0.628328,-0.0893269
0.766914,-0.098133,0.627963,-0.0887423
0.767311,-0.098821,0.627479,-0.0879622
0.767763,-0.0995346,0.62696,-0.0869119
0.768275,-0.100207,0.626366,-0.0858919
0.768275,-0.100207,0.626366,-0.0858919
0.770331,-0.10243,0.62386,-0.0830471
0.771026,-0.102955,0.623059,-0.0819512
0.771743,-0.103253,0.622293,-0.0806408
0.772451,-0.10336,0.621602,-0.079034
0.773102,-0.103212,0.621051,-0.0771733
0.773102,-0.103212,0.621051,-0.0771733
0.774753,-0.101943,0.619825,-0.07199
0.774753,-0.101943,0.619825,-0.07199
0.775299,-0.101727,0.61932,-0.0707503
0.776922,-0.101601,0.617602,-0.0680927
0.777486,-0.101512,0.616983,-0.0673952
0.778067,-0.101288,0.616349,-0.0668371
0.778658,-0.100926,0.615705,-0.0664292
0.779237,-0.100552,0.61505,-0.0662819
0.779758,-0.100178,0.61443,-0.0664642
0.780155,-0.0998816,0.613917,-0.0669873
0.780421,-0.0997608,0.613537,-0.0675486
0.78061,-0.0999611,0.613203,-0.0681003
0.780726,-0.100356,0.612914,-0.068786
0.780794,-0.100354,0.612742,-0.0695413
0.780876,-0.0999184,0.61262,-0.0703265
0.781018,-0.0995054,0.612442,-0.0708789
0.781205,-0.0993268,0.612198,-0.0711833
0.781421,-0.0991069,0.611911,-0.071581
0.781648,-0.0987228,0.611623,-0.0720972
0.781893,-0.0983626,0.611311,-0.0725757
0.782163,-0.0981668,0.610971,-0.0727919
0.782459,-0.098025,0.610626,-0.0726945
0.782798,-0.097875,0.610247,-0.0724413
0.783139,-0.097737,0.609886,-0.0719787
0.783453,-0.0976883,0.609584,-0.0711722
0.783767,-0.0977557,0.609303,-0.0700221
0.784117,-0.0978926,0.60899,-0.0686178
0.784531,-0.0980928,0.6086,-0.067041
0.785028,-0.0984055,0.60809,-0.0653747
0.785604,-0.0988324,0.607461,-0.0636313
0.786224,-0.0993102,0.606771,-0.0617872
0.786904,-0.099789,0.605998,-0.0599184
0.787642,-0.100244,0.605147,-0.0580319
0.788423,-0.100693,0.604234,-0.0561345
0.789233,-0.101112,0.603285,-0.0541794
0.790047,-0.101504,0.602334,-0.0521157
0.790889,-0.101869,0.601348,-0.0499869
0.791748,-0.102224,0.600338,-0.0477405
0.792581,-0.102615,0.59935,-0.0454319
0.793398,-0.103067,0.598372,-0.0429942
0.794196,-0.103656,0.597388,-0.0404361
0.794985,-0.104375,0.596388,-0.0377562
0.795767,-0.105155,0.595377,-0.0349826
0.796532,-0.105934,0.594371,-0.032214
0.797255,-0.106718,0.593402,-0.0294969
0.797913,-0.107558,0.592491,-0.02684
0.798512,-0.108499,0.591624,-0.0242236
0.799058,-0.109547,0.590795,-0.0216188
0.799537,-0.110707,0.590019,-0.0190075
0.799967,-0.111854,0.589297,-0.0164448
0.800363,-0.112912,0.58862,-0.0140317
0.800723,-0.113912,0.587986,-0.0117785
0.80105,-0.114904,0.587387,-0.00958484
0.801342,-0.115903,0.586823,-0.00747556
0.801614,-0.116867,0.586282,-0.00543047
0.801875,-0.11778,0.585758,-0.0034653
0.802123,-0.118629,0.585254,-0.00154978
0.802338,-0.119454,0.584795,0.000315374
0.802502,-0.120304,0.584391,0.00212165
0.802607,-0.121197,0.584052,0.00394859
0.802639,-0.122177,0.583789,0.00580971
0.802602,-0.123223,0.583598,0.00773351
0.80251,-0.124287,0.58347,0.00970677
0.802384,-0.125309,0.583388,0.0116739
0.802232,-0.126266,0.583348,0.0136348
0.80204,-0.127157,0.583371,0.0155359
0.801821,-0.127986,0.58344,0.0173414
0.801579,-0.12879,0.58354,0.0191008
0.801313,-0.129624,0.583662,0.0208173
0.801034,-0.130472,0.583792,0.0225511
0.800767,-0.131347,0.583893,0.0242902
0.80051,-0.132203,0.583978,0.0259907
0.800256,-0.133046,0.584056,0.0276968
0.799992,-0.133921,0.584135,0.0293942
0.799683,-0.134894,0.584245,0.0311122
0.79933,-0.135982,0.584381,0.0328665
0.798942,-0.137176,0.584529,0.0346472
0.798521,-0.13845,0.584694,0.036455
0.798092,-0.139724,0.584859,0.0382968
0.797689,-0.140936,0.584997,0.0401007
0.797324,-0.142029,0.585109,0.0418265
0.796986,-0.142988,0.585217,0.0434628
0.796669,-0.143832,0.585327,0.0449808
0.796346,-0.144636,0.585456,0.0464116
0.796,-0.14543,0.585617,0.0478109
0.795627,-0.146327,0.585782,0.0492438
0.795228,-0.147348,0.58594,0.0507487
0.794812,-0.14842,0.586097,0.0523073
0.794384,-0.149491,0.586261,0.0538988
0.793949,-0.150606,0.58641,0.0555441
0.793511,-0.151766,0.586544,0.0572182
0.793044,-0.152956,0.586702,0.0588819
0.792549,-0.154191,0.586881,0.0605151
0.792062,-0.155418,0.587047,0.0621222
0.791683,-0.156517,0.587109,0.0635878
0.791308,-0.157599,0.587161,0.06509
0.790918,-0.158717,0.58721,0.0666393
0.790561,-0.159762,0.587254,0.0679873
0.790246,-0.160664,0.587308,0.0690504
0.789936,-0.161491,0.587394,0.0699346
0.789936,-0.161491,0.587394,0.0699346
0.789936,-0.161491,0.587394,0.0699346
0.789936,-0.161491,0.587394,0.0699346
0.789936,-0.161491,0.587394,0.0699346
0.789936,-0.161491,0.587394,0.0699346
0.789936,-0.161491,0.587394,0.0699346
0.789936,-0.161491,0.587394,0.0699346
0.789936,-0.161491,0.587394,0.0699346
0.789936,-0.161491,0.587394,0.0699346
0.789936,-0.161491,0.587394,0.0699346
0.789936,-0.161491,0.587394,0.0699346
0.789936,-0.161491,0.587394,0.0699346
0.789936,-0.161491,0.587394,0.0699346
0.789936,-0.161491,0.587394,0.0699346
0.789936,-0.161491,0.587394,0.0699346
0.789936,-0.161491,0.587394,0.0699346
0.789936,-0.161491,0.587394,0.0699346
0.789936,-0.161491,0.587394,0.0699346
0.789936,-0.161491,0.587394,0.0699346
0.789936,-0.161491,0.587394,0.0699346
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
0.789636,-0.162202,0.587508,0.0707068
