pos_X,pos_Y,pos_Z
0.318897,-0.332433,0.900241
0.318897,-0.332433,0.900241
0.318897,-0.332433,0.900241
0.318897,-0.332433,0.900241
0.318929,-0.33238,0.90027
0.319081,-0.332108,0.900434
0.319303,-0.331711,0.900671
0.319564,-0.331324,0.900871
0.319755,-0.331048,0.901067
0.319902,-0.330861,0.901158
0.320166,-0.330578,0.901196
0.320445,-0.330382,0.901073
0.320654,-0.33036,0.900724
0.320919,-0.330251,0.900344
0.3214,-0.329828,0.900098
0.322076,-0.329182,0.899982
0.3227,-0.328582,0.899978
0.3232,-0.328058,0.900042
0.323727,-0.327389,0.900259
0.324357,-0.326506,0.900682
0.324921,-0.325723,0.901127
0.325323,-0.325092,0.901645
0.325727,-0.324401,0.902193
0.326151,-0.323653,0.902707
0.326529,-0.322923,0.903208
0.326831,-0.322336,0.903568
0.32702,-0.321956,0.903756
0.327189,-0.321634,0.903926
0.327516,-0.321198,0.904027
0.328104,-0.320618,0.903915
0.328755,-0.320079,0.903661
0.329365,-0.319666,0.903272
0.330017,-0.319269,0.902744
0.330734,-0.318844,0.902096
0.331424,-0.318473,0.901376
0.332043,-0.318197,0.900599
0.332696,-0.317909,0.899748
0.333441,-0.317533,0.898849
0.334252,-0.317076,0.897939
0.335087,-0.316585,0.897032
0.335919,-0.31609,0.896126
0.336751,-0.315549,0.895328
0.337553,-0.314911,0.894749
0.338314,-0.314254,0.894283
0.33907,-0.313623,0.89384
0.339853,-0.312972,0.893458
0.340689,-0.312228,0.893214
0.341559,-0.311517,0.892822
0.342298,-0.310972,0.892329
0.342949,-0.310479,0.89189
0.343738,-0.309775,0.891556
0.344695,-0.308828,0.891297
0.345583,-0.307876,0.891183
0.346329,-0.306979,0.891267
0.347023,-0.306119,0.891376
0.347568,-0.305459,0.891386
0.347837,-0.305062,0.891446
0.348047,-0.304684,0.891536
0.348457,-0.30417,0.891407
0.349014,-0.30358,0.891115
0.349465,-0.3031,0.890936
0.349765,-0.302691,0.890931
0.349953,-0.302254,0.891076
0.350042,-0.301808,0.891275
0.350012,-0.301446,0.891523
0.34999,-0.30111,0.891775
0.350108,-0.300662,0.891982
0.35027,-0.300172,0.892283
0.350486,-0.299681,0.892623
0.350774,-0.29913,0.892988
0.351041,-0.29857,0.893349
0.35105,-0.298248,0.893744
0.35105,-0.298248,0.893744
0.350552,-0.297506,0.895617
0.350505,-0.297254,0.896069
0.350581,-0.296946,0.896429
