lin_vel_X,lin_vel_Y,lin_vel_Z
3.88484e-05,3.7982e-05,4.17387e-07
-1.40451e-05,-8.76716e-06,4.40801e-06
-3.7533e-05,-3.42397e-05,1.21056e-06
2.80207e-05,3.48224e-05,1.0178e-05
0.00631181,0.0107089,0.00577465
0.0305537,0.0543,0.032883
0.04433,0.0794498,0.0473063
0.052155,0.0774281,0.0399351
0.038116,0.0552182,0.039162
0.0293595,0.0374503,0.018342
0.0527575,0.0565091,0.00763032
0.0557715,0.0394386,-0.0246669
0.0417755,0.0044782,-0.0697928
0.0529126,0.0217569,-0.0760034
0.0961408,0.0846635,-0.0492116
0.135061,0.129457,-0.0231411
0.124768,0.120135,-0.000779136
0.0998813,0.104888,0.0127562
0.10509,0.133903,0.0435919
0.125769,0.176799,0.0845131
0.112437,0.156698,0.0890721
0.0802156,0.126195,0.103655
0.0804244,0.138317,0.109553
0.084573,0.149741,0.102893
0.07521,0.146183,0.100233
0.0600413,0.117338,0.072101
0.0376796,0.0761144,0.0377775
0.0335646,0.0644154,0.0340985
0.0652765,0.0872385,0.0201707
0.117481,0.116152,-0.0223899
0.130213,0.107895,-0.0509029
0.121813,0.0828547,-0.0777809
0.130434,0.0795087,-0.105531
0.143184,0.0851758,-0.129618
0.138067,0.0745991,-0.143982
0.12362,0.0554757,-0.155396
0.13067,0.0580023,-0.170336
0.148713,0.0755634,-0.179815
0.1622,0.0918788,-0.181951
0.166724,0.0986096,-0.181402
0.166298,0.0993918,-0.181239
0.166243,0.108787,-0.159608
0.160237,0.127913,-0.115845
0.152077,0.131741,-0.0930166
0.151085,0.126385,-0.0886983
0.156433,0.130491,-0.076303
0.167079,0.149058,-0.0487962
0.173779,0.1427,-0.0784582
0.147817,0.109165,-0.0984534
0.130028,0.0988898,-0.0878332
0.157763,0.141081,-0.0667278
0.191146,0.189559,-0.0517993
0.177218,0.190665,-0.0229999
0.149014,0.179658,0.0169343
0.138616,0.172119,0.0216877
0.108891,0.132022,0.00198794
0.0537305,0.0795107,0.0121246
0.0418522,0.0756911,0.0179339
0.0819297,0.102892,-0.0257153
0.111372,0.117971,-0.0584773
0.0900649,0.0962056,-0.0358304
0.0598685,0.0818634,-0.000894775
0.037552,0.087272,0.0289598
0.0177153,0.0892599,0.039673
-0.00614469,0.0722797,0.0495562
-0.00449083,0.0672856,0.0505202
0.0235001,0.0894973,0.041353
0.0322571,0.0981285,0.0602479
0.0429227,0.0982493,0.0679371
0.0572777,0.110291,0.0731982
0.0530499,0.112065,0.0724171
0.00156315,0.064386,0.0790426
0.00156315,0.064386,0.0790426
-0.0205113,0.0640342,0.121258
-0.00976307,0.050275,0.090576
0.0149107,0.061646,0.0721739
0.0490456,0.0829577,0.0469259
0.0700834,0.0833955,0.00700571
0.0700834,0.0833955,0.00700571
0,0,0
0,0,0
0.0338598,0.0446803,0.015049
0.0270878,0.0761065,0.0854725
0.0208863,0.0749722,0.104825
0.0114264,0.0665316,0.121047
0.00325894,0.056564,0.132575
0.000378503,0.0504294,0.138753
-0.00684314,0.0343136,0.134294
-0.0289746,0.00615168,0.123795
-0.0251741,0.0140546,0.113844
0.00596093,0.0636162,0.127783
0.0286114,0.090166,0.129485
0.02404,0.0502489,0.0903431
0.0111736,0.00343268,0.0579287
0.0311155,0.0221453,0.0503638
0.0597934,0.0673918,0.0594834
0.0434539,0.0547866,0.0726266
0.0126554,0.0169397,0.0714301
0.00887885,0.0151014,0.0728906
0.0302139,0.0435444,0.066318
0.046922,0.0582046,0.0445672
0.0377769,0.0474829,0.0316529
0.0358217,0.0394791,0.00496048
0.0497466,0.0466567,-0.0342714
0.0624718,0.0573107,-0.0649737
0.0626747,0.05842,-0.081458
0.0556737,0.0581466,-0.0810413
0.0524997,0.0680842,-0.0645503
0.0522347,0.0814467,-0.0452806
0.0577824,0.0911398,-0.0414883
0.0608185,0.0966088,-0.031859
0.0623766,0.0991758,-0.0226479
0.0642813,0.102545,-0.0143727
0.066865,0.102006,-0.0164127
0.0722706,0.101125,-0.0283961
0.0707971,0.0971939,-0.0303029
0.0625057,0.0876238,-0.0367296
0.0646673,0.0889533,-0.0439731
0.0702848,0.0975532,-0.0496261
0.0799223,0.116905,-0.0481542
0.0859125,0.133909,-0.0444603
0.0833818,0.137136,-0.0445397
0.0742088,0.127407,-0.0464522
0.0655918,0.116734,-0.0500947
0.0623986,0.113815,-0.0540602
0.0666696,0.122143,-0.0554175
0.0758776,0.13645,-0.0569833
0.086103,0.151097,-0.0625101
0.0841092,0.14468,-0.0712407
0.0759208,0.127593,-0.075565
0.0747323,0.120901,-0.075362
0.0836599,0.129222,-0.0762504
0.096087,0.141851,-0.0752804
0.0996923,0.143074,-0.0757199
0.0938557,0.132513,-0.07759
0.0819581,0.114502,-0.0826716
0.0750463,0.10263,-0.0903745
0.0774412,0.104276,-0.0950446
0.0841818,0.110369,-0.106971
0.0951068,0.123751,-0.118414
0.104422,0.133517,-0.133666
0.106657,0.132142,-0.150568
0.104346,0.123784,-0.161157
0.101335,0.11228,-0.174214
0.103516,0.105963,-0.18497
0.109314,0.105496,-0.189196
0.117152,0.112297,-0.190438
0.127858,0.126238,-0.189572
0.130686,0.13187,-0.190796
0.123529,0.129126,-0.186543
0.112113,0.117454,-0.182903
0.0990959,0.103189,-0.184673
0.0913564,0.0975762,-0.184998
0.0945101,0.107798,-0.188351
0.10059,0.123485,-0.190096
0.109537,0.142325,-0.189606
0.117184,0.157109,-0.19172
0.118623,0.160007,-0.195154
0.112788,0.150927,-0.192529
0.104585,0.134687,-0.188709
0.0998062,0.119299,-0.189083
0.0975046,0.108154,-0.185962
0.0984583,0.105298,-0.184755
0.103813,0.109344,-0.188677
0.111978,0.127167,-0.188531
0.1166,0.143748,-0.187841
0.115666,0.147132,-0.192034
0.113277,0.144684,-0.197407
0.109409,0.145244,-0.19923
0.104061,0.144217,-0.198734
0.102352,0.144221,-0.202405
0.104755,0.150505,-0.203575
0.101991,0.151457,-0.193846
0.0756245,0.11924,-0.159377
0.073242,0.120026,-0.151482
0.0801022,0.137814,-0.142612
0.0666882,0.120296,-0.120995
0.0491764,0.0903365,-0.100027
0.0425358,0.0789716,-0.0870591
0.0425358,0.0789716,-0.0870591
0.0425358,0.0789716,-0.0870591
0.0425358,0.0789716,-0.0870591
0.0425358,0.0789716,-0.0870591
0.0425358,0.0789716,-0.0870591
0.0425358,0.0789716,-0.0870591
0.0425358,0.0789716,-0.0870591
0.0425358,0.0789716,-0.0870591
0.0425358,0.0789716,-0.0870591
0.0425358,0.0789716,-0.0870591
0.0425358,0.0789716,-0.0870591
0.0425358,0.0789716,-0.0870591
0.0425358,0.0789716,-0.0870591
0.0425358,0.0789716,-0.0870591
0.0425358,0.0789716,-0.0870591
0.0425358,0.0789716,-0.0870591
0.0425358,0.0789716,-0.0870591
0.0425358,0.0789716,-0.0870591
0.0425358,0.0789716,-0.0870591
0.0425358,0.0789716,-0.0870591
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
