joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6
0.786935,0.00397433,1.32645,1.23285,1.59066,-0.907749,1.57071
0.786935,0.00397421,1.32645,1.23285,1.59066,-0.907749,1.57071
0.786934,0.00397409,1.32645,1.23285,1.59066,-0.907749,1.57071
0.786934,0.00397421,1.32645,1.23285,1.59066,-0.907749,1.57071
0.786944,0.00400081,1.32651,1.23277,1.59063,-0.907826,1.57077
0.786959,0.00414426,1.32686,1.23234,1.59042,-0.908199,1.57093
0.786877,0.00433475,1.32749,1.23167,1.58992,-0.908776,1.57098
0.786649,0.00447922,1.32842,1.23107,1.58929,-0.909107,1.57099
0.786301,0.00446424,1.32946,1.23051,1.58873,-0.909103,1.57095
0.785972,0.00424625,1.33054,1.23018,1.58818,-0.909148,1.57093
0.7858,0.00396001,1.33187,1.22996,1.58761,-0.909265,1.57119
0.785692,0.00357813,1.3332,1.23011,1.58706,-0.909205,1.57154
0.785592,0.00313453,1.33427,1.23076,1.58648,-0.909162,1.57166
0.785654,0.0027632,1.33523,1.23143,1.58579,-0.9095,1.57181
0.785994,0.00254012,1.33645,1.23177,1.58505,-0.910146,1.57209
0.786491,0.00247049,1.33801,1.23186,1.5844,-0.910522,1.57259
0.786932,0.00239529,1.33955,1.23175,1.58385,-0.91046,1.57302
0.787368,0.0022054,1.3409,1.23147,1.58324,-0.910493,1.57325
0.788031,0.00194594,1.34226,1.2308,1.58251,-0.910872,1.57368
0.788921,0.00164699,1.34389,1.22966,1.58173,-0.911315,1.5744
0.789765,0.00122239,1.34555,1.22854,1.58111,-0.911356,1.5752
0.790436,0.000667282,1.34709,1.22731,1.58072,-0.911143,1.57559
0.791072,1.07259e-05,1.34882,1.22602,1.58042,-0.911268,1.57564
0.791688,-0.000690291,1.35067,1.22475,1.58002,-0.911789,1.57574
0.792228,-0.00144931,1.35252,1.22345,1.57944,-0.912568,1.57572
0.792651,-0.00229001,1.35427,1.22244,1.57873,-0.913351,1.57554
0.792958,-0.00319901,1.35577,1.22182,1.578,-0.914077,1.57536
0.793247,-0.00395605,1.35704,1.22128,1.57738,-0.914568,1.57534
0.793636,-0.00445394,1.35834,1.22092,1.57682,-0.914953,1.57527
0.794087,-0.00460092,1.35983,1.22102,1.57617,-0.915215,1.57505
0.7944,-0.00454094,1.36132,1.22144,1.57544,-0.915193,1.5747
0.794551,-0.00449055,1.36277,1.22218,1.57473,-0.915049,1.57425
0.794702,-0.0044945,1.36434,1.22322,1.57403,-0.914958,1.57372
0.794979,-0.00462058,1.36605,1.22453,1.57335,-0.91502,1.57315
0.795354,-0.00491132,1.36775,1.226,1.57268,-0.915125,1.57249
0.795772,-0.00533556,1.3693,1.22759,1.57201,-0.915263,1.57179
0.796302,-0.00576477,1.37082,1.22934,1.57135,-0.915474,1.57109
0.796991,-0.00610842,1.37232,1.2312,1.57069,-0.915785,1.57039
0.797859,-0.00639472,1.37378,1.23307,1.57004,-0.916182,1.56968
0.798895,-0.00667767,1.37515,1.23492,1.56937,-0.916601,1.56895
0.800114,-0.00704804,1.37644,1.23679,1.56874,-0.917015,1.56829
0.801507,-0.00750057,1.37773,1.23845,1.56825,-0.917329,1.56795
0.803017,-0.00798215,1.37899,1.23962,1.56776,-0.917759,1.56774
0.804565,-0.00847261,1.38016,1.24052,1.56718,-0.918209,1.56755
0.80614,-0.00897217,1.38133,1.24139,1.56664,-0.918377,1.56758
