joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6
0.721432,0.0323494,1.35082,1.16858,1.55336,-0.966284,1.60834
0.844742,-0.0544742,1.36173,1.17481,1.53213,-0.975348,1.53469
0.77649,0.0739042,1.38518,1.26492,1.63518,-0.851804,1.62282
0.824182,-0.0187379,1.38598,1.1716,1.55945,-0.974069,1.55264
0.850144,0.0165122,1.36151,1.28898,1.6008,-0.92115,1.55948
0.717245,-0.0170698,1.38017,1.16892,1.57228,-0.940131,1.61747
0.850478,-0.0113602,1.36405,1.28827,1.58283,-0.896893,1.55332
0.849487,-0.00463713,1.36245,1.28785,1.58071,-0.903961,1.55451
0.737167,0.0396595,1.34542,1.16564,1.54444,-0.976011,1.59651
0.836201,-0.058599,1.39297,1.16983,1.54712,-0.960994,1.58075
0.766036,0.0671965,1.39368,1.21454,1.63836,-0.849003,1.61601
0.836677,-0.0155848,1.38031,1.16821,1.55344,-0.979418,1.54642
0.845862,0.0314929,1.36862,1.28698,1.59609,-0.92755,1.56214
0.718276,0.0109029,1.36708,1.1666,1.5496,-0.962517,1.61779
0.719938,-0.0500408,1.38907,1.16421,1.63516,-0.851738,1.61571
0.71881,-0.0463576,1.39197,1.16558,1.62809,-0.871082,1.61589
0.830549,-0.0100203,1.39479,1.1691,1.56334,-0.979206,1.54997
0.732038,0.0527827,1.40354,1.17714,1.63659,-0.848203,1.61171
0.840524,-0.0671529,1.36313,1.17553,1.52305,-0.970736,1.53933
0.827475,-0.064022,1.40194,1.16884,1.56121,-0.962281,1.57369
0.85107,-0.0241085,1.36077,1.28863,1.55971,-0.919792,1.55514
0.851773,-0.0193083,1.36712,1.28627,1.56172,-0.923002,1.55811
0.724227,0.0302482,1.315,1.16273,1.59121,-0.886069,1.60349
0.853886,-0.0365159,1.38055,1.28384,1.5537,-0.894408,1.5532
0.85455,-0.0374742,1.38763,1.28166,1.55379,-0.88791,1.55274
0.854421,-0.0350148,1.39249,1.27975,1.55869,-0.890035,1.55335
0.854111,-0.0291349,1.39595,1.27824,1.56595,-0.89553,1.55443
0.854533,-0.022236,1.39563,1.27797,1.56903,-0.905934,1.55579
0.854566,-0.0262493,1.39451,1.27789,1.56536,-0.911713,1.55536
0.853382,-0.0278792,1.39373,1.27783,1.5603,-0.920476,1.5549
0.852502,-0.0148209,1.3942,1.27776,1.56101,-0.932578,1.55672
0.852498,-0.00174037,1.39739,1.27757,1.56284,-0.93683,1.55755
0.851862,-0.00331717,1.39953,1.278,1.55989,-0.936064,1.55612
0.851178,-0.0130735,1.40179,1.27879,1.55567,-0.933997,1.55367
0.850812,-0.0136347,1.40457,1.27969,1.55537,-0.934002,1.55294
0.851037,-0.0236932,1.40941,1.2813,1.56483,-0.932519,1.55191
0.788382,0.0630808,1.42895,1.25106,1.60222,-0.891342,1.62078
0.853574,-0.0584482,1.41302,1.17073,1.5181,-0.983585,1.53822
0.740045,0.0566147,1.43221,1.19946,1.62139,-0.860342,1.62121
0.853466,-0.0417541,1.41601,1.28778,1.55568,-0.931703,1.54704
0.736351,0.0445711,1.42896,1.17866,1.62393,-0.858072,1.60667
0.784496,0.0597437,1.43909,1.2389,1.61916,-0.862305,1.61918
0.858501,-0.0510383,1.41835,1.29349,1.55444,-0.933212,1.54347
0.859731,-0.0797091,1.36526,1.18636,1.50111,-0.975529,1.52923
0.736575,0.0528888,1.43111,1.18268,1.62102,-0.86598,1.608
0.75158,-0.018898,1.39919,1.17619,1.5388,-0.978386,1.60516
0.78746,-0.0555352,1.44218,1.19168,1.63162,-0.853843,1.56113
0.855598,-0.0723843,1.44216,1.18488,1.55953,-0.980811,1.55282
0.761516,-0.0802216,1.44299,1.18094,1.62548,-0.920995,1.60894
0.872791,-0.0517223,1.42342,1.29972,1.56361,-0.946583,1.54933
0.751429,0.00329869,1.36201,1.18411,1.55877,-0.92593,1.59667
0.852795,-0.0803604,1.43707,1.19033,1.54824,-0.962862,1.56206
0.880286,-0.0706517,1.42489,1.29968,1.55605,-0.940348,1.54476
0.882063,-0.0706901,1.42866,1.29927,1.56154,-0.934198,1.54401
0.883026,-0.0698809,1.43208,1.29853,1.55644,-0.931307,1.54319
0.755375,0.0563748,1.36557,1.19106,1.60353,-0.859677,1.59432
0.875275,-0.0838116,1.39291,1.19066,1.49876,-0.973757,1.52961
0.86972,-0.0849081,1.37085,1.19428,1.49416,-0.974477,1.53175
