joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6
2.39541e-05,4.793e-05,3.5953e-05,1.19989e-05,5.75247e-05,0,0
0,-2.39771e-05,-1.19994e-05,-1.19994e-05,0,-2.39771e-05,0
-5.99071e-05,-2.39541e-05,-2.39541e-05,0,1.91633e-05,-1.1977e-05,0
1.19776e-05,2.39552e-05,4.79323e-05,-3.59547e-05,-5.75275e-05,-2.39552e-05,3.59547e-05
0.00191744,0.00532089,0.0132303,-0.0151118,-0.0059824,-0.0154114,0.0116844
0.00302008,0.0286909,0.0694982,-0.0871754,-0.0435469,-0.0746276,0.0326219
-0.016454,0.038097,0.125376,-0.134076,-0.0999941,-0.115274,0.0101145
-0.0456131,0.0288947,0.186707,-0.120013,-0.125214,-0.0662025,0.0017018
-0.0696148,-0.00299599,0.208653,-0.111619,-0.112687,0.000695061,-0.00808918
-0.0656512,-0.0435997,0.21541,-0.065783,-0.108378,-0.00894045,-0.00433839
-0.0345018,-0.0572473,0.265061,-0.0444605,-0.113915,-0.0234047,0.0515669
-0.0215961,-0.0763773,0.267746,0.0305126,-0.110603,0.0120205,0.0699896
-0.0200252,-0.0887172,0.213566,0.129499,-0.116752,0.00847264,0.0247229
0.0124759,-0.0742681,0.191501,0.133903,-0.137448,-0.0676047,0.0299493
0.0678771,-0.0446162,0.24458,0.0678771,-0.148831,-0.129115,0.0549464
0.0994236,-0.013926,0.31119,0.0180247,-0.12974,-0.0752508,0.100922
0.0881899,-0.0150399,0.308575,-0.0212475,-0.110041,0.0125472,0.0863803
0.0872354,-0.037979,0.269256,-0.055009,-0.12067,-0.00661544,0.0448581
0.132542,-0.0518905,0.27315,-0.134208,-0.147336,-0.0757745,0.0860088
0.177994,-0.0597908,0.32538,-0.227982,-0.155358,-0.0887813,0.144977
0.168854,-0.0849183,0.330817,-0.225658,-0.123789,-0.00805322,0.158703
0.134203,-0.111025,0.309836,-0.244928,-0.0786568,0.0424732,0.0784387
0.127198,-0.131308,0.345857,-0.258793,-0.0592486,-0.0249506,0.0114686
0.123183,-0.1402,0.369657,-0.253964,-0.0805705,-0.104153,0.0200731
0.108052,-0.151808,0.369351,-0.258986,-0.115953,-0.155823,-0.00562073
0.0845228,-0.168135,0.350171,-0.201546,-0.142484,-0.156642,-0.0361796
0.0614087,-0.181805,0.300488,-0.124699,-0.146307,-0.145073,-0.0359895
0.0577986,-0.151405,0.253185,-0.108023,-0.12285,-0.0982564,-0.00353526
0.0779593,-0.0995794,0.26022,-0.0730217,-0.112578,-0.0770365,-0.0126916
0.0901673,-0.0293966,0.298412,0.0202289,-0.1305,-0.0523339,-0.0454312
0.0625232,0.0119965,0.298163,0.0848025,-0.145463,0.00435038,-0.0700975
0.0302475,0.0100785,0.290167,0.147391,-0.1412,0.0287615,-0.0894482
0.0302609,-0.000790981,0.313204,0.208938,-0.139615,0.0182524,-0.105656
0.055246,-0.0252142,0.343089,0.261394,-0.135927,-0.0124154,-0.114495
0.0750111,-0.0581489,0.339078,0.293297,-0.134821,-0.0209609,-0.132525
