pure_target_joint_0,pure_target_joint_1,pure_target_joint_2,pure_target_joint_3,pure_target_joint_4,pure_target_joint_5,pure_target_joint_6,target_joint_0,target_joint_1,target_joint_2,target_joint_3,target_joint_4,target_joint_5,target_joint_6,pos_joint_0,pos_joint_1,pos_joint_2,pos_joint_3,pos_joint_4,pos_joint_5,pos_joint_6,vel_joint_0,vel_joint_1,vel_joint_2,vel_joint_3,vel_joint_4,vel_joint_5,vel_joint_6,vel_smooth_joint_0,vel_smooth_joint_1,vel_smooth_joint_2,vel_smooth_joint_3,vel_smooth_joint_4,vel_smooth_joint_5,vel_smooth_joint_6,ee_pos_x,ee_pos_y,ee_pos_z,ee_or_w,ee_or_x,ee_or_y,ee_or_z,ee_vel_x,ee_vel_y,ee_vel_z,ball_pos_x,ball_pos_y,ball_pos_z,ball_raw_vx,ball_raw_vy,ball_raw_vz,ball_ema_vx,ball_ema_vy,ball_ema_vz,action_0,action_1,action_2,action_3,action_4,action_5,action_6,command_published
1.71533,-1.13839,-1.8837,-1.19208,1.99408,1.09648,-0.97689,1.28749,-0.883524,-1.92056,-1.14662,1.87138,1.44874,-0.747961,1.78024,-1.0647,-1.81517,-1.11706,1.93734,1.11688,-0.916338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.535563,-0.454074,0.703164,0.574536,0.17522,0.152565,0.784812,0,0,0,0.615373,0.123012,-0.0405971,0.000313162,-0.000110187,0.000226173,4.1884e-06,-4.00786e-05,0.000103072,-0.649105,-0.736939,-0.685286,-0.750182,0.567406,-0.204007,-0.605526,1
1.71533,-1.13839,-1.8837,-1.19208,1.99408,1.09648,-0.97689,1.28749,-0.883524,-1.92056,-1.14662,1.87138,1.44874,-0.747961,1.78024,-1.0647,-1.81517,-1.11706,1.93734,1.11688,-0.916338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.535563,-0.454074,0.703164,0.574536,0.17522,0.152565,0.784812,0,0,0,0.615373,0.123012,-0.0405971,0.000313162,-0.000110187,0.000226173,4.1884e-06,-4.00786e-05,0.000103072,-0.649105,-0.736939,-0.685286,-0.750182,0.567406,-0.204007,-0.605526,1
1.71533,-1.13839,-1.88369,-1.19208,1.9941,1.09648,-0.976885,1.28752,-0.883543,-1.92055,-1.14662,1.87139,1.44873,-0.747971,1.78024,-1.0647,-1.81517,-1.11706,1.93734,1.11688,-0.916338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.535563,-0.454074,0.703164,0.574536,0.17522,0.152565,0.784812,0,0,0,0.61538,0.123011,-0.0406045,0.000878414,0.00170716,0.00058561,0.000184329,0.000306421,0.000169643,-0.649166,-0.736931,-0.685201,-0.750169,0.567548,-0.203998,-0.605473,1
1.71533,-1.13839,-1.88369,-1.19208,1.99409,1.09648,-0.976885,1.28751,-0.883535,-1.92056,-1.14662,1.87139,1.44874,-0.747966,1.78024,-1.0647,-1.81517,-1.11706,1.93734,1.11688,-0.916338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.535563,-0.454074,0.703164,0.574536,0.17522,0.152565,0.784812,0,0,0,0.615381,0.123012,-0.0406067,0.000128284,6.99731e-05,-0.00021575,0.00017312,0.000259131,9.25645e-05,-0.649149,-0.736935,-0.685216,-0.750173,0.567522,-0.204016,-0.605478,1
1.71525,-1.13842,-1.88366,-1.19207,1.99407,1.09635,-0.976898,1.28673,-0.883185,-1.92081,-1.14663,1.87141,1.44924,-0.74774,1.78024,-1.06469,-1.81516,-1.11705,1.93733,1.11692,-0.916326,-0.000178799,0.00124339,0.000759841,0.001302,-0.00069448,0.00335928,0.00103212,-0.000178799,0.00124339,0.000759841,0.001302,-0.00069448,0.00335928,0.00103212,0.535557,-0.454072,0.703173,0.574538,0.175205,0.152563,0.784814,-0.000739807,0.000195352,0.00142717,0.615382,0.123019,-0.0406028,7.87855e-05,0.000748462,0.000371417,0.000154253,0.000356998,0.000148335,-0.649908,-0.737317,-0.684996,-0.750272,0.567355,-0.205721,-0.605715,1
1.71527,-1.1384,-1.88367,-1.19206,1.99406,1.09642,-0.97688,1.287,-0.883285,-1.92071,-1.14662,1.87141,1.44909,-0.747805,1.78024,-1.06468,-1.81516,-1.11704,1.93733,1.11694,-0.916318,-0.000128115,0.000890925,0.00054445,0.000932923,-0.000497616,0.00240703,0.000739545,-0.000128115,0.000890925,0.00054445,0.000932923,-0.000497616,0.00240703,0.000739545,0.535545,-0.454068,0.703192,0.574542,0.175173,0.15256,0.784819,-0.000530107,0.000139996,0.00102259,0.615382,0.123014,-0.0406095,2.63261e-05,-0.000558606,-0.000743712,0.000128668,0.000173877,-3.00743e-05,-0.64965,-0.737217,-0.685098,-0.750253,0.567328,-0.205292,-0.60562,1
1.70913,-1.13995,-1.87975,-1.19073,1.99449,1.10521,-0.980665,1.3161,-0.894719,-1.92052,-1.14268,1.87073,1.43881,-0.750791,1.77979,-1.064,-1.81745,-1.11498,1.93902,1.11903,-0.916635,-0.0657136,0.100136,-0.376823,0.342198,0.268324,0.340305,-0.0441249,-0.0657136,0.100136,-0.376823,0.342198,0.268324,0.340305,-0.0441249,0.534728,-0.455395,0.70343,0.575953,0.174602,0.151996,0.784021,-0.118459,-0.20909,0.0275797,0.615382,0.123012,-0.0406033,-5.39675e-05,-0.000278083,0.000623625,9.21406e-05,8.34849e-05,0.000100666,-0.706693,-0.759502,-0.623039,-0.757553,0.554675,-0.138173,-0.640303,1
1.70781,-1.13874,-1.87804,-1.18343,1.9933,1.13453,-0.980241,1.42979,-0.942005,-1.89992,-1.13144,1.87583,1.37739,-0.777733,1.77872,-1.06271,-1.82364,-1.1089,1.94316,1.12471,-0.917083,-0.136025,0.136303,-0.693484,0.712332,0.461201,0.647135,-0.0441916,-0.136025,0.136303,-0.693484,0.712332,0.461201,0.647135,-0.0441916,0.532506,-0.459195,0.703918,0.57973,0.173053,0.150398,0.781887,-0.240634,-0.429045,0.0466901,0.615381,0.123012,-0.0406027,-6.39474e-05,8.42943e-05,5.8134e-05,6.0923e-05,8.36468e-05,9.21593e-05,-0.709112,-0.760247,-0.544025,-0.745371,0.501464,0.0982023,-0.631581,1
1.70537,-1.13585,-1.88479,-1.17315,1.99613,1.15808,-0.979787,1.51085,-0.975829,-1.88748,-1.11935,1.88685,1.33115,-0.8021,1.77634,-1.06128,-1.83191,-1.09925,1.94885,1.133,-0.917545,-0.291397,0.137222,-0.83386,1.04075,0.597402,0.877077,-0.0492245,-0.291397,0.137222,-0.83386,1.04075,0.597402,0.877077,-0.0492245,0.528649,-0.465355,0.704875,0.585639,0.17053,0.147692,0.778546,-0.398718,-0.646404,0.0954935,0.61536,0.12303,-0.040606,-0.00210021,0.00175371,-0.000332887,-0.000371304,0.000417659,7.15007e-06,-0.709704,-0.745677,-0.52887,-0.738975,0.472743,0.25082,-0.622426,1
1.69823,-1.13489,-1.89448,-1.16019,2.00117,1.1723,-0.979039,1.54312,-0.989896,-1.88848,-1.10632,1.89798,1.31593,-0.814726,1.77186,-1.06016,-1.83986,-1.08715,1.95541,1.14282,-0.918148,-0.514134,0.0974541,-0.744918,1.2497,0.667713,1.00588,-0.0663861,-0.514134,0.0974541,-0.744918,1.2497,0.667713,1.00588,-0.0663861,0.522934,-0.473466,0.706571,0.59323,0.167013,0.14371,0.774294,-0.571072,-0.815859,0.166053,0.615306,0.123074,-0.0406159,-0.00547976,0.00447975,-0.000998507,-0.001393,0.00123008,-0.000193981,-0.736315,-0.747286,-0.546237,-0.730365,0.45753,0.294825,-0.608903,1
