pure_target_joint_0,pure_target_joint_1,pure_target_joint_2,pure_target_joint_3,pure_target_joint_4,pure_target_joint_5,pure_target_joint_6,target_joint_0,target_joint_1,target_joint_2,target_joint_3,target_joint_4,target_joint_5,target_joint_6,pos_joint_0,pos_joint_1,pos_joint_2,pos_joint_3,pos_joint_4,pos_joint_5,pos_joint_6,vel_joint_0,vel_joint_1,vel_joint_2,vel_joint_3,vel_joint_4,vel_joint_5,vel_joint_6,vel_smooth_joint_0,vel_smooth_joint_1,vel_smooth_joint_2,vel_smooth_joint_3,vel_smooth_joint_4,vel_smooth_joint_5,vel_smooth_joint_6,ee_pos_x,ee_pos_y,ee_pos_z,ee_or_w,ee_or_x,ee_or_y,ee_or_z,ee_vel_x,ee_vel_y,ee_vel_z,ball_pos_x,ball_pos_y,ball_pos_z,ball_raw_vx,ball_raw_vy,ball_raw_vz,ball_ema_vx,ball_ema_vy,ball_ema_vz,action_0,action_1,action_2,action_3,action_4,action_5,action_6,command_published
1.76471,-1.00453,-1.78512,-1.04231,1.98832,1.14686,-0.904777,1.77088,-1.07043,-1.81211,-1.11247,1.93595,1.11808,-0.92025,1.78144,-1.07391,-1.82002,-1.12091,1.93542,1.11707,-0.916324,-2.39541e-05,0,0,-1.19989e-05,1.91633e-05,1.1977e-05,0,-2.39541e-05,0,0,-1.19989e-05,1.91633e-05,1.1977e-05,0,0.537986,-0.455869,0.695198,0.572446,0.180303,0.15251,0.785199,2.6137e-05,2.66337e-05,-1.3852e-05,0.326113,0.202647,-0.0459994,-0.0011504,-0.000444065,0.00313528,-0.0011504,-0.000444065,0.00313528,-0.167388,0.693795,0.349014,0.785955,0.528994,0.297829,0.11547,1
1.75183,-1.00341,-1.78552,-1.04198,1.98784,1.14988,-0.906691,1.76774,-1.06814,-1.81165,-1.112,1.93594,1.11999,-0.919962,1.78144,-1.07391,-1.82002,-1.12091,1.93542,1.11707,-0.916324,-2.39541e-05,0,0,-1.19989e-05,1.91633e-05,1.1977e-05,0,-2.39541e-05,0,0,-1.19989e-05,1.91633e-05,1.1977e-05,0,0.537986,-0.455869,0.695198,0.572446,0.180303,0.15251,0.785199,2.6137e-05,2.66337e-05,-1.3852e-05,0.326113,0.202647,-0.0459994,-0.0011504,-0.000444065,0.00313528,-0.0011504,-0.000444065,0.00313528,-0.296127,0.704957,0.345031,0.78926,0.524231,0.32805,0.0963242,1
1.74092,-1.0023,-1.78582,-1.04161,1.98751,1.15277,-0.909633,1.76404,-1.06648,-1.81116,-1.11156,1.93565,1.12188,-0.919829,1.78144,-1.07391,-1.82002,-1.12091,1.93542,1.11707,-0.916324,-2.39541e-05,0,0,-1.19989e-05,1.91633e-05,1.1977e-05,0,-2.39541e-05,0,0,-1.19989e-05,1.91633e-05,1.1977e-05,0,0.537986,-0.455869,0.695198,0.572446,0.180303,0.15251,0.785199,2.6137e-05,2.66337e-05,-1.3852e-05,0.326113,0.202647,-0.0459994,-0.0011504,-0.000444065,0.00313528,-0.0011504,-0.000444065,0.00313528,-0.40526,0.716032,0.342007,0.792986,0.52097,0.357024,0.06691,1
1.732,-1.00125,-1.78609,-1.04128,1.98768,1.15446,-0.911395,1.76207,-1.06543,-1.81098,-1.11112,1.93631,1.12275,-0.920237,1.78144,-1.07391,-1.82002,-1.12091,1.93542,1.11707,-0.916324,0,0,2.39552e-05,2.39771e-05,0,0,3.59547e-05,0,0,2.39552e-05,2.39771e-05,0,0,3.59547e-05,0.537986,-0.455869,0.695198,0.572446,0.180303,0.15251,0.785199,-4.83852e-06,-4.07101e-06,1.42594e-05,0.32612,0.202656,-0.0460211,0.00547803,0.00142218,-0.0135371,0.00547803,0.00142218,-0.0135371,-0.494443,0.726591,0.339274,0.796234,0.522641,0.373847,0.0492859,1
1.72524,-1.00037,-1.78722,-1.04098,1.98787,1.15504,-0.910861,1.76222,-1.06502,-1.81136,-1.11079,1.93814,1.12252,-0.921193,1.78144,-1.07391,-1.82002,-1.12091,1.93542,1.11707,-0.916324,2.39552e-05,0,0,-1.19776e-05,1.91642e-05,4.79323e-05,-2.39552e-05,2.39552e-05,0,0,-1.19776e-05,1.91642e-05,4.79323e-05,-2.39552e-05,0.537986,-0.455869,0.695198,0.572446,0.180303,0.15251,0.785199,7.12245e-06,1.66262e-05,8.91385e-08,0.326121,0.202657,-0.0460155,0.000994851,0.00315744,0.00112831,0.000994851,0.00315744,0.00112831,-0.562023,0.7354,0.327994,0.799225,0.524519,0.379625,0.0546305,1
1.72031,-0.999818,-1.78886,-1.04066,1.98799,1.15618,-0.912409,1.76163,-1.06484,-1.81157,-1.1106,1.9392,1.12265,-0.921894,1.78144,-1.07391,-1.82002,-1.12091,1.93542,1.11707,-0.916324,3.59547e-05,1.19776e-05,2.39552e-05,0,1.91642e-05,0,3.59547e-05,3.59547e-05,1.19776e-05,2.39552e-05,0,1.91642e-05,0,3.59547e-05,0.537986,-0.455869,0.695198,0.572446,0.180303,0.152509,0.785199,5.06444e-07,-1.391e-05,-6.16993e-06,0.32611,0.202653,-0.0460104,-0.000403154,-0.00154749,0.00150097,-0.000403154,-0.00154749,0.00150097,-0.611337,0.740903,0.311574,0.802417,0.52569,0.391101,0.0391441,1
1.71603,-0.999412,-1.79175,-1.04042,1.9884,1.15788,-0.915665,1.76117,-1.065,-1.81191,-1.11054,1.94029,1.12272,-0.922729,1.78144,-1.07391,-1.82002,-1.12091,1.93542,1.11707,-0.916324,-2.39552e-05,-1.19776e-05,2.39552e-05,0,1.91642e-05,0,0,-2.39552e-05,-1.19776e-05,2.39552e-05,0,1.91642e-05,0,0,0.537986,-0.455869,0.695198,0.572446,0.180303,0.15251,0.785199,-1.19315e-05,-1.34266e-05,2.31302e-06,0.326105,0.202641,-0.0460053,-0.00199481,-0.000991132,0.00262211,-0.00199481,-0.000991132,0.00262211,-0.654174,0.744956,0.282685,0.804823,0.529853,0.408107,0.00658811,1
1.71229,-0.998947,-1.79383,-1.04029,1.98875,1.16033,-0.91959,1.76079,-1.06516,-1.81207,-1.11046,1.94123,1.12269,-0.923485,1.78144,-1.07391,-1.82002,-1.12091,1.93542,1.11707,-0.916324,2.39552e-05,1.19776e-05,-2.39552e-05,2.39552e-05,-5.75275e-05,0,0,2.39552e-05,1.19776e-05,-2.39552e-05,2.39552e-05,-5.75275e-05,0,0,0.537986,-0.455869,0.695198,0.572446,0.180303,0.15251,0.785199,2.46266e-06,9.09129e-06,-5.06392e-06,0.326109,0.202646,-0.0460053,-0.000874917,0.00254169,0.00155049,-0.000874917,0.00254169,0.00155049,-0.691521,0.749604,0.261932,0.806179,0.533287,0.432552,-0.0326593,1
1.70918,-0.998475,-1.79555,-1.04019,1.98908,1.16235,-0.922702,1.76114,-1.06544,-1.81231,-1.11039,1.9425,1.12226,-0.924355,1.78144,-1.07391,-1.82002,-1.12091,1.93542,1.11707,-0.916324,0,-1.1977e-05,-2.39541e-05,0,-1.91633e-05,-1.1977e-05,0,0,-1.1977e-05,-2.39541e-05,0,-1.91633e-05,-1.1977e-05,0,0.537986,-0.455869,0.695198,0.572446,0.180303,0.15251,0.785199,-1.39698e-05,-1.39022e-05,9.76418e-06,0.326095,0.202638,-0.0460154,-0.00293637,-0.00298947,0.000537293,-0.00293637,-0.00298947,0.000537293,-0.722689,0.754327,0.244739,0.807142,0.536663,0.452811,-0.0637782,1
1.70679,-0.998139,-1.79791,-1.04014,1.9893,1.16364,-0.924862,1.76226,-1.06599,-1.81284,-1.11039,1.9442,1.12145,-0.925386,1.78144,-1.07391,-1.82002,-1.12091,1.93542,1.11707,-0.916324,0,-1.1977e-05,0,0,0,-2.39759e-05,-3.5953e-05,0,-1.1977e-05,0,0,0,-2.39759e-05,-3.5953e-05,0.537986,-0.455869,0.695198,0.572446,0.180303,0.15251,0.785199,-7.14622e-07,2.0498e-05,8.95539e-06,0.326115,0.202652,-0.0460158,0.000590236,0.00134872,-0.00054059,0.000590236,0.00134872,-0.00054059,-0.746546,0.757689,0.221084,0.807645,0.538816,0.465697,-0.0853852,1
1.70519,-0.997867,-1.79913,-1.04011,1.98915,1.16507,-0.92604,1.76292,-1.06631,-1.81315,-1.11036,1.9453,1.12092,-0.926024,1.78144,-1.07391,-1.82002,-1.12091,1.93542,1.11707,-0.916323,2.39541e-05,1.1977e-05,0,1.19989e-05,-1.91633e-05,3.5953e-05,5.99289e-05,2.39541e-05,1.1977e-05,0,1.19989e-05,-1.91633e-05,3.5953e-05,5.99289e-05,0.537986,-0.455869,0.695198,0.572446,0.180303,0.15251,0.785199,-1.16031e-06,-1.69808e-05,6.4181e-06,0.326112,0.202636,-0.0460103,0.00239051,-0.0029057,-0.00191947,0.00239051,-0.0029057,-0.00191947,-0.762564,0.760412,0.208917,0.807928,0.537289,0.480005,-0.0971613,1
