pure_target_joint_0,pure_target_joint_1,pure_target_joint_2,pure_target_joint_3,pure_target_joint_4,pure_target_joint_5,pure_target_joint_6,target_joint_0,target_joint_1,target_joint_2,target_joint_3,target_joint_4,target_joint_5,target_joint_6,pos_joint_0,pos_joint_1,pos_joint_2,pos_joint_3,pos_joint_4,pos_joint_5,pos_joint_6,vel_joint_0,vel_joint_1,vel_joint_2,vel_joint_3,vel_joint_4,vel_joint_5,vel_joint_6,vel_smooth_joint_0,vel_smooth_joint_1,vel_smooth_joint_2,vel_smooth_joint_3,vel_smooth_joint_4,vel_smooth_joint_5,vel_smooth_joint_6,ee_pos_x,ee_pos_y,ee_pos_z,ee_or_w,ee_or_x,ee_or_y,ee_or_z,ee_vel_x,ee_vel_y,ee_vel_z,ball_pos_x,ball_pos_y,ball_pos_z,ball_raw_vx,ball_raw_vy,ball_raw_vz,ball_ema_vx,ball_ema_vy,ball_ema_vz,action_0,action_1,action_2,action_3,action_4,action_5,action_6,command_published
1.73366,-1.02453,-1.84118,-1.06169,1.98374,1.18022,-0.862278,1.73366,-1.02453,-1.84118,-1.06169,1.98374,1.18022,-0.862278,1.78025,-1.06472,-1.81514,-1.11705,1.93725,1.11685,-0.916322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.531067,-0.454446,0.694243,0.574533,0.175214,0.152594,0.78481,0,0,0,2.99006,-0.494808,0.272931,-3.11844,0.243023,5.21694,-3.15392,0.209216,5.33803,-0.465885,0.401916,-0.260412,0.553576,0.464909,0.633684,0.540436,1
1.73152,-1.01961,-1.81716,-1.06429,1.98536,1.17606,-0.858938,1.73152,-1.01961,-1.81716,-1.06429,1.98536,1.17606,-0.858938,1.78025,-1.06472,-1.81514,-1.11705,1.93725,1.11685,-0.916322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.531067,-0.454446,0.694243,0.574533,0.175214,0.152594,0.78481,0,0,0,2.95796,-0.492567,0.324049,-3.20976,0.22411,5.11188,-3.14985,0.221655,5.2495,-0.487278,0.451077,-0.0202244,0.527553,0.481101,0.592096,0.573839,1
1.70608,-0.989843,-1.7719,-1.0964,1.9954,1.13995,-0.848343,1.70608,-0.989843,-1.7719,-1.0964,1.9954,1.13995,-0.848343,1.77477,-1.06,-1.8182,-1.11054,1.94271,1.1243,-0.909972,-1.09488,0.944548,-0.611998,1.30097,1.09259,1.48923,1.27009,-1.09488,0.944548,-0.611998,1.30097,1.09259,1.48923,1.27009,0.525986,-0.458987,0.698032,0.57738,0.171579,0.149359,0.784146,-0.945892,-0.881982,0.720157,2.92644,-0.490712,0.373887,-3.15213,0.185487,4.98377,-3.15737,0.224633,5.13943,-0.686944,0.701525,0.463021,0.141393,0.526898,0.156476,0.616292,1
1.71163,-0.978708,-1.76109,-1.0914,2.0082,1.16399,-0.84033,1.71163,-0.978708,-1.76109,-1.0914,2.0082,1.16399,-0.84033,1.76543,-1.05157,-1.82046,-1.10004,1.95198,1.13618,-0.89903,-0.902976,0.851151,0.0878457,0.95204,0.888965,1.06208,1.06765,-0.902976,0.851151,0.0878457,0.95204,0.888965,1.06208,1.06765,0.517125,-0.465651,0.705593,0.581513,0.164606,0.143507,0.783679,-0.789966,-0.532182,0.804165,2.89518,-0.488944,0.422586,-3.12574,0.176769,4.86988,-3.15582,0.217444,5.02332,-0.538017,0.728646,0.593727,0.0863824,0.5622,0.278069,0.586995,1
1.70022,-0.96885,-1.7608,-1.07661,2.02523,1.14607,-0.845099,1.70022,-0.96885,-1.7608,-1.07661,2.02523,1.14607,-0.845099,1.75494,-1.041,-1.81441,-1.09591,1.96054,1.14076,-0.888916,-1.30113,1.36245,1.13218,-0.0132043,0.928336,-0.021619,1.08049,-1.30113,1.36245,1.13218,-0.0132043,0.928336,-0.021619,1.08049,0.509094,-0.468375,0.715224,0.582798,0.158581,0.138496,0.784868,-0.77957,-0.0634797,1.15493,2.86383,-0.486854,0.470371,-3.13473,0.209075,4.7785,-3.15137,0.209076,4.90452,-0.547184,0.721546,0.536134,0.192953,0.646886,0.0531687,0.438176,1
1.71032,-0.955111,-1.74601,-1.08381,2.02755,1.18326,-0.828499,1.71032,-0.955111,-1.74601,-1.08381,2.02755,1.18326,-0.828499,1.74478,-1.02838,-1.80374,-1.09543,1.96975,1.1434,-0.879,-0.882959,1.32277,1.13578,0.107208,1.02371,0.548143,1.02979,-0.882959,1.32277,1.13578,0.107208,1.02371,0.548143,1.02979,0.501631,-0.467944,0.726519,0.581925,0.151914,0.133651,0.787669,-0.669579,0.132224,1.17952,2.83306,-0.484937,0.517572,-3.07772,0.19162,4.72014,-3.14208,0.201549,4.79232,-0.344642,0.73268,0.577267,0.116203,0.577967,0.398595,0.505014,1
1.69537,-0.942568,-1.73878,-1.07513,2.04476,1.1749,-0.81593,1.69537,-0.942568,-1.73878,-1.07513,2.04476,1.1749,-0.81593,1.73611,-1.01623,-1.79427,-1.0928,1.98026,1.14585,-0.871007,-0.955714,1.26184,0.89134,0.431117,1.19755,0.0059454,0.689933,-0.955714,1.26184,0.89134,0.431117,1.19755,0.0059454,0.689933,0.494487,-0.467873,0.737578,0.581933,0.145357,0.128455,0.789762,-0.700712,-0.10075,1.11333,2.80182,-0.482519,0.564491,-3.12355,0.241828,4.69189,-3.13257,0.199943,4.70075,-0.40743,0.736653,0.554852,0.176706,0.644969,0.290538,0.550762,1
1.70209,-0.931309,-1.72738,-1.07971,2.04652,1.19703,-0.809516,1.70209,-0.931309,-1.72738,-1.07971,2.04652,1.19703,-0.809516,1.72936,-1.00414,-1.78513,-1.09007,1.99048,1.15027,-0.863325,-0.506964,1.30554,1.04165,0.166602,0.987191,0.87855,0.927401,-0.506964,1.30554,1.04165,0.166602,0.987191,0.87855,0.927401,0.487945,-0.466568,0.748509,0.581292,0.137715,0.123513,0.792388,-0.539113,0.333346,1.14206,2.77075,-0.479936,0.610416,-3.10652,0.258285,4.5925,-3.11775,0.20816,4.61891,-0.272695,0.728285,0.577474,0.103537,0.560445,0.467596,0.538087,1
1.68119,-0.917935,-1.72125,-1.05901,2.06193,1.19955,-0.801956,1.68119,-0.917935,-1.72125,-1.05901,2.06193,1.19955,-0.801956,1.72339,-0.991819,-1.77563,-1.08766,2.0007,1.15659,-0.854145,-0.746224,1.31152,0.98107,0.333705,1.17314,0.487815,1.01762,-0.746224,1.31152,0.98107,0.333705,1.17314,0.487815,1.01762,0.481482,-0.46426,0.75957,0.579437,0.129021,0.118487,0.795969,-0.649451,0.139046,1.14215,2.73901,-0.477865,0.65474,-3.17416,0.207096,4.43243,-3.11834,0.217467,4.53693,-0.421998,0.738845,0.543804,0.286491,0.612295,0.429688,0.521887,1
1.68346,-0.906219,-1.71071,-1.06745,2.06787,1.21228,-0.791376,1.68346,-0.906219,-1.71071,-1.06745,2.06787,1.21228,-0.791376,1.71798,-0.979602,-1.76614,-1.08543,2.01065,1.16324,-0.844938,-0.423201,1.28599,1.03204,0.15222,0.955185,0.899848,0.943246,-0.423201,1.28599,1.03204,0.15222,0.955185,0.899848,0.943246,0.475257,-0.461404,0.770393,0.577131,0.120119,0.113731,0.799723,-0.503223,0.412081,1.09724,2.70765,-0.475759,0.697701,-3.13604,0.210592,4.29607,-3.12329,0.223331,4.44618,-0.345196,0.733832,0.554268,0.179817,0.572147,0.490418,0.535626,1
