X,Y,Z,vx,vy,vz
2.99118,-0.473236,0.410064,-1.55184,-0.028348,1.65673
2.96012,-0.473401,0.445307,-1.5455,0.000444055,1.79027
2.92869,-0.472754,0.483086,-1.57659,0.039041,1.91779
2.89656,-0.471439,0.524253,-1.65694,0.085181,2.13084
2.86496,-0.470433,0.566594,-1.62275,0.0323027,2.15153
2.83441,-0.470127,0.610075,-1.51989,0.00489354,2.18993
2.80525,-0.470398,0.653683,-1.45161,-0.0151068,2.18375
2.77507,-0.470486,0.697374,-1.46203,-0.0120252,2.19318
2.74539,-0.470664,0.740822,-1.50938,-0.00913143,2.17543
2.716,-0.470582,0.782713,-1.47281,-0.00455976,2.08559
2.68598,-0.470433,0.824225,-1.51858,0.0133663,2.07472
2.65628,-0.47045,0.864216,-1.4622,-0.00843406,1.99523
2.62675,-0.470392,0.903462,-1.47891,0.00436306,1.94952
2.59733,-0.470299,0.941733,-1.47028,0.00867248,1.90343
2.56795,-0.470281,0.978987,-1.4689,0.00537932,1.85344
2.5386,-0.470276,1.01531,-1.46716,0.000920892,1.80531
2.50927,-0.470157,1.05059,-1.46494,0.00708699,1.75271
2.48006,-0.469846,1.08494,-1.45533,0.022921,1.70602
2.45084,-0.469708,1.11826,-1.46012,0.0100464,1.65215
2.42173,-0.469566,1.15061,-1.45826,0.00936985,1.60313
2.39267,-0.469401,1.18193,-1.44858,0.0118226,1.55423
2.36376,-0.469174,1.21218,-1.44849,0.0124335,1.49916
2.33502,-0.469034,1.24141,-1.43516,0.00773668,1.44732
2.30623,-0.469032,1.26973,-1.43569,0.000506639,1.40067
2.27747,-0.468975,1.29703,-1.43878,0.000676513,1.35599
2.2487,-0.468799,1.3234,-1.43435,0.00580847,1.30619
2.22003,-0.468699,1.34871,-1.4302,0.00405014,1.25382
2.17712,-0.468631,1.38485,-1.43373,0.00565052,1.17984
2.14871,-0.46863,1.4077,-1.41952,-0.00610054,1.12385
2.13463,-0.468659,1.41886,-1.40762,-0.00298917,1.11681
2.10613,-0.468601,1.44033,-1.42214,0.00168085,1.06235
2.07775,-0.46841,1.4608,-1.41599,0.00982881,1.00949
2.04941,-0.468113,1.48025,-1.41802,0.00951588,0.962293
2.00706,-0.467746,1.50757,-1.40967,0.0149727,0.885415
1.97884,-0.467537,1.5246,-1.40798,0.0101566,0.837696
1.95066,-0.467236,1.54054,-1.4155,0.016287,0.784278
1.92254,-0.466919,1.55555,-1.40412,0.0160724,0.735795
1.89439,-0.466614,1.56964,-1.40851,0.0130713,0.691259
1.86634,-0.466309,1.58275,-1.40092,0.0130534,0.640738
1.83839,-0.465961,1.59487,-1.39346,0.0241488,0.594771
1.81044,-0.465613,1.606,-1.39347,0.0204086,0.546634
1.78246,-0.46531,1.61617,-1.40377,0.0181645,0.497043
1.7546,-0.464961,1.62538,-1.3924,0.0204474,0.449765
1.72679,-0.464588,1.63363,-1.39174,0.0170231,0.40015
1.69899,-0.464409,1.64068,-1.38664,-0.000870228,0.334704
1.67111,-0.464029,1.64721,-1.38638,0.0184059,0.304556
1.6433,-0.463757,1.65255,-1.3944,0.0118792,0.251913
1.61554,-0.463451,1.657,-1.3913,0.017789,0.207305
1.5878,-0.463055,1.66046,-1.3895,0.0191718,0.158894
1.56008,-0.462683,1.66288,-1.38832,0.0151306,0.108588
1.53233,-0.462242,1.66432,-1.38448,0.0225723,0.0613093
1.50461,-0.46176,1.66482,-1.38227,0.0262469,0.012207
1.47694,-0.461365,1.66435,-1.38496,0.0176609,-0.0393629
1.44942,-0.460967,1.6629,-1.38185,0.0182301,-0.0840068
1.42181,-0.460568,1.6605,-1.38799,0.0249296,-0.130928
1.3943,-0.460342,1.6571,-1.38953,0.0109553,-0.176859
1.36679,-0.459966,1.65275,-1.3855,0.0153661,-0.228786
1.33943,-0.459515,1.64747,-1.37434,0.0241399,-0.275624
1.31209,-0.458998,1.64119,-1.36555,0.020954,-0.325549
1.28486,-0.458387,1.63396,-1.36631,0.0192583,-0.372541
1.25766,-0.457812,1.62575,-1.3579,0.0255853,-0.424075
1.23035,-0.457368,1.61658,-1.367,0.0155479,-0.469697
1.20311,-0.456748,1.60641,-1.36411,0.0322133,-0.517142
1.17589,-0.456215,1.59529,-1.36101,0.0362486,-0.566733
1.14873,-0.455887,1.58313,-1.36076,0.0261188,-0.618649
1.12171,-0.455366,1.56999,-1.35173,0.0276327,-0.666142
1.0947,-0.454771,1.55594,-1.34499,0.0344127,-0.71497
1.06812,-0.454154,1.54096,-1.30858,0.0327408,-0.755227
1.04133,-0.453677,1.52489,-1.34116,0.0261486,-0.807273
1.01445,-0.453029,1.50795,-1.34194,0.0323564,-0.856066
0.987078,-0.452462,1.49013,-1.34572,0.0183225,-0.896466
0.960008,-0.452106,1.47132,-1.34063,0.0375211,-0.948
0.933202,-0.451514,1.45153,-1.33539,0.030458,-1.00157
0.906101,-0.451006,1.43072,-1.3486,0.0280619,-1.05054
0.879234,-0.45037,1.40904,-1.34777,0.0319898,-1.09493
0.852534,-0.449645,1.38639,-1.34061,0.031507,-1.14204
0.825856,-0.448992,1.36269,-1.33285,0.0293761,-1.19767
0.79925,-0.448363,1.33801,-1.33408,0.026992,-1.24857
0.772775,-0.447754,1.31233,-1.32705,0.0251323,-1.29708
0.746312,-0.447108,1.28565,-1.32809,0.0307471,-1.34219
0.719786,-0.446472,1.25803,-1.32881,0.0267863,-1.3945
0.693365,-0.445768,1.22943,-1.32999,0.0319839,-1.4402
0.66686,-0.445007,1.19992,-1.30916,0.0359744,-1.48745
0.640745,-0.444452,1.16938,-1.31708,0.0440657,-1.53699
0.614578,-0.443824,1.1381,-1.32821,0.0505149,-1.57551
0.588617,-0.443139,1.10573,-1.29408,0.0345379,-1.62768
0.5629,-0.442555,1.07243,-1.29038,0.0510007,-1.65676
0.537359,-0.441597,1.03827,-1.27578,0.0588655,-1.71633
0.511318,-0.440786,1.00316,-1.27551,0.0446498,-1.77617
0.485447,-0.439953,0.966999,-1.28625,0.044781,-1.81551
0.459629,-0.439146,0.929873,-1.28755,0.0417769,-1.86598
0.434139,-0.438295,0.891832,-1.26683,0.0347018,-1.91579
0.408922,-0.437297,0.852988,-1.34588,0.0209153,-1.94697
0.383455,-0.436432,0.813229,-1.27083,0.040859,-1.99879
0.357773,-0.435567,0.772475,-1.29202,0.04251,-2.05255
0.332308,-0.434479,0.730939,-1.36802,0.0199527,-2.10164
0.307356,-0.43291,0.694004,-1.20744,0.0874341,-1.64415
0.290572,-0.433309,0.680504,-0.753048,-0.0412554,-0.351405
0.275421,-0.43356,0.682797,-0.78162,-0.00648797,0.197405
0.259962,-0.433998,0.687827,-0.781369,-0.0213832,0.264889
0.244542,-0.433854,0.692836,-0.761153,0.00968874,0.243783
0.229507,-0.433698,0.696973,-0.74439,0.00716746,0.192344
0.214275,-0.433531,0.699608,-0.786871,0.0101,0.11968
0.199533,-0.433206,0.701481,-0.746903,0.0191987,0.0838697
0.183827,-0.432963,0.702229,-0.7945,0.00539422,0.0259519
0.16859,-0.43239,0.701844,-0.711405,0.0315011,-0.0198603
0.153516,-0.431677,0.700494,-0.74113,0.0338912,-0.0776231
0.137768,-0.431294,0.6979,-0.768673,0.0187129,-0.149632
0.115089,-0.430662,0.692009,-0.750786,0.00829101,-0.215232
0.10018,-0.430217,0.687105,-0.741607,0.0200689,-0.265056
0.0852285,-0.429911,0.680932,-0.737053,0.00789762,-0.316733
0.0713779,-0.429727,0.674098,-0.696927,0.00398457,-0.350177
0.0569373,-0.429829,0.6668,-0.743401,-0.00876784,-0.372666
0.0420763,-0.429849,0.658767,-0.749683,-0.00425875,-0.413448
0.0273696,-0.429467,0.650093,-0.740558,0.0139773,-0.446081
0.0129593,-0.429233,0.639996,-0.714904,0.0130624,-0.527632
-0.00180422,-0.42889,0.628536,-0.734615,0.0232041,-0.584501
-0.0173166,-0.428238,0.616473,-0.822091,0.0324428,-0.62179
-0.0320901,-0.42766,0.602973,-0.728077,0.025773,-0.69375
-0.0465162,-0.426909,0.588724,-0.701898,0.0393867,-0.732458
-0.060966,-0.426418,0.573396,-0.781637,0.0200212,-0.754207
-0.0764692,-0.425569,0.556722,-0.732321,0.0602841,-0.871414
-0.0833444,-0.435592,0.553434,-0.234276,-0.662947,0.043875
-0.0880256,-0.449129,0.553588,-0.260001,-0.69128,-0.0152588
-0.0933824,-0.462769,0.552312,-0.203061,-0.658789,-0.0971198
-0.0974979,-0.475761,0.550561,-0.223106,-0.656721,-0.0887454
-0.0974979,-0.475761,0.550561,-0.223106,-0.656721,-0.0887454
-0.0974979,-0.475761,0.550561,-0.223106,-0.656721,-0.0887454
