ball_vx,ball_vy,ball_vz
-1.55184,-0.028348,1.65673
-1.5455,0.000444055,1.79027
-1.57659,0.039041,1.91779
-1.65694,0.085181,2.13084
-1.62275,0.0323027,2.15153
-1.51989,0.00489354,2.18993
-1.45161,-0.0151068,2.18375
-1.46203,-0.0120252,2.19318
-1.50938,-0.00913143,2.17543
-1.47281,-0.00455976,2.08559
-1.51858,0.0133663,2.07472
-1.4622,-0.00843406,1.99523
-1.47891,0.00436306,1.94952
-1.47028,0.00867248,1.90343
-1.4689,0.00537932,1.85344
-1.46716,0.000920892,1.80531
-1.46494,0.00708699,1.75271
-1.45533,0.022921,1.70602
-1.46012,0.0100464,1.65215
-1.45826,0.00936985,1.60313
-1.44858,0.0118226,1.55423
-1.44849,0.0124335,1.49916
-1.43516,0.00773668,1.44732
-1.43569,0.000506639,1.40067
-1.43878,0.000676513,1.35599
-1.43435,0.00580847,1.30619
-1.4302,0.00405014,1.25382
-1.43373,0.00565052,1.17984
-1.41952,-0.00610054,1.12385
-1.40762,-0.00298917,1.11681
-1.42214,0.00168085,1.06235
-1.41599,0.00982881,1.00949
-1.41802,0.00951588,0.962293
-1.40967,0.0149727,0.885415
-1.40798,0.0101566,0.837696
-1.4155,0.016287,0.784278
-1.40412,0.0160724,0.735795
-1.40851,0.0130713,0.691259
-1.40092,0.0130534,0.640738
-1.39346,0.0241488,0.594771
-1.39347,0.0204086,0.546634
-1.40377,0.0181645,0.497043
-1.3924,0.0204474,0.449765
-1.39174,0.0170231,0.40015
-1.38664,-0.000870228,0.334704
-1.38638,0.0184059,0.304556
-1.3944,0.0118792,0.251913
-1.3913,0.017789,0.207305
-1.3895,0.0191718,0.158894
-1.38832,0.0151306,0.108588
-1.38448,0.0225723,0.0613093
-1.38227,0.0262469,0.012207
-1.38496,0.0176609,-0.0393629
-1.38185,0.0182301,-0.0840068
-1.38799,0.0249296,-0.130928
-1.38953,0.0109553,-0.176859
-1.3855,0.0153661,-0.228786
-1.37434,0.0241399,-0.275624
-1.36555,0.020954,-0.325549
-1.36631,0.0192583,-0.372541
-1.3579,0.0255853,-0.424075
-1.367,0.0155479,-0.469697
-1.36411,0.0322133,-0.517142
-1.36101,0.0362486,-0.566733
-1.36076,0.0261188,-0.618649
-1.35173,0.0276327,-0.666142
-1.34499,0.0344127,-0.71497
-1.30858,0.0327408,-0.755227
-1.34116,0.0261486,-0.807273
-1.34194,0.0323564,-0.856066
-1.34572,0.0183225,-0.896466
-1.34063,0.0375211,-0.948
-1.33539,0.030458,-1.00157
-1.3486,0.0280619,-1.05054
-1.34777,0.0319898,-1.09493
-1.34061,0.031507,-1.14204
-1.33285,0.0293761,-1.19767
-1.33408,0.026992,-1.24857
-1.32705,0.0251323,-1.29708
-1.32809,0.0307471,-1.34219
-1.32881,0.0267863,-1.3945
-1.32999,0.0319839,-1.4402
-1.30916,0.0359744,-1.48745
-1.31708,0.0440657,-1.53699
-1.32821,0.0505149,-1.57551
-1.29408,0.0345379,-1.62768
-1.29038,0.0510007,-1.65676
-1.27578,0.0588655,-1.71633
-1.27551,0.0446498,-1.77617
-1.28625,0.044781,-1.81551
-1.28755,0.0417769,-1.86598
-1.26683,0.0347018,-1.91579
-1.34588,0.0209153,-1.94697
-1.27083,0.040859,-1.99879
-1.29202,0.04251,-2.05255
-1.36802,0.0199527,-2.10164
-1.20744,0.0874341,-1.64415
-0.753048,-0.0412554,-0.351405
-0.78162,-0.00648797,0.197405
-0.781369,-0.0213832,0.264889
-0.761153,0.00968874,0.243783
-0.74439,0.00716746,0.192344
-0.786871,0.0101,0.11968
-0.746903,0.0191987,0.0838697
-0.7945,0.00539422,0.0259519
-0.711405,0.0315011,-0.0198603
-0.74113,0.0338912,-0.0776231
-0.768673,0.0187129,-0.149632
-0.750786,0.00829101,-0.215232
-0.741607,0.0200689,-0.265056
-0.737053,0.00789762,-0.316733
-0.696927,0.00398457,-0.350177
-0.743401,-0.00876784,-0.372666
-0.749683,-0.00425875,-0.413448
-0.740558,0.0139773,-0.446081
-0.714904,0.0130624,-0.527632
-0.734615,0.0232041,-0.584501
-0.822091,0.0324428,-0.62179
-0.728077,0.025773,-0.69375
-0.701898,0.0393867,-0.732458
-0.781637,0.0200212,-0.754207
-0.732321,0.0602841,-0.871414
-0.234276,-0.662947,0.043875
-0.260001,-0.69128,-0.0152588
-0.203061,-0.658789,-0.0971198
-0.223106,-0.656721,-0.0887454
-0.223106,-0.656721,-0.0887454
-0.223106,-0.656721,-0.0887454
-0.247186,-0.664502,-0.248557
