timestamp,body_id,pos_opt_x,pos_opt_y,pos_opt_z,pos_world_x,pos_world_y,pos_world_z,pos_smooth_x,pos_smooth_y,pos_smooth_z,vel_x,vel_y,vel_z,qx,qy,qz,qw
3499658686.855514,1,0.706776,0.527798,-1.413445,2.196445,-0.706776,1.102798,2.183953,-0.692595,1.112878,-0.713905,1.202998,0.233097,-0.654027,-0.430675,-0.561950,-0.266420
3499658686.871102,1,0.703685,0.530000,-1.405573,2.188573,-0.703685,1.105000,2.182470,-0.690051,1.114243,-0.829423,1.083120,0.261076,-0.811605,-0.229711,-0.509761,0.169335
3499658686.919692,1,0.706812,0.527879,-1.413390,2.196390,-0.706812,1.102879,2.183348,-0.691641,1.111354,-0.455076,0.660422,0.041022,-0.653497,-0.431808,-0.561428,-0.266987
3499658686.954811,1,0.709432,0.541052,-1.410657,2.193657,-0.709432,1.116052,2.189891,-0.698744,1.103289,0.395846,-0.409946,-0.639244,-0.570841,0.052476,-0.790739,0.214751
3499658687.644560,1,0.706756,0.527822,-1.413438,2.196438,-0.706756,1.102822,2.187186,-0.698500,1.107092,-0.330853,0.854489,-0.309359,-0.653843,-0.430881,-0.561980,-0.266477
3499658687.679471,1,0.706702,0.527629,-1.413262,2.196262,-0.706702,1.102629,2.191933,-0.699695,1.102852,0.362612,0.358616,-0.763252,-0.653055,-0.429020,-0.562925,-0.269400
3499658691.720213,1,0.706759,0.527828,-1.413468,2.196468,-0.706759,1.102828,2.186470,-0.698771,1.108096,-0.197164,0.448383,0.406835,-0.654383,-0.430759,-0.561643,-0.266059
3499658691.766715,1,0.709666,0.541093,-1.410606,2.193606,-0.709666,1.116093,2.182166,-0.694384,1.107962,-0.533133,0.822346,0.220822,-0.563802,0.039046,-0.795731,0.217751
3499658691.803261,1,0.706637,0.527811,-1.413564,2.196564,-0.706637,1.102811,2.183811,-0.695162,1.110079,-0.241086,0.661180,0.304749,-0.656059,-0.427118,-0.562512,-0.265966
3499658691.820073,1,0.706651,0.527837,-1.413527,2.196527,-0.706651,1.102837,2.190355,-0.699350,1.108920,0.258963,-0.038609,0.054927,-0.654996,-0.428521,-0.562378,-0.266611
3499658695.217111,1,0.706606,0.527815,-1.413548,2.196548,-0.706606,1.102815,2.192089,-0.696046,1.109101,-0.135475,0.746819,0.462723,-0.655312,-0.428470,-0.562209,-0.266273
3499658695.252964,1,0.693552,0.546010,-1.394476,2.177476,-0.693552,1.121010,2.192175,-0.696410,1.108560,-0.231190,0.393194,0.075724,-0.845731,-0.114133,-0.308396,0.420244
3499658695.304611,1,0.706663,0.527778,-1.413509,2.196509,-0.706663,1.102778,2.187753,-0.696357,1.111577,-0.585932,0.322999,0.486194,-0.655426,-0.430059,-0.561243,-0.265468
3499658695.435509,1,0.709302,0.534867,-1.404495,2.187495,-0.709302,1.109867,2.189438,-0.699708,1.110112,-0.182442,-0.219894,0.103458,-0.813830,-0.107743,-0.491144,0.291291
3499658695.688720,1,0.706662,0.527762,-1.413527,2.196527,-0.706662,1.102762,2.185551,-0.699353,1.111668,-0.663280,0.685874,0.280014,-0.655808,-0.427107,-0.562495,-0.266637
3499658697.021345,1,0.700793,0.535010,-1.400091,2.183091,-0.700793,1.110010,2.188002,-0.698426,1.107921,-0.767077,0.507476,0.344693,-0.343500,-0.439896,0.175653,0.810954
3499658697.086288,1,0.706594,0.527792,-1.413594,2.196594,-0.706594,1.102792,2.181342,-0.695845,1.110354,-1.107495,0.793745,0.453492,-0.655962,-0.426799,-0.562425,-0.266896
3499658697.104504,1,0.706593,0.527784,-1.413593,2.196593,-0.706593,1.102784,2.182029,-0.695821,1.110615,-0.768035,0.440733,0.332584,-0.657018,-0.426498,-0.561826,-0.266041
3499658697.208391,1,0.706721,0.527867,-1.413497,2.196497,-0.706721,1.102867,2.187437,-0.699629,1.107892,-0.037673,-0.080220,-0.001919,-0.654748,-0.430121,-0.561738,-0.265990
3499658697.874246,1,0.701836,0.529123,-1.389024,2.172024,-0.701836,1.104123,2.184194,-0.699684,1.104950,-0.529519,0.394967,0.110333,0.318917,0.359954,0.704183,0.522351
3499658697.900207,1,0.701689,0.525775,-1.397447,2.180447,-0.701689,1.100775,2.183424,-0.698544,1.107014,-0.343429,0.358769,0.214650,-0.948786,-0.262368,0.041629,-0.170983
3499658697.935960,1,0.691672,0.536377,-1.396650,2.179650,-0.691672,1.111377,2.177097,-0.698839,1.106576,-0.503998,0.274144,0.306375,-0.698947,0.037042,0.387381,0.600031
3499658697.968447,1,0.703567,0.524337,-1.401472,2.184472,-0.703567,1.099337,2.178630,-0.697599,1.108178,-0.370889,0.139019,0.215224,-0.937829,-0.280198,-0.120812,-0.165438
3499658698.038662,1,0.700446,0.524924,-1.395587,2.178587,-0.700446,1.099924,2.179069,-0.698058,1.107041,-0.290323,0.032412,0.001808,-0.939723,-0.280205,0.016446,-0.195283
3499658698.084668,1,0.704133,0.528588,-1.418598,2.201598,-0.704133,1.103588,2.177478,-0.699359,1.102368,0.025380,-0.034677,-0.280538,-0.716671,-0.427122,-0.512423,-0.203402
3499658698.118500,1,0.699459,0.529464,-1.398290,2.181290,-0.699459,1.104464,2.184773,-0.699645,1.102813,0.409509,-0.136426,-0.357676,-0.160214,-0.504320,-0.002023,0.848522
3499658698.309293,1,0.709289,0.519617,-1.401675,2.184675,-0.709289,1.094617,2.186110,-0.696469,1.107076,0.089144,0.211782,0.284168,-0.870706,-0.483358,-0.082952,-0.036804
